Nome do arquivo avaliado: b03 
Quantidade de vetores testados: 100 - 1.1641532182693481e-08 
total_evaluated_nodes: 208 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
011111010011010100001100010011000 | ['n67', 'n68', 'ZN_neg_g03', 'n70', 'net_0_g03', 'n73', 'net_1_g04', 'net_0_g05', 'n78', 'net_1_g07', 'net_0_g08', 'n80', 'n82', 'net_0_g11', 'ZN_neg_g12', 'n84', 'net_0_g12', 'net_1_g12', 'net_2_g12', 'net_3_g13', 'net_1_g16', 'net_0_g16', 'n90', 'net_1_g19', 'n92', 'net_0_g19', 'n94', 'net_0_g21', 'n96', 'net_0_g24', 'n98', 'net_0_g26', 'net_1_g27', 'n100', 'net_0_g27', 'n102', 'net_1_g29', 'net_0_g30', 'n104', 'net_0_g31', 'n105', 'n107', 'net_1_g34', 'net_0_g36', 'net_0_g37', 'n110', 'n111', 'net_0_g38', 'net_1_g41', 'Z_neg_g41', 'net_1_g43', 'Z_neg_g43', 'n117', 'n118', 'net_0_g45', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 112 | 103 | 0.11388050000000005
100111111000010010101001001010101 | ['n67', 'n68', 'n69', 'net_0_g02', 'ZN_neg_g03', 'n70', 'n75', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'net_0_g15', 'n87', 'net_0_g18', 'n90', 'n92', 'n94', 'n96', 'net_2_g23', 'net_0_g24', 'n98', 'n100', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'n110', 'n111', 'n113', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'net_0_g42', 'x1_g43', 'Z_neg_g43', 'net_0_g43', 'n117', 'net_0_g46', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 96 | 91 | 0.08768509999999996
001101111011101001101000000111100 | ['n67', 'n68', 'ZN_neg_g03', 'n70', 'net_0_g03', 'n73', 'net_0_g04', 'n78', 'net_1_g07', 'net_0_g08', 'n80', 'n82', 'net_0_g11', 'net_1_g13', 'net_0_g13', 'net_1_g16', 'net_0_g16', 'n90', 'n92', 'net_0_g20', 'net_1_g21', 'n94', 'net_0_g21', 'n96', 'net_0_g24', 'n98', 'net_0_g26', 'n100', 'net_0_g28', 'n102', 'net_0_g29', 'n104', 'net_1_g31', 'net_0_g33', 'n107', 'net_0_g34', 'n108', 'n110', 'n111', 'net_0_g38', 'x1_g41', 'Z_neg_g41', 'net_2_g41', 'x1_g43', 'Z_neg_g43', 'net_2_g43', 'net_1_g44', 'net_0_g44', 'n117', 'n118', 'net_0_g45', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 110 | 99 | 0.10095540000000003
001100111001111001001111100001011 | ['n67', 'n68', 'n69', 'ZN_neg_g03', 'n70', 'n75', 'n80', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'net_0_g15', 'n87', 'n92', 'net_2_g19', 'net_0_g20', 'n94', 'net_2_g21', 'net_0_g22', 'n96', 'net_2_g23', 'net_0_g24', 'n98', 'net_2_g25', 'net_0_g26', 'n100', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'n110', 'n111', 'n113', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'Z_neg_g43', 'net_3_g43', 'net_0_g44', 'n117', 'n118', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 100 | 94 | 0.09068520000000002
011001100011101010111001011111001 | ['n67', 'n68', 'n69', 'ZN_neg_g03', 'n70', 'n73', 'net_1_g05', 'n75', 'n78', 'net_1_g08', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'net_0_g18', 'n90', 'n92', 'net_2_g19', 'net_0_g20', 'n94', 'net_2_g21', 'net_0_g22', 'n96', 'n98', 'net_2_g25', 'net_0_g26', 'n100', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'n110', 'n111', 'n113', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'net_0_g42', 'x1_g43', 'Z_neg_g43', 'net_0_g43', 'net_1_g44', 'net_0_g44', 'n117', 'n118', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 102 | 98 | 0.09258279999999997
011010101010001000100001010000101 | ['n67', 'n68', 'n69', 'net_1_g02', 'net_0_g02', 'ZN_neg_g03', 'n70', 'n73', 'net_1_g05', 'n75', 'n80', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'net_0_g18', 'n90', 'n92', 'n94', 'n96', 'n98', 'net_2_g25', 'net_0_g26', 'n100', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'n110', 'n111', 'n113', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'net_1_g42', 'net_0_g42', 'x1_g43', 'Z_neg_g43', 'net_0_g43', 'net_0_g44', 'n117', 'n118', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 99 | 95 | 0.0886077999999999
110001111111010010111001100001010 | ['n67', 'n68', 'ZN_neg_g03', 'n70', 'net_0_g03', 'n73', 'net_0_g04', 'n78', 'net_1_g07', 'net_0_g08', 'n80', 'n82', 'net_0_g11', 'net_1_g13', 'net_0_g13', 'net_1_g16', 'net_0_g16', 'n90', 'n92', 'net_0_g20', 'n94', 'net_0_g22', 'n96', 'net_0_g24', 'n98', 'net_0_g26', 'n100', 'net_0_g27', 'n102', 'net_1_g29', 'net_0_g30', 'n104', 'net_0_g31', 'n105', 'n107', 'net_0_g34', 'n108', 'n111', 'net_1_g38', 'net_1_g41', 'Z_neg_g41', 'x1_g43', 'Z_neg_g43', 'net_2_g43', 'n118', 'net_1_g45', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 108 | 94 | 0.09600769999999992
001011100000101001100000101111000 | ['n67', 'n68', 'ZN_neg_g03', 'n70', 'net_0_g03', 'n73', 'net_1_g04', 'net_0_g05', 'n78', 'net_1_g07', 'net_0_g08', 'n80', 'n82', 'net_0_g11', 'net_1_g13', 'net_0_g13', 'n87', 'net_3_g16', 'n90', 'n92', 'net_0_g19', 'net_1_g21', 'n94', 'net_0_g21', 'n96', 'net_0_g23', 'net_1_g25', 'n98', 'net_0_g25', 'n100', 'net_0_g28', 'n102', 'net_0_g29', 'n104', 'net_1_g31', 'net_0_g33', 'n107', 'net_0_g34', 'n108', 'n110', 'n111', 'net_0_g38', 'x1_g41', 'Z_neg_g41', 'net_2_g41', 'x1_g43', 'Z_neg_g43', 'net_2_g43', 'net_2_g44', 'net_1_g44', 'net_0_g44', 'n117', 'n118', 'net_0_g45', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 112 | 102 | 0.10591210000000006
010111110011011101010111110100001 | ['n67', 'n68', 'n69', 'net_1_g02', 'net_0_g02', 'ZN_neg_g03', 'n70', 'n75', 'n78', 'net_1_g08', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'net_0_g18', 'n90', 'n92', 'net_2_g19', 'net_0_g20', 'n94', 'n96', 'net_2_g23', 'net_0_g24', 'n98', 'net_2_g25', 'net_0_g26', 'n100', 'net_2_g27', 'net_0_g28', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'n110', 'n111', 'n113', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'net_0_g42', 'x1_g43', 'Z_neg_g43', 'net_0_g43', 'n117', 'net_0_g46', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 104 | 98 | 0.1076379999999999
101000001010101100110001010111001 | ['n67', 'n68', 'n69', 'ZN_neg_g03', 'n70', 'n73', 'net_1_g05', 'n75', 'n80', 'n81', 'n82', 'ZN_neg_g12', 'n84', 'n86', 'n89', 'net_0_g18', 'n90', 'n92', 'n94', 'net_2_g21', 'net_0_g22', 'n96', 'n98', 'net_2_g25', 'net_0_g26', 'n100', 'net_2_g27', 'net_0_g28', 'n102', 'n104', 'net_0_g32', 'n105', 'n107', 'net_0_g35', 'n108', 'net_1_g37', 'net_0_g37', 'n110', 'n111', 'n113', 'net_0_g40', 'x1_g41', 'Z_neg_g41', 'net_0_g41', 'n115', 'x1_g43', 'Z_neg_g43', 'net_0_g43', 'n117', 'n118', 'Z_neg_g49', 'Z_neg_g50', 'Z_neg_g51', 'Z_neg_g52', 'Z_neg_g53', 'Z_neg_g54', 'Z_neg_g55', 'Z_neg_g56', 'Z_neg_g57', 'Z_neg_g58', 'Z_neg_g59', 'Z_neg_g60', 'Z_neg_g61', 'Z_neg_g62', 'Z_neg_g63', 'Z_neg_g64', 'GRANT_O_3_', 'GRANT_O_2_', 'GRANT_O_1_', 'GRANT_O_0_', 'CODA0_REG_2__SCAN_OUT', 'CODA0_REG_1__SCAN_OUT', 'CODA0_REG_0__SCAN_OUT', 'CODA1_REG_2__SCAN_OUT', 'CODA1_REG_1__SCAN_OUT', 'CODA1_REG_0__SCAN_OUT', 'CODA2_REG_2__SCAN_OUT', 'CODA2_REG_1__SCAN_OUT', 'CODA2_REG_0__SCAN_OUT', 'CODA3_REG_2__SCAN_OUT', 'CODA3_REG_1__SCAN_OUT', 'CODA3_REG_0__SCAN_OUT', 'GRANT_REG_3__SCAN_OUT', 'GRANT_REG_2__SCAN_OUT', 'GRANT_REG_1__SCAN_OUT', 'GRANT_REG_0__SCAN_OUT', 'GRANT_O_REG_3__SCAN_OUT', 'GRANT_O_REG_2__SCAN_OUT', 'GRANT_O_REG_1__SCAN_OUT', 'GRANT_O_REG_0__SCAN_OUT', 'RU3_REG_SCAN_OUT', 'FU1_REG_SCAN_OUT', 'FU3_REG_SCAN_OUT', 'RU1_REG_SCAN_OUT', 'RU4_REG_SCAN_OUT', 'FU2_REG_SCAN_OUT', 'FU4_REG_SCAN_OUT', 'RU2_REG_SCAN_OUT'] | 101 | 98 | 0.1040909000000001
