Nome do arquivo avaliado: c17_v2 
Quantidade de vetores testados: 32 - 1.0 
total_evaluated_nodes: 25 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
00000 | [] | 0 | 0 | 0.00034979999999998346
00001 | [] | 0 | 0 | 0.0003342000000000067
00010 | [] | 0 | 0 | 0.00022110000000000185
00011 | [] | 0 | 0 | 0.00021699999999999497
00100 | [] | 0 | 0 | 0.00032390000000001584
00101 | [] | 0 | 0 | 0.0003366000000000202
00110 | [] | 0 | 0 | 0.00022090000000002386
00111 | [] | 0 | 0 | 0.00021560000000001023
01000 | [] | 0 | 0 | 0.0002151000000000236
01001 | [] | 0 | 0 | 0.0002167000000000141
01010 | [] | 0 | 0 | 0.00029670000000001084
01011 | [] | 0 | 0 | 0.00021540000000000448
01100 | [] | 0 | 0 | 0.00027759999999998897
01101 | [] | 0 | 0 | 0.0003353999999999857
01110 | [] | 0 | 0 | 0.00021560000000001023
01111 | [] | 0 | 0 | 0.00021650000000000835
10000 | [] | 0 | 0 | 0.0002148999999999901
10001 | [] | 0 | 0 | 0.00022719999999998297
10010 | [] | 0 | 0 | 0.00022010000000000085
10011 | [] | 0 | 0 | 0.0002168999999999921
10100 | [] | 0 | 0 | 0.00021640000000000548
10101 | [] | 0 | 0 | 0.00026740000000000097
10110 | [] | 0 | 0 | 0.0002228999999999981
10111 | [] | 0 | 0 | 0.0002435000000000076
11000 | [] | 0 | 0 | 0.0003176000000000012
11001 | [] | 0 | 0 | 0.00021959999999998647
11010 | [] | 0 | 0 | 0.00021669999999998635
11011 | [] | 0 | 0 | 0.00021560000000001023
11100 | [] | 0 | 0 | 0.00021609999999999685
11101 | [] | 0 | 0 | 0.00021599999999999397
11110 | [] | 0 | 0 | 0.00021809999999999885
11111 | [] | 0 | 0 | 0.0002167000000000141
runtime: 0.0667945
