Nome do arquivo avaliado: c1908 
Quantidade de vetores testados: 400 - 4.6566128730773926e-08 
total_evaluated_nodes: 885 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
100110011100011001101100110111110 | ['n58', 'n59', 'n60', 'net_000_g003', 'net_002_g003', 'n61', 'net_000_g004', 'net_002_g004', 'n62', 'n66', 'ZN_neg_g020', 'n78', 'n81', 'n94', 'n98', 'n132', 'n144', 'n145', 'n146', 'ZN_neg_g089', 'n147', 'ZN_neg_g090', 'n148', 'net_000_g092', 'net_002_g092', 'n150', 'net_000_g093', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'n157', 'net_0_g106', 'n164', 'n171', 'net_000_g114', 'net_0_g122', 'n180', 'ZN_neg_g126', 'n184', 'net_000_g127', 'net_002_g127', 'n190', 'n193', 'net_000_g136', 'n197', 'n198', 'n211', 'net_0_g156', 'n214', 'n221', 'net_000_g164', 'n227', 'n229', 'n230', 'n231', 'n232', 'n233', 'n234', 'n235', 'n236', 'n237', 'n238', 'ZN_neg_g181', 'n239', 'n243', 'n244', 'net_0_g188', 'n246', 'n247', 'ZN_neg_g192', 'n250', 'n253', 'n256', 'ZN_neg_g200', 'n258', 'ZN_neg_g201', 'n259', 'n260', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'ZN_neg_g227', 'n285', 'n286', 'net_000_g231', 'net_000_g233', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888'] | 322 | 101 | 9.621799699999999
010010001010101100111100011101100 | ['n58', 'n60', 'net_000_g003', 'n61', 'n62', 'n66', 'n81', 'n94', 'n98', 'n100', 'n132', 'n143', 'n144', 'n145', 'n146', 'ZN_neg_g089', 'n147', 'ZN_neg_g090', 'n148', 'net_000_g092', 'n150', 'net_000_g093', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'n157', 'net_000_g100', 'n171', 'net_000_g114', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n190', 'n193', 'n198', 'n211', 'n221', 'n227', 'n228', 'n229', 'n230', 'n231', 'n232', 'n233', 'n234', 'n235', 'n236', 'n237', 'n238', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'n286', 'n287', 'net_000_g231', 'net_000_g233', 'net_000_g236', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888'] | 317 | 72 | 5.8420392
101010001111111100000001101011101 | ['n58', 'n60', 'n66', 'n81', 'n98', 'n128', 'n132', 'n144', 'n157', 'n171', 'ZN_neg_g126', 'n184', 'net_000_g127', 'net_002_g127', 'n190', 'n193', 'n198', 'n211', 'n220', 'n221', 'n228', 'n260', 'ZN_neg_g227', 'n285', 'n286', 'net_000_g231', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2886', '2887', '2888', '2889', '2890', '2899'] | 324 | 41 | 9.642064099999999
101111000000101000100110110100000 | ['n58', 'n60', 'n61', 'net_000_g004', 'net_002_g004', 'n62', 'n66', 'n68', 'n73', 'n81', 'n94', 'n98', 'n100', 'net_000_g049', 'n127', 'n128', 'n129', 'n130', 'n132', 'net_000_g075', 'n133', 'n134', 'net_000_g077', 'n135', 'n136', 'net_000_g079', 'net_002_g079', 'n137', 'n138', 'net_000_g081', 'net_002_g081', 'n139', 'n140', 'net_000_g083', 'n141', 'n143', 'n144', 'n145', 'ZN_neg_g089', 'n147', 'ZN_neg_g090', 'n148', 'n149', 'net_000_g092', 'n150', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'net_0_g098', 'n156', 'n157', 'n167', 'ZN_neg_g112', 'n170', 'n171', 'n181', 'n182', 'ZN_neg_g125', 'n183', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n189', 'n190', 'n192', 'n193', 'net_000_g136', 'n198', 'n210', 'n211', 'net_000_g154', 'n220', 'n221', 'net_1_g167', 'net_0_g167', 'n225', 'n227', 'n228', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'ZN_neg_g227', 'n285', 'n286', 'net_000_g231', 'net_000_g233', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888'] | 267 | 101 | 213.9551834
000000110001111000100011001010101 | ['n58', 'n60', 'n66', 'n81', 'n98', 'n100', 'net_000_g049', 'n128', 'n132', 'n144', 'n157', 'net_000_g100', 'n171', 'net_000_g114', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n190', 'n193', 'net_000_g136', 'n198', 'net_000_g141', 'n211', 'net_000_g154', 'n221', 'n228', 'n260', 'n284', 'n286', 'n287', 'ZN_neg_g230', 'n288', 'n289', 'n290', 'net_000_g233', 'net_002_g233', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2886', '2887', '2888', '2889', '2890', '2892', '2899'] | 335 | 52 | 4.283931599999988
011001100011110100010001110100010 | ['n58', 'n59', 'n60', 'net_000_g003', 'n61', 'n62', 'n66', 'n67', 'n81', 'n94', 'n96', 'n97', 'n98', 'n100', 'n113', 'net_000_g061', 'n123', 'n124', 'n125', 'ZN_neg_g068', 'n126', 'n128', 'n129', 'n132', 'net_000_g075', 'n133', 'n134', 'n135', 'net_000_g078', 'net_002_g078', 'n136', 'net_000_g079', 'net_002_g079', 'n137', 'n138', 'net_000_g081', 'n139', 'n140', 'net_000_g083', 'net_002_g083', 'n141', 'n143', 'n144', 'n146', 'ZN_neg_g090', 'n148', 'n149', 'n150', 'net_000_g093', 'net_002_g093', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'n154', 'n155', 'n157', 'net_000_g100', 'n162', 'n171', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n190', 'net_000_g133', 'n193', 'n198', 'net_000_g141', 'n211', 'net_000_g154', 'n219', 'n221', 'n227', 'n228', 'n229', 'n230', 'n231', 'n232', 'n233', 'n234', 'n235', 'n236', 'n237', 'n238', 'ZN_neg_g181', 'n239', 'net_0_g185', 'n243', 'net_0_g186', 'n244', 'n246', 'n247', 'ZN_neg_g192', 'n250', 'n256', 'ZN_neg_g200', 'n258', 'ZN_neg_g201', 'n259', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'n286', 'n287', 'net_000_g231', 'net_000_g233', 'net_000_g236', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2888'] | 281 | 120 | 270.44321699999995
011000101011000110111101010001011 | ['n58', 'n60', 'net_000_g003', 'n61', 'n62', 'n66', 'n81', 'n98', 'n100', 'n128', 'n132', 'n143', 'n144', 'n146', 'ZN_neg_g090', 'n148', 'n149', 'n150', 'net_000_g093', 'net_002_g093', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'n157', 'net_000_g100', 'n171', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n190', 'net_000_g133', 'n193', 'n198', 'net_000_g141', 'n211', 'n221', 'net_000_g164', 'n228', 'ZN_neg_g201', 'n259', 'n260', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'ZN_neg_g221', 'n279', 'n280', 'net_000_g223', 'net_002_g223', 'n281', 'n282', 'net_000_g225', 'net_002_g225', 'n286', 'n287', 'net_000_g231', 'net_000_g233', 'net_000_g236', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888', '2891'] | 291 | 73 | 17.7119285
110010001110110000110111011001110 | ['n58', 'n60', 'net_000_g003', 'net_002_g003', 'n61', 'net_000_g004', 'net_002_g004', 'n62', 'n66', 'n81', 'n98', 'n100', 'n132', 'n143', 'n144', 'n146', 'ZN_neg_g090', 'n148', 'n149', 'net_000_g092', 'n150', 'net_000_g093', 'n151', 'ZN_neg_g095', 'n153', 'n157', 'n171', 'net_000_g114', 'ZN_neg_g126', 'n184', 'net_000_g127', 'net_002_g127', 'n190', 'net_000_g133', 'n193', 'net_000_g136', 'n198', 'n211', 'n221', 'n227', 'n229', 'n230', 'n231', 'n232', 'n233', 'n234', 'n235', 'n236', 'n237', 'n238', 'ZN_neg_g181', 'n239', 'n243', 'n244', 'n246', 'n247', 'ZN_neg_g192', 'n250', 'n253', 'n256', 'ZN_neg_g200', 'n258', 'ZN_neg_g201', 'n259', 'n260', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'net_000_g213', 'n271', 'net_000_g219', 'net_000_g225', 'ZN_neg_g227', 'n285', 'n286', 'net_000_g231', 'net_000_g233', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888'] | 312 | 88 | 5.613052499999981
101101010000000011111110000111000 | ['n58', 'n60', 'n61', 'net_000_g004', 'net_002_g004', 'n62', 'n66', 'n68', 'n73', 'n81', 'n98', 'n127', 'n128', 'n129', 'n130', 'n132', 'net_000_g075', 'net_002_g075', 'n133', 'net_000_g076', 'n134', 'n135', 'net_000_g078', 'n136', 'n137', 'n138', 'net_000_g081', 'net_002_g081', 'n139', 'n140', 'net_000_g083', 'n141', 'n142', 'n143', 'n144', 'n145', 'ZN_neg_g089', 'n147', 'ZN_neg_g090', 'n148', 'n149', 'net_000_g092', 'n150', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'net_0_g098', 'n156', 'n157', 'n167', 'ZN_neg_g112', 'n170', 'n171', 'n181', 'n182', 'ZN_neg_g125', 'n183', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n189', 'n190', 'net_000_g133', 'n192', 'n193', 'net_000_g136', 'n198', 'net_000_g141', 'n210', 'n211', 'net_000_g154', 'n220', 'n221', 'net_000_g164', 'net_1_g167', 'net_0_g167', 'n225', 'n227', 'n228', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'ZN_neg_g227', 'n285', 'n286', 'net_000_g231', 'net_000_g233', 'net_000_g236', '2753', '2755', '2762', '2767', '2768', '2779', '2783', '2786', '2811', '2888'] | 267 | 103 | 426.9141674
110110111001110101111110010110010 | ['n58', 'n59', 'n60', 'net_000_g003', 'net_002_g003', 'n61', 'net_000_g004', 'n62', 'n66', 'n68', 'n73', 'n95', 'n96', 'n97', 'n113', 'n120', 'n121', 'ZN_neg_g068', 'n126', 'n128', 'n129', 'n130', 'n131', 'n132', 'net_000_g075', 'n133', 'net_000_g076', 'n134', 'n135', 'net_000_g078', 'net_002_g078', 'n136', 'net_000_g079', 'n137', 'n138', 'net_000_g081', 'n139', 'n140', 'net_000_g083', 'net_002_g083', 'n141', 'n142', 'n143', 'n144', 'n145', 'ZN_neg_g089', 'n147', 'n149', 'net_000_g092', 'net_002_g092', 'n150', 'net_000_g093', 'net_002_g093', 'n151', 'n152', 'n154', 'net_000_g097', 'n155', 'n156', 'n157', 'n162', 'n165', 'net_000_g108', 'net_002_g108', 'n166', 'n167', 'ZN_neg_g112', 'n170', 'n171', 'net_000_g114', 'net_000_g116', 'n182', 'ZN_neg_g125', 'n183', 'ZN_neg_g126', 'n184', 'net_000_g127', 'n186', 'net_000_g129', 'n187', 'n188', 'net_1_g131', 'net_0_g131', 'n189', 'n190', 'net_000_g133', 'n192', 'net_000_g136', 'n195', 'net_000_g141', 'net_000_g154', 'n220', 'n221', 'n227', 'n228', 'n230', 'n232', 'n234', 'n243', 'n244', 'n246', 'n247', 'ZN_neg_g192', 'n250', 'n253', 'n256', 'net_000_g206', 'net_000_g209', 'net_0_g211', 'n269', 'n270', 'net_000_g213', 'n271', 'net_000_g219', 'net_000_g225', 'net_000_g233', '2753', '2755', '2762', '2767', '2786', '2888'] | 232 | 122 | 3919.3359876
010111000101001100000100111010010 | ['n58', 'n59', 'n60', 'n61', 'net_000_g004', 'n62', 'n66', 'n67', 'n94', 'n96', 'n97', 'n113', 'n123', 'ZN_neg_g068', 'n126', 'n128', 'n129', 'n130', 'n131', 'n132', 'net_000_g075', 'n133', 'net_000_g076', 'n134', 'net_000_g077', 'net_002_g077', 'n135', 'net_000_g078', 'net_002_g078', 'n136', 'net_000_g079', 'n137', 'n138', 'n139', 'n140', 'n141', 'n143', 'n144', 'n145', 'ZN_neg_g089', 'n147', 'n149', 'net_000_g092', 'n150', 'net_000_g093', 'n151', 'n152', 'ZN_neg_g095', 'n153', 'n154', 'net_000_g097', 'n155', 'n156', 'n157', 'net_000_g100', 'n162', 'n165', 'n166', 'n167', 'ZN_neg_g112', 'n170', 'n171', 'net_000_g114', 'net_000_g116', 'n182', 'ZN_neg_g125', 'n183', 'ZN_neg_g126', 'n184', 'net_000_g127', 'net_002_g127', 'n186', 'net_000_g129', 'n187', 'n188', 'net_1_g131', 'net_0_g131', 'n189', 'n190', 'n192', 'net_000_g136', 'n195', 'net_000_g141', 'n220', 'n221', 'net_000_g164', 'n227', 'n228', 'n230', 'n232', 'n234', 'n243', 'n244', 'n246', 'n247', 'ZN_neg_g192', 'n250', 'n253', 'n256', 'net_000_g206', 'net_000_g209', 'n269', 'n270', 'n271', 'net_000_g219', 'net_000_g225', 'net_000_g233', 'net_000_g236', '2753', '2755', '2762', '2767', '2786', '2888'] | 239 | 114 | 1874.7716468999997
