Nome do arquivo avaliado: c432_minimal 
Quantidade de vetores testados: 50 - 7.275957614183426e-10 
total_evaluated_nodes: 598 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
101100001010000010111011111111111001 | [] | 27 | 0 | 0.22586680000000003
111010000010110110000110110111001010 | [] | 36 | 0 | 0.32098219999999994
110000100010111110110001101111111001 | [] | 31 | 0 | 0.2519772
000011000111111010111100110001101000 | [] | 39 | 0 | 0.3117255
010101001101000110011000011100010110 | [] | 40 | 0 | 0.3323559999999999
100110100100000010010101110001110100 | [] | 41 | 0 | 0.3506760999999998
001110011011100011010110111010001111 | [] | 34 | 0 | 0.2722924000000002
011101000000100010001011111111111111 | [] | 32 | 0 | 0.28500039999999993
011101100000101010110001011000101011 | [] | 31 | 0 | 0.25913600000000026
101111000001010011111011011000001001 | [] | 34 | 0 | 0.2878516000000002
011100010001100000010010111001001111 | [] | 36 | 0 | 0.30210209999999993
000100011001100111001101110111110000 | [] | 35 | 0 | 0.2971751
111100000011101111111100011001011101 | [] | 38 | 0 | 0.2860673
001100101000110011101001110010100001 | [] | 33 | 0 | 0.2553491000000001
101011000010010101000101111010001000 | [] | 41 | 0 | 0.3288232999999998
101100111010101011111100010111111101 | [] | 36 | 0 | 0.2707405999999999
110110100011110110110001010110110111 | [] | 33 | 0 | 0.25816209999999984
100111101110100101111011010001000111 | [] | 37 | 0 | 0.28108419999999956
000010110110110101010001100110110111 | [] | 34 | 0 | 0.26595420000000036
100010111111010101001011101000100111 | [] | 35 | 0 | 0.2656963999999995
101000101101001011011111100101100110 | [] | 38 | 0 | 0.28000000000000025
110011010110001111101000011000110011 | [] | 36 | 0 | 0.2669117999999999
101101100001101101000100001010001001 | [] | 35 | 0 | 0.27552170000000054
001110000111010110110010000111101011 | [] | 31 | 0 | 0.2415711999999992
101011101011010000110110111000100010 | [] | 33 | 0 | 0.24634229999999935
000100001101010111001110110001111110 | [] | 42 | 0 | 0.31036669999999944
110010111000011100001011100000011010 | [] | 31 | 0 | 0.2430842000000002
000010000010000001101100110011101011 | [] | 35 | 0 | 0.2676439999999989
110010001010100101110100000111011000 | [] | 35 | 0 | 0.2769857000000009
010011110011001100001100100010101001 | [] | 35 | 0 | 0.2678843999999998
001011000110111110011001111100100111 | [] | 36 | 0 | 0.26286950000000076
100000001001011000001111000011000101 | [] | 38 | 0 | 0.29122379999999914
011011011001001011010011001100001011 | [] | 35 | 0 | 0.2643600999999993
001111110101011110011011100010100010 | [] | 31 | 0 | 0.23701949999999883
100011100100101111011100001110101110 | [] | 40 | 0 | 0.2962617000000005
011101010011000000001100111000111011 | [] | 37 | 0 | 0.2775388999999997
100011010101011110011010001110101001 | [] | 34 | 0 | 0.2599550999999991
000011011011011111101011110000100111 | [] | 35 | 0 | 0.273074900000001
110011001001010111100000111001010101 | [] | 43 | 0 | 0.33270480000000013
010100000011010100010010101001001101 | [] | 41 | 0 | 0.3139632999999993
001010000011011110011101101011100100 | [] | 36 | 0 | 0.28150740000000063
110001000100101010110001111011110111 | [] | 39 | 0 | 0.2891862000000014
010011011010111111100000010001010010 | [] | 43 | 0 | 0.3139359000000006
011000001110011000111111011000101111 | [] | 37 | 0 | 0.2672448000000003
101010100110000110100110011011111111 | [] | 33 | 0 | 0.2430223999999992
010001010111001001010100100100010011 | [] | 42 | 0 | 0.319242899999999
111010110011011000101001000111110011 | [] | 29 | 0 | 0.22621420000000114
001111010001011111111101110000111010 | [] | 35 | 0 | 0.2718065999999997
000001000101111010000111100101110001 | [] | 36 | 0 | 0.2816787999999999
100110101000001101000110100111011000 | [] | 33 | 0 | 0.25396609999999953
runtime: 13.9566747
