Nome do arquivo avaliado: cavlc 
Quantidade de vetores testados: 100 - 0.09765625 
total_evaluated_nodes: 1318 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
0011001100 | ['n85', 'n93', 'net_1_g073', 'ZN_neg_g133', 'n154', 'net_0_g133', 'net_1_g133', 'net_1_g134', 'net_1_g234', 'net_1_g243', 'n303', 'n305', 'n346', 'n347', 'net_1_g324', 'n382', 'net_2_g359', 'ZN_neg_g360', 'n383', 'n402', 'net_1_g380', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 614 | 32 | 4.498752800000005
1100000000 | ['n21', 'n22', 'n23', 'n25', 'n39', 'n40', 'net_0_g020', 'n41', 'n42', 'net_2_g021', 'n46', 'n53', 'n54', 'n65', 'n77', 'net_0_g056', 'n85', 'n86', 'n92', 'net_1_g071', 'net_0_g071', 'net_0_g073', 'n95', 'n147', 'net_0_g134', 'n178', 'n185', 'net_0_g164', 'n186', 'net_0_g167', 'n188', 'n189', 'net_1_g168', 'n202', 'n203', 'net_2_g182', 'net_0_g189', 'ZN_neg_g193', 'n214', 'n220', 'n229', 'Z_neg_g209', 'n230', 'net_3_g209', 'n231', 'ZN_neg_g211', 'n232', 'n233', 'net_0_g213', 'n234', 'n236', 'n237', 'n238', 'n239', 'net_0_g218', 'n240', 'n241', 'n243', 'net_0_g222', 'ZN_neg_g231', 'n252', 'net_0_g231', 'n253', 'n254', 'n256', 'n261', 'n273', 'net_0_g252', 'n274', 'net_3_g253', 'n279', 'net_0_g258', 'n280', 'net_1_g259', 'net_1_g260', 'n281', 'ZN_neg_g271', 'n292', 'n294', 'n296', 'n301', 'net_1_g280', 'n302', 'net_0_g281', 'n303', 'net_2_g282', 'n305', 'n315', 'net_3_g293', 'net_2_g293', 'n326', 'n341', 'n343', 'n347', 'net_2_g327', 'net_1_g328', 'Z_neg_g328', 'n351', 'n357', 'n358', 'n362', 'net_3_g339', 'net_2_g339', 'n368', 'n374', 'net_0_g359', 'n382', 'ZN_neg_g365', 'n388', 'n392', 'net_0_g369', 'n393', 'n395', 'net_0_g373', 'n396', 'n397', 'ZN_neg_g375', 'n398', 'n400', 'net_1_g377', 'n401', 'n402', 'net_2_g379', 'net_0_g380', 'net_0_g382', 'n405', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 629 | 137 | 4.176492599999996
0010110011 | ['n23', 'ZN_neg_g016', 'n37', 'n95', 'n106', 'n107', 'net_0_g086', 'n119', 'ZN_neg_g119', 'n140', 'n147', 'ZN_neg_g154', 'n175', 'n176', 'net_2_g155', 'net_1_g155', 'n203', 'n213', 'ZN_neg_g193', 'n214', 'ZN_neg_g196', 'n217', 'net_0_g196', 'net_1_g196', 'n218', 'n228', 'n229', 'n254', 'n256', 'net_1_g240', 'net_0_g240', 'n261', 'n305', 'net_0_g284', 'n348', 'net_1_g327', 'ZN_neg_g360', 'n383', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 595 | 49 | 3.7861446
0010000010 | ['n22', 'n24', 'n27', 'n28', 'n39', 'net_0_g022', 'n43', 'n44', 'n46', 'n49', 'n52', 'n53', 'net_2_g032', 'net_1_g032', 'n63', 'n64', 'n66', 'n76', 'n80', 'n83', 'n84', 'net_1_g064', 'n85', 'n95', 'n134', 'net_000_g161', 'n182', 'net_002_g161', 'n183', 'n184', 'net_0_g163', 'n189', 'n202', 'n203', 'net_2_g182', 'net_0_g189', 'n211', 'net_1_g190', 'ZN_neg_g191', 'n212', 'n213', 'ZN_neg_g193', 'n214', 'ZN_neg_g196', 'n217', 'n218', 'n226', 'n227', 'n228', 'n229', 'n241', 'n246', 'ZN_neg_g231', 'n252', 'net_0_g231', 'net_1_g231', 'n253', 'n254', 'n256', 'n261', 'n268', 'net_0_g248', 'n269', 'n273', 'n274', 'n276', 'net_1_g255', 'n277', 'net_0_g256', 'n279', 'n280', 'net_1_g260', 'n281', 'n299', 'net_2_g279', 'net_1_g279', 'net_0_g279', 'n300', 'n301', 'n302', 'n303', 'net_2_g282', 'n305', 'ZN_neg_g321', 'n344', 'n346', 'n347', 'net_0_g324', 'net_2_g327', 'n376', 'ZN_neg_g354', 'n377', 'ZN_neg_g355', 'n378', 'net_0_g356', 'n379', 'n380', 'net_2_g357', 'ZN_neg_g358', 'n381', 'n382', 'ZN_neg_g365', 'n388', 'n390', 'net_2_g367', 'n400', 'n401', 'n402', 'net_0_g382', 'n405', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 608 | 121 | 4.0612416999999965
1010010101 | ['n22', 'n42', 'n52', 'n53', 'net_2_g032', 'n85', 'net_2_g189', 'net_1_g239', 'n281', 'n303', 'n305', 'n346', 'n347', 'n382', 'ZN_neg_g360', 'n383', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 613 | 27 | 4.0072436999999965
1010000000 | ['n21', 'n22', 'n23', 'n25', 'ZN_neg_g014', 'n35', 'n39', 'n46', 'n54', 'n65', 'n77', 'n78', 'net_0_g057', 'n79', 'net_0_g059', 'n80', 'n83', 'net_2_g062', 'net_0_g063', 'n84', 'n85', 'net_2_g064', 'n92', 'net_0_g071', 'net_0_g073', 'n95', 'x1_g080', 'Z_neg_g080', 'n101', 'net_2_g080', 'n102', 'net_1_g081', 'n103', 'n107', 'net_2_g086', 'n108', 'n119', 'n147', 'net_0_g134', 'n183', 'net_1_g162', 'n184', 'net_0_g163', 'n189', 'ZN_neg_g169', 'n190', 'n202', 'n203', 'net_2_g182', 'net_0_g189', 'ZN_neg_g193', 'n214', 'n223', 'n229', 'n237', 'net_0_g216', 'n238', 'n239', 'net_0_g218', 'n240', 'n241', 'n243', 'net_0_g222', 'n245', 'net_2_g224', 'net_1_g224', 'net_1_g225', 'n246', 'ZN_neg_g231', 'n252', 'net_0_g231', 'n253', 'n254', 'n256', 'net_1_g239', 'net_2_g239', 'n261', 'n273', 'net_0_g252', 'n274', 'net_3_g253', 'n279', 'net_0_g258', 'n280', 'net_1_g259', 'net_1_g260', 'n281', 'n299', 'net_0_g278', 'net_1_g278', 'n300', 'n301', 'net_1_g281', 'n302', 'n303', 'net_2_g282', 'n305', 'n320', 'Z_neg_g298', 'n321', 'net_3_g298', 'n322', 'net_0_g299', 'n323', 'n324', 'net_0_g301', 'n325', 'n326', 'net_1_g303', 'n338', 'net_1_g315', 'net_0_g316', 'ZN_neg_g316', 'n339', 'n340', 'n342', 'net_1_g320', 'n343', 'ZN_neg_g321', 'n344', 'n345', 'net_0_g322', 'n346', 'n347', 'n361', 'n362', 'net_2_g339', 'n368', 'n374', 'net_0_g359', 'n382', 'n390', 'net_2_g367', 'n397', 'ZN_neg_g375', 'n398', 'n400', 'n401', 'n402', 'net_2_g379', 'net_0_g382', 'n405', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 639 | 153 | 4.231749999999998
0000111101 | ['net_2_g134', 'net_2_g189', 'net_1_g234', 'net_1_g239', 'net_1_g243', 'n305', 'net_1_g283', 'ZN_neg_g360', 'n383', 'n401', 'net_0_g379', 'n402', 'net_1_g380', 'ZN_neg_g383', 'n406', 'net_1_g384', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 537 | 27 | 3.3828677999999996
0000001000 | ['n21', 'n22', 'n24', 'n25', 'n27', 'n39', 'n54', 'n65', 'n95', 'ZN_neg_g099', 'n120', 'ZN_neg_g111', 'n132', 'n133', 'n134', 'n135', 'n136', 'n137', 'net_0_g116', 'x1_g125', 'Z_neg_g125', 'n146', 'net_2_g125', 'n147', 'net_2_g126', 'net_0_g134', 'ZN_neg_g138', 'n159', 'ZN_neg_g139', 'n160', 'n161', 'net_0_g140', 'n173', 'net_3_g152', 'net_2_g152', 'net_0_g155', 'n176', 'n203', 'net_0_g189', 'n223', 'n235', 'net_0_g214', 'n245', 'n246', 'net_2_g225', 'net_1_g232', 'net_0_g232', 'n253', 'n254', 'n303', 'net_1_g298', 'Z_neg_g298', 'n321', 'n323', 'n325', 'n326', 'net_0_g303', 'n343', 'n347', 'net_2_g327', 'n374', 'ZN_neg_g358', 'n381', 'n382', 'net_1_g359', 'net_0_g360', 'ZN_neg_g360', 'net_1_g360', 'n383', 'n386', 'net_0_g363', 'x1_g364', 'Z_neg_g364', 'net_0_g364', 'n387', 'net_0_g367', 'n390', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 610 | 88 | 4.1830652999999955
0010110001 | ['n23', 'ZN_neg_g016', 'n37', 'n92', 'net_0_g071', 'n93', 'net_2_g073', 'net_1_g073', 'n95', 'n106', 'n107', 'net_0_g086', 'n119', 'ZN_neg_g119', 'n140', 'n147', 'ZN_neg_g154', 'n175', 'n176', 'net_2_g155', 'net_1_g155', 'n203', 'n213', 'ZN_neg_g193', 'n214', 'ZN_neg_g196', 'n217', 'net_0_g196', 'net_1_g196', 'n218', 'n228', 'n229', 'n254', 'n256', 'net_1_g240', 'net_0_g240', 'n261', 'n305', 'net_0_g284', 'n348', 'ZN_neg_g360', 'n383', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 576 | 53 | 3.7071311000000122
0100100011 | ['n50', 'n119', 'n147', 'n176', 'n203', 'ZN_neg_g193', 'n214', 'n218', 'net_1_g197', 'n228', 'n229', 'n254', 'n256', 'net_2_g240', 'net_1_g240', 'net_0_g240', 'n261', 'n262', 'net_0_g241', 'n305', 'n349', 'net_0_g326', 'net_0_g327', 'net_0_g360', 'ZN_neg_g360', 'net_1_g360', 'net_2_g360', 'n383', 'net_0_g379', 'n402', 'net_1_g380', 'n405', '\\coeff_token[0]', '\\coeff_token[1]', '\\coeff_token[2]', '\\coeff_token[3]', '\\coeff_token[4]', '\\coeff_token[5]', '\\ctoken_len[0]', '\\ctoken_len[1]', '\\ctoken_len[2]', '\\ctoken_len[3]', '\\ctoken_len[4]'] | 605 | 43 | 4.237195099999994
