Nome do arquivo avaliado: arbiter 
Quantidade de vetores testados: 100 - 8.636168555094445e-76 
Node | #Vectors 
\grant[74] | 100 
anyGrant | 100 
\grant[91] | 100 
\grant[57] | 100 
\grant[114] | 100 
\grant[48] | 100 
\grant[76] | 100 
\grant[61] | 100 
\grant[8] | 100 
\grant[27] | 100 
\grant[67] | 100 
\grant[6] | 100 
\grant[31] | 100 
\grant[70] | 100 
\grant[85] | 100 
\grant[5] | 100 
\grant[110] | 100 
\grant[37] | 100 
\grant[96] | 100 
\grant[28] | 100 
\grant[75] | 100 
\grant[30] | 100 
\grant[54] | 100 
\grant[56] | 100 
\grant[108] | 100 
\grant[33] | 100 
\grant[127] | 100 
\grant[55] | 100 
\grant[12] | 100 
\grant[53] | 100 
\grant[78] | 100 
\grant[44] | 100 
\grant[25] | 100 
\grant[7] | 100 
\grant[32] | 100 
\grant[4] | 100 
\grant[87] | 100 
\grant[49] | 100 
\grant[92] | 100 
\grant[40] | 100 
\grant[20] | 100 
\grant[13] | 100 
\grant[123] | 100 
\grant[106] | 100 
\grant[69] | 100 
\grant[95] | 100 
\grant[26] | 100 
\grant[86] | 100 
\grant[43] | 100 
\grant[109] | 100 
\grant[71] | 100 
\grant[115] | 100 
\grant[116] | 100 
\grant[41] | 100 
\grant[121] | 100 
\grant[58] | 100 
\grant[73] | 100 
\grant[0] | 100 
\grant[50] | 100 
\grant[77] | 100 
\grant[117] | 100 
\grant[120] | 100 
\grant[107] | 100 
\grant[45] | 100 
\grant[10] | 100 
\grant[99] | 100 
\grant[35] | 100 
\grant[19] | 100 
\grant[100] | 100 
\grant[81] | 100 
\grant[16] | 100 
\grant[65] | 100 
\grant[46] | 100 
\grant[64] | 100 
\grant[2] | 100 
\grant[24] | 100 
\grant[59] | 100 
\grant[18] | 100 
\grant[51] | 100 
\grant[38] | 100 
\grant[29] | 100 
\grant[11] | 100 
\grant[80] | 100 
\grant[98] | 100 
\grant[101] | 100 
\grant[126] | 100 
\grant[118] | 100 
\grant[47] | 100 
\grant[15] | 100 
\grant[1] | 100 
\grant[90] | 100 
\grant[62] | 100 
\grant[14] | 100 
\grant[89] | 100 
\grant[93] | 100 
\grant[79] | 100 
\grant[83] | 100 
\grant[104] | 100 
\grant[94] | 100 
\grant[102] | 100 
\grant[36] | 100 
\grant[112] | 100 
\grant[52] | 100 
\grant[125] | 100 
\grant[103] | 100 
\grant[119] | 100 
\grant[124] | 100 
\grant[122] | 100 
\grant[21] | 100 
\grant[60] | 100 
\grant[88] | 100 
\grant[66] | 100 
\grant[97] | 100 
\grant[105] | 100 
\grant[34] | 100 
\grant[68] | 100 
\grant[113] | 100 
\grant[42] | 100 
\grant[82] | 100 
\grant[17] | 100 
\grant[63] | 100 
\grant[3] | 100 
\grant[111] | 100 
\grant[22] | 100 
\grant[39] | 100 
\grant[23] | 100 
\grant[72] | 100 
\grant[9] | 100 
\grant[84] | 100 
n3234 | 80 
n6068 | 80 
n2874 | 77 
n2694 | 77 
n6607 | 77 
n2604 | 75 
n3594 | 75 
n2064 | 75 
n1704 | 74 
n2649 | 74 
n5844 | 74 
n3729 | 74 
n4494 | 74 
n2109 | 73 
n2244 | 73 
n6697 | 73 
n5619 | 73 
n3144 | 73 
n6562 | 72 
n1614 | 72 
n4854 | 72 
n6652 | 72 
n5439 | 72 
n5259 | 72 
n3414 | 72 
n4584 | 72 
n5394 | 72 
n4134 | 72 
n5079 | 71 
n2829 | 71 
n4179 | 71 
n5169 | 71 
n1000 | 71 
n2199 | 71 
n5799 | 71 
n4764 | 70 
n4944 | 70 
n1839 | 70 
n4629 | 70 
n1002 | 70 
n5709 | 70 
n6247 | 70 
n2019 | 69 
n3189 | 69 
n6070 | 69 
n1064 | 69 
n4899 | 69 
n1522 | 69 
n3684 | 69 
n1794 | 69 
n852 | 69 
n4539 | 68 
n5304 | 68 
n1430 | 68 
n5484 | 68 
n2919 | 68 
n1241 | 68 
n1974 | 68 
n1884 | 68 
n3549 | 68 
n387 | 68 
n5214 | 68 
n2784 | 67 
n5124 | 67 
n5574 | 67 
n3954 | 67 
n3099 | 67 
n6024 | 67 
n1152 | 67 
n2154 | 67 
n3639 | 67 
n1749 | 67 
n1568 | 67 
n5889 | 67 
n5664 | 67 
n3909 | 67 
n2289 | 66 
n3864 | 66 
n3279 | 66 
n4719 | 66 
n2964 | 66 
n2739 | 66 
net_2_g5861 | 66 
n6382 | 66 
n1384 | 65 
n4359 | 65 
n4269 | 65 
n3459 | 65 
n4224 | 65 
n3999 | 65 
n2559 | 65 
n5934 | 65 
n5754 | 65 
n2514 | 64 
n4449 | 64 
n1337 | 64 
n386 | 64 
n3504 | 64 
n6292 | 64 
n5529 | 64 
n1929 | 63 
