Nome do arquivo avaliado: b02 
Quantidade de vetores testados: 16 - 1.0 
Node | #Vectors 
STATO_REG_2__SCAN_OUT | 16 
STATO_REG_1__SCAN_OUT | 16 
STATO_REG_0__SCAN_OUT | 16 
U_REG_SCAN_OUT | 16 
n12 | 14 
n18 | 11 
n22 | 11 
ZN_neg_g13 | 11 
n17 | 10 
n15 | 10 
n19 | 8 
n21 | 7 
n11 | 6 
n10 | 6 
net_0_g09 | 6 
net_0_g15 | 6 
net_1_g11 | 5 
n14 | 5 
net_1_g14 | 4 
n13 | 4 
net_0_g06 | 4 
net_0_g13 | 3 
net_1_g10 | 3 
net_1_g07 | 3 
net_0_g07 | 3 
net_1_g15 | 2 
net_1_g05 | 2 
net_0_g11 | 2 
net_1_g12 | 2 
net_1_g09 | 2 
net_1_g04 | 1 
net_0_g12 | 1 
net_0_g10 | 1 
net_0_g05 | 1 
net_0_g14 | 1 
net_1_g13 | 1 
net_1_g06 | 1 
net_0_g04 | 1 
