Nome do arquivo avaliado: b03 
Quantidade de vetores testados: 100 - 1.1641532182693481e-08 
Node | #Vectors 
CODA1_REG_0__SCAN_OUT | 100 
GRANT_O_REG_0__SCAN_OUT | 100 
GRANT_O_2_ | 100 
Z_neg_g53 | 100 
CODA3_REG_1__SCAN_OUT | 100 
n96 | 100 
CODA0_REG_0__SCAN_OUT | 100 
GRANT_O_0_ | 100 
Z_neg_g55 | 100 
CODA0_REG_2__SCAN_OUT | 100 
GRANT_O_1_ | 100 
RU1_REG_SCAN_OUT | 100 
Z_neg_g56 | 100 
Z_neg_g59 | 100 
GRANT_O_REG_1__SCAN_OUT | 100 
RU2_REG_SCAN_OUT | 100 
n100 | 100 
Z_neg_g62 | 100 
Z_neg_g43 | 100 
RU4_REG_SCAN_OUT | 100 
Z_neg_g60 | 100 
n102 | 100 
GRANT_REG_1__SCAN_OUT | 100 
Z_neg_g54 | 100 
Z_neg_g61 | 100 
GRANT_O_3_ | 100 
CODA3_REG_2__SCAN_OUT | 100 
Z_neg_g64 | 100 
n67 | 100 
FU1_REG_SCAN_OUT | 100 
GRANT_REG_3__SCAN_OUT | 100 
Z_neg_g50 | 100 
Z_neg_g51 | 100 
CODA2_REG_0__SCAN_OUT | 100 
CODA0_REG_1__SCAN_OUT | 100 
GRANT_O_REG_2__SCAN_OUT | 100 
Z_neg_g41 | 100 
CODA2_REG_1__SCAN_OUT | 100 
FU3_REG_SCAN_OUT | 100 
n94 | 100 
GRANT_REG_0__SCAN_OUT | 100 
FU2_REG_SCAN_OUT | 100 
n107 | 100 
Z_neg_g49 | 100 
Z_neg_g57 | 100 
Z_neg_g63 | 100 
CODA1_REG_1__SCAN_OUT | 100 
CODA3_REG_0__SCAN_OUT | 100 
CODA1_REG_2__SCAN_OUT | 100 
GRANT_O_REG_3__SCAN_OUT | 100 
n98 | 100 
n92 | 100 
FU4_REG_SCAN_OUT | 100 
n104 | 100 
GRANT_REG_2__SCAN_OUT | 100 
RU3_REG_SCAN_OUT | 100 
Z_neg_g52 | 100 
Z_neg_g58 | 100 
CODA2_REG_2__SCAN_OUT | 100 
n82 | 98 
ZN_neg_g03 | 97 
n70 | 97 
n68 | 95 
n118 | 95 
n90 | 92 
n111 | 92 
n110 | 80 
n80 | 78 
n108 | 77 
n78 | 77 
n117 | 75 
n73 | 75 
x1_g41 | 74 
n105 | 74 
x1_g43 | 72 
n69 | 56 
net_0_g28 | 55 
net_0_g32 | 53 
net_0_g22 | 53 
net_0_g26 | 53 
net_0_g35 | 53 
n113 | 53 
n115 | 53 
n75 | 53 
n86 | 53 
n81 | 53 
ZN_neg_g12 | 50 
n84 | 50 
net_0_g41 | 48 
net_0_g24 | 47 
net_0_g18 | 47 
net_0_g43 | 46 
net_0_g20 | 45 
net_0_g11 | 42 
n87 | 42 
net_0_g03 | 40 
net_0_g37 | 32 
net_0_g44 | 32 
net_2_g21 | 31 
net_2_g25 | 30 
net_1_g08 | 30 
net_2_g27 | 30 
net_1_g05 | 28 
n89 | 28 
net_0_g19 | 27 
net_0_g38 | 27 
net_0_g04 | 27 
net_2_g41 | 26 
net_0_g33 | 26 
net_2_g43 | 26 
net_1_g13 | 26 
net_1_g16 | 26 
net_0_g13 | 26 
net_0_g16 | 26 
net_0_g21 | 25 
net_2_g19 | 25 
net_0_g29 | 25 
net_0_g34 | 24 
net_0_g07 | 24 
net_0_g25 | 24 
net_0_g40 | 23 
net_0_g36 | 23 
net_0_g23 | 23 
net_0_g08 | 23 
net_2_g23 | 23 
net_1_g31 | 22 
net_0_g02 | 22 
net_1_g45 | 22 
net_0_g30 | 22 
net_0_g27 | 22 
net_0_g45 | 22 
net_1_g41 | 21 
net_0_g31 | 21 
net_3_g16 | 21 
net_1_g07 | 21 
net_1_g43 | 21 
net_1_g29 | 21 
net_3_g13 | 21 
net_0_g15 | 21 
net_0_g05 | 20 
net_0_g12 | 20 
net_1_g04 | 19 
net_1_g34 | 19 
net_1_g38 | 19 
net_0_g42 | 18 
net_1_g25 | 16 
net_1_g37 | 14 
net_2_g13 | 13 
net_1_g27 | 13 
net_1_g19 | 12 
net_1_g21 | 12 
net_1_g23 | 11 
net_1_g44 | 10 
net_2_g16 | 9 
net_0_g39 | 8 
net_1_g42 | 7 
net_1_g12 | 7 
net_1_g02 | 7 
net_3_g43 | 7 
net_1_g40 | 6 
net_2_g12 | 5 
net_0_g46 | 5 
net_3_g41 | 5 
net_2_g44 | 3 
net_2_g02 | 2 
net_2_g37 | 1 
