Nome do arquivo avaliado: c1355 
Quantidade de vetores testados: 10 - 4.547473508864641e-12 
Node | #Vectors 
net_000_g169 | 10 
net_000_g015 | 10 
net_000_g036 | 10 
n84 | 10 
n185 | 10 
net_000_g044 | 10 
n156 | 10 
ZN_neg_g164 | 10 
net_000_g005 | 10 
n161 | 10 
n140 | 10 
net_000_g084 | 10 
1344 | 10 
n124 | 10 
n237 | 10 
net_000_g109 | 10 
net_000_g049 | 10 
net_000_g053 | 10 
n79 | 10 
ZN_neg_g143 | 10 
n100 | 10 
n154 | 10 
ZN_neg_g168 | 10 
ZN_neg_g112 | 10 
net_000_g070 | 10 
net_000_g115 | 10 
net_000_g066 | 10 
net_000_g108 | 10 
net_000_g006 | 10 
net_000_g040 | 10 
net_000_g004 | 10 
1347 | 10 
ZN_neg_g105 | 10 
net_000_g078 | 10 
net_000_g032 | 10 
net_000_g124 | 10 
n219 | 10 
net_000_g001 | 10 
n143 | 10 
n128 | 10 
net_000_g010 | 10 
net_000_g030 | 10 
net_000_g007 | 10 
net_000_g063 | 10 
n98 | 10 
n137 | 10 
1353 | 10 
net_000_g034 | 10 
n74 | 10 
net_000_g026 | 10 
net_000_g074 | 10 
net_000_g046 | 10 
n145 | 10 
ZN_neg_g166 | 10 
1355 | 10 
net_000_g082 | 10 
1346 | 10 
n119 | 10 
1332 | 10 
net_000_g016 | 10 
n159 | 10 
n81 | 10 
n150 | 10 
net_000_g031 | 10 
n135 | 10 
n113 | 10 
n139 | 10 
n80 | 10 
n77 | 10 
1354 | 10 
n109 | 10 
1330 | 10 
net_000_g020 | 10 
ZN_neg_g125 | 10 
net_000_g055 | 10 
net_000_g099 | 10 
net_000_g002 | 10 
n123 | 10 
n160 | 10 
n132 | 10 
n131 | 10 
n76 | 10 
n101 | 10 
n117 | 10 
n75 | 10 
n107 | 10 
n144 | 10 
net_000_g035 | 10 
n142 | 10 
ZN_neg_g148 | 10 
n147 | 10 
net_000_g088 | 10 
net_000_g057 | 10 
net_000_g008 | 10 
net_000_g122 | 10 
n97 | 10 
net_000_g071 | 10 
n158 | 10 
net_000_g165 | 10 
net_000_g038 | 10 
n157 | 10 
net_000_g083 | 10 
n73 | 10 
ZN_neg_g152 | 10 
n243 | 10 
n141 | 10 
n126 | 10 
1351 | 10 
net_000_g113 | 10 
net_000_g056 | 10 
net_000_g009 | 10 
net_000_g068 | 10 
net_000_g171 | 10 
n152 | 10 
n216 | 10 
net_000_g060 | 10 
n127 | 10 
net_000_g014 | 10 
n130 | 10 
net_000_g142 | 10 
net_000_g158 | 10 
net_000_g094 | 10 
n182 | 10 
net_000_g051 | 10 
1338 | 10 
net_000_g000 | 10 
net_000_g144 | 10 
net_000_g081 | 10 
n90 | 10 
n85 | 10 
n239 | 10 
net_000_g087 | 10 
n103 | 10 
n102 | 10 
n225 | 10 
n89 | 10 
n99 | 10 
ZN_neg_g146 | 10 
n136 | 10 
n104 | 10 
n111 | 10 
n83 | 10 
n110 | 10 
n125 | 10 
net_000_g128 | 10 
net_000_g018 | 10 
net_000_g058 | 10 
net_000_g098 | 10 
n122 | 10 
n92 | 10 
net_000_g054 | 10 
net_000_g104 | 10 
n133 | 10 
n129 | 10 
net_000_g149 | 10 
n78 | 10 
net_000_g029 | 10 
n82 | 10 
1352 | 10 
n223 | 10 
net_000_g022 | 10 
