Node | #Vectors 
n65 | 10002 
n46 | 10002 
n178 | 10002 
n183 | 10002 
n84 | 10002 
net_0_g109 | 10002 
n83 | 10002 
ZN_neg_g039 | 10002 
n161 | 10002 
n48 | 10002 
ZN_neg_g035 | 10002 
n66 | 10002 
n81 | 10002 
n124 | 10002 
n136 | 10002 
n166 | 10002 
n148 | 10002 
net_0_g123 | 10002 
n165 | 10002 
n73 | 10002 
ZN_neg_g066 | 10002 
net_0_g125 | 10002 
net_0_g128 | 10002 
n105 | 10002 
n71 | 10002 
net_2_g095 | 10002 
n125 | 10002 
n100 | 10002 
n52 | 10002 
net_0_g111 | 10002 
n59 | 10002 
net_1_g015 | 10002 
ZN_neg_g020 | 10002 
n151 | 10002 
net_0_g104 | 10002 
n169 | 10002 
n50 | 10002 
net_000_g075 | 10002 
n72 | 10002 
net_0_g096 | 10002 
n180 | 10002 
n44 | 10002 
n53 | 10002 
n60 | 10002 
n159 | 10002 
n118 | 10002 
net_0_g038 | 10002 
n67 | 10002 
n157 | 10002 
n158 | 10002 
n182 | 10002 
n102 | 10002 
net_1_g110 | 10002 
n164 | 10002 
net_0_g135 | 10002 
223 | 10002 
n107 | 10002 
n77 | 10002 
n152 | 10002 
n45 | 10002 
n116 | 10002 
n139 | 10002 
n119 | 10002 
ZN_neg_g017 | 10002 
329 | 10002 
n181 | 10002 
net_1_g097 | 10002 
n47 | 10002 
n156 | 10002 
net_0_g073 | 10002 
n155 | 10002 
net_1_g108 | 10002 
n117 | 10002 
n74 | 10002 
n43 | 10002 
n189 | 10002 
n63 | 10002 
n103 | 10002 
n108 | 10002 
n154 | 10002 
n173 | 10002 
n62 | 10002 
n56 | 10002 
n162 | 10002 
net_1_g008 | 10002 
n153 | 10002 
n68 | 10002 
431 | 10002 
n132 | 10002 
net_000_g028 | 10002 
n70 | 10002 
n69 | 10002 
n99 | 10002 
net_0_g126 | 10002 
n134 | 10002 
n95 | 10002 
n55 | 10002 
n54 | 10002 
net_0_g034 | 10002 
ZN_neg_g061 | 10002 
n51 | 10002 
net_0_g098 | 10002 
n101 | 10002 
n187 | 10002 
n163 | 10002 
n123 | 10002 
net_000_g072 | 10002 
n78 | 10002 
n130 | 10002 
n143 | 10002 
n147 | 10002 
n57 | 10002 
n82 | 10002 
n191 | 10002 
n128 | 10002 
n172 | 10002 
n146 | 10002 
n140 | 10002 
n58 | 10002 
n89 | 10002 
n131 | 10002 
n168 | 10002 
430 | 10002 
n122 | 10002 
n90 | 10002 
n167 | 10002 
n160 | 10002 
n133 | 10002 
n137 | 10002 
n144 | 10002 
net_000_g068 | 10002 
n141 | 10002 
n49 | 10002 
