Nome do arquivo avaliado: cavlc 
Quantidade de vetores testados: 100 - 0.09765625 
Node | #Vectors 
\coeff_token[0] | 100 
\coeff_token[2] | 100 
\coeff_token[1] | 100 
\ctoken_len[2] | 100 
\ctoken_len[1] | 100 
\coeff_token[4] | 100 
\coeff_token[3] | 100 
\ctoken_len[3] | 100 
\coeff_token[5] | 100 
\ctoken_len[0] | 100 
\ctoken_len[4] | 100 
n383 | 89 
n305 | 89 
ZN_neg_g360 | 89 
n402 | 82 
net_1_g380 | 67 
n203 | 53 
n147 | 51 
n256 | 50 
ZN_neg_g193 | 50 
n382 | 50 
n347 | 50 
n95 | 50 
n214 | 50 
n85 | 48 
n303 | 47 
n261 | 46 
n254 | 45 
n229 | 43 
n22 | 42 
n346 | 40 
n401 | 39 
net_0_g379 | 37 
n39 | 31 
n400 | 31 
net_1_g243 | 30 
n93 | 29 
n176 | 29 
net_1_g239 | 28 
net_1_g073 | 28 
n228 | 26 
n119 | 25 
net_0_g240 | 25 
n53 | 25 
n218 | 24 
net_0_g360 | 24 
n23 | 24 
n21 | 22 
n281 | 22 
n374 | 22 
n343 | 22 
n65 | 21 
n27 | 21 
n24 | 21 
n25 | 20 
n84 | 20 
n202 | 19 
Z_neg_g125 | 18 
net_1_g234 | 18 
n302 | 18 
n92 | 18 
n146 | 18 
n406 | 17 
net_2_g378 | 17 
ZN_neg_g383 | 17 
ZN_neg_g133 | 17 
n154 | 17 
n253 | 16 
net_1_g134 | 16 
net_0_g193 | 15 
ZN_neg_g154 | 15 
n390 | 15 
n83 | 15 
net_1_g283 | 15 
n54 | 15 
n217 | 15 
n175 | 15 
ZN_neg_g196 | 15 
n64 | 15 
net_0_g189 | 15 
net_1_g064 | 14 
net_2_g073 | 14 
net_1_g384 | 14 
n209 | 14 
n301 | 14 
n63 | 14 
n405 | 14 
net_2_g189 | 14 
net_1_g240 | 14 
net_0_g134 | 14 
net_1_g155 | 13 
n368 | 13 
net_2_g243 | 13 
x1_g125 | 13 
net_0_g284 | 13 
net_1_g189 | 13 
n137 | 13 
net_2_g239 | 13 
n28 | 13 
n213 | 13 
net_2_g282 | 13 
n189 | 13 
n326 | 12 
net_0_g377 | 12 
net_1_g327 | 12 
net_0_g233 | 12 
net_2_g327 | 12 
n241 | 12 
net_1_g377 | 11 
n262 | 11 
ZN_neg_g231 | 11 
n42 | 11 
n252 | 11 
n107 | 11 
n173 | 11 
net_1_g182 | 11 
n299 | 11 
net_1_g324 | 10 
n70 | 10 
net_2_g155 | 10 
net_1_g126 | 10 
net_2_g134 | 10 
n291 | 10 
n80 | 10 
net_1_g032 | 10 
n349 | 10 
n74 | 10 
n300 | 10 
net_1_g360 | 10 
n161 | 10 
n52 | 9 
n274 | 9 
n50 | 9 
net_0_g133 | 9 
n387 | 9 
ZN_neg_g358 | 9 
net_0_g327 | 9 
n140 | 9 
n246 | 9 
ZN_neg_g119 | 9 
net_2_g032 | 9 
net_0_g073 | 9 
n196 | 9 
n367 | 9 
n381 | 9 
n188 | 9 
n342 | 9 
net_0_g196 | 9 
n226 | 9 
Z_neg_g364 | 9 
net_0_g279 | 9 
n69 | 9 
n177 | 8 
net_2_g125 | 8 
net_0_g359 | 8 
net_0_g382 | 8 
net_0_g361 | 8 
net_2_g126 | 8 
net_2_g182 | 8 
n243 | 8 
net_1_g133 | 8 
net_2_g063 | 8 
n340 | 8 
n396 | 8 
n325 | 8 
n136 | 7 
net_0_g231 | 7 
n338 | 7 
x1_g364 | 7 
net_2_g359 | 7 
n273 | 7 
n160 | 7 
n348 | 7 
net_2_g360 | 7 
n356 | 7 
n355 | 7 
ZN_neg_g139 | 7 
ZN_neg_g375 | 7 
n235 | 7 
n290 | 7 
n208 | 7 
n398 | 7 
net_0_g269 | 6 
n169 | 6 
net_1_g359 | 6 
n158 | 6 
n172 | 6 
n388 | 6 
net_1_g284 | 6 
ZN_neg_g365 | 6 
n227 | 6 
n106 | 6 
n280 | 6 
n118 | 6 
n76 | 6 
n46 | 6 
net_2_g064 | 6 
n128 | 6 
n324 | 6 
n33 | 6 
n386 | 6 
n323 | 6 
net_1_g320 | 6 
n269 | 6 
net_0_g323 | 6 
n184 | 6 
n268 | 6 
n315 | 6 
n353 | 6 
net_0_g234 | 6 
net_0_g148 | 6 
n237 | 6 
n32 | 5 
n91 | 5 
n117 | 5 
n259 | 5 
net_1_g053 | 5 
n145 | 5 
net_1_g269 | 5 
net_1_g148 | 5 
n168 | 5 
net_0_g154 | 5 
n339 | 5 
n279 | 5 
net_0_g326 | 5 
n288 | 5 
n399 | 5 
n220 | 5 
ZN_neg_g238 | 5 
ZN_neg_g316 | 5 
net_1_g125 | 5 
net_0_g282 | 5 
net_0_g125 | 5 
net_2_g281 | 5 
n58 | 5 
n73 | 5 
n251 | 5 
n320 | 5 
net_2_g379 | 5 
net_2_g240 | 5 
net_0_g155 | 5 
n373 | 5 
n72 | 5 
net_0_g383 | 5 
n183 | 5 
n165 | 5 
n393 | 5 
net_1_g260 | 5 
net_1_g279 | 5 
n397 | 5 
net_2_g098 | 5 
n223 | 5 
net_0_g071 | 5 
n225 | 4 
n297 | 4 
n380 | 4 
n286 | 4 
n105 | 4 
n134 | 4 
net_1_g231 | 4 
net_3_g281 | 4 
n66 | 4 
n174 | 4 
net_0_g320 | 4 
n309 | 4 
ZN_neg_g228 | 4 
ZN_neg_g079 | 4 
net_1_g196 | 4 
net_1_g379 | 4 
n322 | 4 
net_1_g190 | 4 
net_0_g152 | 4 
n277 | 4 
n257 | 4 
n250 | 4 
n215 | 4 
n57 | 4 
net_2_g152 | 4 
ZN_neg_g236 | 4 
net_0_g182 | 4 
net_0_g096 | 4 
n100 | 4 
n249 | 4 
net_0_g007 | 4 
ZN_neg_g194 | 4 
n232 | 4 
n108 | 4 
ZN_neg_g211 | 4 
n116 | 4 
n395 | 4 
n113 | 4 
net_0_g086 | 4 
n336 | 4 
n240 | 4 
n49 | 4 
n216 | 4 
n212 | 4 
net_0_g367 | 4 
net_0_g241 | 4 
n124 | 4 
net_0_g364 | 4 
n263 | 4 
n90 | 4 
n164 | 4 
n211 | 4 
net_3_g152 | 4 
ZN_neg_g242 | 4 
net_0_g072 | 4 
ZN_neg_g191 | 4 
n75 | 3 
net_0_g363 | 3 
net_0_g048 | 3 
net_0_g319 | 3 
n224 | 3 
net_2_g364 | 3 
n157 | 3 
n115 | 3 
net_0_g188 | 3 
ZN_neg_g166 | 3 
n296 | 3 
net_1_g351 | 3 
ZN_neg_g016 | 3 
n317 | 3 
net_1_g282 | 3 
net_3_g151 | 3 
n159 | 3 
n156 | 3 
ZN_neg_g223 | 3 
net_1_g361 | 3 
n394 | 3 
net_0_g358 | 3 
net_0_g242 | 3 
n103 | 3 
net_0_g156 | 3 
net_0_g278 | 3 
n186 | 3 
n31 | 3 
net_1_g358 | 3 
n86 | 3 
n321 | 3 
net_0_g301 | 3 
net_0_g010 | 3 
n341 | 3 
n245 | 3 
net_0_g063 | 3 
n149 | 3 
n283 | 3 
ZN_neg_g321 | 3 
Z_neg_g294 | 3 
net_0_g260 | 3 
n187 | 3 
net_1_g281 | 3 
n316 | 3 
n385 | 3 
n82 | 3 
ZN_neg_g138 | 3 
net_0_g345 | 3 
net_1_g049 | 3 
n51 | 3 
net_0_g168 | 3 
net_0_g207 | 3 
net_1_g037 | 3 
net_0_g252 | 3 
n372 | 3 
n167 | 3 
n123 | 3 
n153 | 3 
net_2_g270 | 3 
