Nome do arquivo avaliado: ctrl 
Quantidade de vetores testados: 100 - 0.78125 
Node | #Vectors 
\alu_op_ext[1] | 100 
\sel_reg_dst[0] | 100 
\alu_op[1] | 100 
ZN_neg_g86 | 100 
Cin | 100 
\alu_op[0] | 100 
halt | 100 
invA | 100 
invB | 100 
jump | 100 
\alu_op[2] | 100 
ZN_neg_g68 | 100 
ZN_neg_g69 | 100 
bltz | 100 
beqz | 100 
ZN_neg_g04 | 100 
\sel_alu_opB[0] | 100 
\alu_op_ext[3] | 100 
Z_neg_g26 | 100 
n67 | 100 
mem_write | 100 
reg_write | 100 
sel_wb | 100 
n35 | 100 
sel_pc_opA | 100 
bgez | 100 
\sel_alu_opB[1] | 100 
Z_neg_g35 | 100 
Z_neg_g45 | 100 
\sel_reg_dst[1] | 100 
sel_pc_opB | 100 
\alu_op_ext[0] | 100 
Z_neg_g06 | 100 
\alu_op_ext[2] | 100 
bnez | 100 
n37 | 100 
Z_neg_g38 | 100 
Z_neg_g63 | 100 
n40 | 100 
ZN_neg_g52 | 97 
n86 | 97 
n34 | 96 
ZN_neg_g46 | 89 
n80 | 89 
n85 | 87 
ZN_neg_g51 | 87 
n54 | 83 
n90 | 83 
n42 | 82 
n43 | 80 
n33 | 74 
n46 | 64 
n108 | 59 
n92 | 59 
n110 | 59 
x1_g63 | 56 
n82 | 53 
n70 | 53 
net_0_g66 | 53 
n96 | 53 
n109 | 53 
n72 | 53 
n38 | 53 
n49 | 52 
net_1_g85 | 52 
net_1_g20 | 51 
x1_g35 | 51 
x1_g38 | 51 
net_0_g70 | 50 
n57 | 50 
net_0_g69 | 50 
net_0_g68 | 49 
net_1_g14 | 49 
net_1_g55 | 49 
n115 | 47 
Z_neg_g61 | 47 
n58 | 47 
n66 | 47 
n84 | 47 
n88 | 47 
n95 | 47 
n69 | 47 
n91 | 47 
n44 | 47 
Z_neg_g54 | 47 
n78 | 47 
n36 | 47 
net_0_g35 | 46 
net_0_g46 | 44 
net_1_g80 | 44 
net_0_g60 | 43 
net_0_g38 | 42 
net_1_g35 | 42 
x1_g06 | 42 
n56 | 41 
net_1_g82 | 41 
net_0_g59 | 41 
ZN_neg_g23 | 41 
net_1_g26 | 41 
net_0_g52 | 41 
net_0_g77 | 41 
n55 | 40 
n51 | 39 
x1_g26 | 38 
net_000_g16 | 38 
net_1_g06 | 38 
net_1_g38 | 38 
n101 | 37 
net_0_g34 | 37 
net_1_g45 | 37 
n81 | 36 
x1_g45 | 35 
net_2_g63 | 35 
n41 | 34 
net_0_g06 | 33 
net_3_g63 | 32 
x1_g61 | 31 
n45 | 30 
n74 | 29 
n48 | 29 
n118 | 28 
net_3_g45 | 28 
ZN_neg_g79 | 27 
net_0_g02 | 27 
n52 | 27 
n113 | 27 
net_1_g03 | 27 
net_1_g70 | 27 
Z_neg_g19 | 27 
n77 | 27 
net_1_g69 | 27 
net_0_g26 | 26 
net_1_g75 | 26 
n65 | 26 
net_0_g10 | 25 
net_3_g54 | 24 
net_1_g74 | 24 
net_1_g66 | 23 
net_2_g61 | 23 
n60 | 23 
net_0_g50 | 23 
net_0_g13 | 23 
net_1_g36 | 22 
n112 | 22 
net_1_g48 | 22 
net_0_g63 | 21 
n73 | 21 
net_3_g26 | 21 
x1_g54 | 20 
net_001_g16 | 20 
net_2_g80 | 20 
net_3_g06 | 20 
net_1_g68 | 19 
net_0_g45 | 19 
net_1_g25 | 19 
net_0_g04 | 19 
net_0_g64 | 19 
net_1_g52 | 18 
net_0_g65 | 18 
net_1_g56 | 18 
net_1_g46 | 17 
net_0_g11 | 17 
net_2_g20 | 17 
net_2_g54 | 17 
net_0_g57 | 17 
net_0_g62 | 17 
net_0_g37 | 17 
net_2_g58 | 16 
net_0_g27 | 16 
net_0_g05 | 16 
net_0_g56 | 16 
net_2_g45 | 16 
net_1_g60 | 16 
net_0_g47 | 15 
net_0_g08 | 14 
net_0_g79 | 14 
n106 | 14 
n50 | 13 
net_2_g43 | 13 
n61 | 13 
net_0_g86 | 12 
net_3_g61 | 12 
n107 | 12 
net_2_g70 | 12 
net_2_g26 | 12 
net_2_g74 | 12 
net_0_g82 | 12 
net_2_g69 | 12 
x1_g19 | 12 
ZN_neg_g73 | 12 
net_1_g63 | 12 
net_1_g05 | 11 
net_0_g78 | 11 
net_1_g50 | 11 
net_1_g13 | 11 
n64 | 11 
net_3_g38 | 11 
net_0_g71 | 11 
net_1_g62 | 11 
net_3_g58 | 10 
n75 | 10 
net_0_g44 | 10 
net_3_g19 | 10 
net_003_g16 | 10 
net_1_g67 | 10 
n63 | 10 
net_2_g66 | 10 
net_0_g22 | 9 
net_2_g68 | 9 
net_1_g34 | 9 
net_0_g18 | 9 
net_2_g38 | 9 
net_0_g20 | 9 
net_0_g23 | 9 
net_2_g06 | 9 
net_0_g48 | 9 
net_2_g46 | 8 
net_1_g27 | 8 
net_2_g48 | 8 
net_1_g49 | 8 
net_2_g19 | 8 
net_0_g28 | 8 
net_002_g16 | 8 
net_1_g64 | 8 
net_0_g61 | 8 
net_1_g24 | 8 
net_0_g74 | 8 
net_2_g36 | 7 
net_3_g35 | 7 
net_2_g60 | 7 
net_0_g41 | 7 
net_0_g40 | 7 
net_0_g58 | 7 
net_1_g65 | 7 
net_0_g76 | 6 
net_2_g85 | 6 
net_0_g24 | 6 
net_1_g79 | 6 
net_1_g58 | 6 
net_1_g31 | 6 
net_1_g22 | 6 
net_0_g51 | 6 
net_1_g12 | 6 
net_2_g35 | 5 
net_0_g75 | 5 
net_0_g81 | 5 
net_1_g19 | 5 
net_1_g86 | 5 
net_0_g85 | 5 
net_0_g14 | 4 
net_1_g72 | 4 
net_0_g19 | 4 
net_1_g61 | 4 
net_1_g57 | 4 
net_0_g55 | 4 
net_2_g79 | 4 
n62 | 4 
net_2_g27 | 4 
net_0_g36 | 3 
net_0_g49 | 3 
net_0_g42 | 3 
net_0_g53 | 3 
net_1_g54 | 3 
net_1_g11 | 3 
net_1_g81 | 3 
net_0_g73 | 3 
net_1_g32 | 3 
net_1_g40 | 3 
net_0_g54 | 3 
net_0_g43 | 3 
net_0_g80 | 2 
net_0_g32 | 2 
net_1_g78 | 2 
net_0_g72 | 2 
net_1_g43 | 1 
net_1_g37 | 1 
net_1_g28 | 1 
net_0_g84 | 1 
net_0_g33 | 1 
net_1_g51 | 1 
