Nome do arquivo avaliado: dec 
Quantidade de vetores testados: 100 - 0.390625 
Node | #Vectors 
\selectp1[25] | 100 
\selectp1[115] | 100 
\selectp1[102] | 100 
\selectp2[63] | 100 
\selectp2[34] | 100 
\selectp2[120] | 100 
\selectp2[25] | 100 
\selectp2[14] | 100 
n441 | 100 
\selectp1[7] | 100 
\selectp2[4] | 100 
\selectp1[122] | 100 
\selectp2[122] | 100 
\selectp2[54] | 100 
n321 | 100 
\selectp2[32] | 100 
\selectp1[74] | 100 
\selectp2[124] | 100 
n286 | 100 
n300 | 100 
\selectp1[26] | 100 
\selectp1[100] | 100 
\selectp1[49] | 100 
\selectp1[104] | 100 
\selectp1[42] | 100 
\selectp1[121] | 100 
\selectp1[108] | 100 
\selectp2[117] | 100 
\selectp2[91] | 100 
\selectp1[14] | 100 
\selectp2[121] | 100 
\selectp2[1] | 100 
\selectp1[13] | 100 
\selectp2[75] | 100 
\selectp2[45] | 100 
\selectp2[84] | 100 
\selectp1[82] | 100 
\selectp1[6] | 100 
\selectp1[8] | 100 
\selectp1[85] | 100 
\selectp1[79] | 100 
\selectp2[8] | 100 
\selectp2[40] | 100 
\selectp2[47] | 100 
\selectp1[57] | 100 
ZN_neg_g159 | 100 
\selectp1[114] | 100 
\selectp2[6] | 100 
n543 | 100 
\selectp1[110] | 100 
\selectp2[56] | 100 
\selectp2[42] | 100 
n276 | 100 
\selectp2[38] | 100 
\selectp2[106] | 100 
\selectp2[9] | 100 
\selectp2[68] | 100 
\selectp1[94] | 100 
\selectp2[105] | 100 
\selectp2[83] | 100 
\selectp2[31] | 100 
\selectp1[5] | 100 
\selectp1[38] | 100 
\selectp1[59] | 100 
\selectp2[48] | 100 
\selectp1[39] | 100 
\selectp2[97] | 100 
\selectp2[49] | 100 
\selectp2[69] | 100 
\selectp2[57] | 100 
\selectp2[70] | 100 
\selectp2[24] | 100 
\selectp2[116] | 100 
\selectp1[69] | 100 
\selectp2[28] | 100 
\selectp1[75] | 100 
n282 | 100 
\selectp1[22] | 100 
\selectp2[60] | 100 
\selectp2[74] | 100 
\selectp1[95] | 100 
\selectp1[68] | 100 
\selectp2[110] | 100 
\selectp2[72] | 100 
n288 | 100 
n338 | 100 
\selectp1[117] | 100 
\selectp2[13] | 100 
\selectp1[77] | 100 
\selectp1[80] | 100 
\selectp1[99] | 100 
\selectp1[62] | 100 
\selectp2[20] | 100 
\selectp1[67] | 100 
\selectp1[15] | 100 
\selectp1[40] | 100 
\selectp1[35] | 100 
\selectp2[109] | 100 
\selectp2[37] | 100 
n509 | 100 
\selectp1[4] | 100 
\selectp2[3] | 100 
\selectp1[50] | 100 
\selectp2[125] | 100 
\selectp2[100] | 100 
ZN_neg_g004 | 100 
\selectp1[87] | 100 
n294 | 100 
\selectp1[105] | 100 
\selectp1[113] | 100 
\selectp1[76] | 100 
\selectp1[81] | 100 
\selectp1[73] | 100 
\selectp2[79] | 100 
\selectp1[71] | 100 
\selectp2[17] | 100 
\selectp2[111] | 100 
n268 | 100 
\selectp1[51] | 100 
\selectp1[120] | 100 
\selectp2[51] | 100 
\selectp1[125] | 100 
\selectp1[86] | 100 
\selectp2[12] | 100 
\selectp1[2] | 100 
\selectp2[7] | 100 
\selectp2[67] | 100 
\selectp1[126] | 100 
\selectp1[12] | 100 
\selectp2[39] | 100 
\selectp2[81] | 100 
\selectp1[65] | 100 
\selectp2[2] | 100 
\selectp1[58] | 100 
n304 | 100 
\selectp1[45] | 100 
\selectp2[87] | 100 
\selectp1[96] | 100 
\selectp2[62] | 100 
\selectp2[73] | 100 
\selectp2[126] | 100 
\selectp1[44] | 100 
\selectp2[77] | 100 
\selectp2[22] | 100 
\selectp1[23] | 100 
\selectp2[27] | 100 
\selectp2[99] | 100 
\selectp2[50] | 100 
n423 | 100 
\selectp2[114] | 100 
\selectp1[33] | 100 
n492 | 100 
\selectp2[78] | 100 
\selectp1[88] | 100 
n273 | 100 
\selectp1[52] | 100 
n355 | 100 
\selectp1[56] | 100 
\selectp1[36] | 100 
\selectp1[48] | 100 
n298 | 100 
\selectp1[11] | 100 
\selectp2[33] | 100 
\selectp1[70] | 100 
\selectp2[23] | 100 
\selectp2[18] | 100 
\selectp1[54] | 100 
\selectp2[90] | 100 
\selectp1[27] | 100 
\selectp1[78] | 100 
\selectp2[29] | 100 
\selectp2[65] | 100 
\selectp2[5] | 100 
\selectp1[18] | 100 
\selectp1[93] | 100 
\selectp1[116] | 100 
\selectp1[123] | 100 
\selectp2[43] | 100 
\selectp2[89] | 100 
\selectp2[123] | 100 
\selectp1[30] | 100 
\selectp2[21] | 100 
\selectp1[41] | 100 
\selectp2[16] | 100 
\selectp2[46] | 100 
\selectp2[96] | 100 
\selectp1[112] | 100 
n280 | 100 
n296 | 100 
\selectp1[9] | 100 
\selectp1[66] | 100 
\selectp2[19] | 100 
\selectp1[31] | 100 
\selectp1[89] | 100 
\selectp2[15] | 100 
\selectp1[106] | 100 
\selectp1[103] | 100 
\selectp2[66] | 100 
n526 | 100 
\selectp2[10] | 100 
\selectp1[60] | 100 
n475 | 100 
\selectp2[86] | 100 
\selectp1[83] | 100 
\selectp1[53] | 100 
\selectp1[32] | 100 
\selectp2[76] | 100 
\selectp2[102] | 100 
\selectp1[19] | 100 
n292 | 100 
\selectp2[103] | 100 
\selectp2[104] | 100 
n284 | 100 
\selectp1[47] | 100 
\selectp2[85] | 100 
n458 | 100 
\selectp1[55] | 100 
\selectp2[35] | 100 
\selectp2[127] | 100 
\selectp2[94] | 100 
\selectp2[30] | 100 
\selectp2[53] | 100 
\selectp2[41] | 100 
\selectp2[118] | 100 
\selectp1[63] | 100 
\selectp2[115] | 100 
\selectp1[28] | 100 
\selectp1[127] | 100 
\selectp1[29] | 100 
\selectp1[20] | 100 
\selectp2[44] | 100 
\selectp1[91] | 100 
\selectp2[88] | 100 
\selectp2[119] | 100 
\selectp2[113] | 100 
\selectp2[101] | 100 
\selectp2[98] | 100 
\selectp1[46] | 100 
\selectp1[0] | 100 
\selectp1[1] | 100 
n389 | 100 
\selectp2[36] | 100 
\selectp1[109] | 100 
\selectp1[10] | 100 
n278 | 100 
\selectp1[119] | 100 
\selectp2[112] | 100 
\selectp2[108] | 100 
n267 | 100 
\selectp2[59] | 100 
\selectp2[71] | 100 
\selectp1[24] | 100 
\selectp1[72] | 100 
\selectp1[61] | 100 
n302 | 100 
\selectp2[95] | 100 
\selectp2[0] | 100 
\selectp2[64] | 100 
\selectp2[52] | 100 
\selectp1[34] | 100 
\selectp2[80] | 100 
\selectp1[118] | 100 
n290 | 100 
\selectp2[93] | 100 
\selectp2[107] | 100 
\selectp1[17] | 100 
\selectp1[90] | 100 
\selectp1[84] | 100 
\selectp1[3] | 100 
\selectp1[21] | 100 
n372 | 100 
\selectp1[64] | 100 
\selectp1[16] | 100 
\selectp1[43] | 100 
\selectp1[98] | 100 
\selectp1[92] | 100 
\selectp2[26] | 100 
\selectp2[11] | 100 
\selectp2[61] | 100 
\selectp1[124] | 100 
\selectp1[101] | 100 
\selectp2[55] | 100 
n406 | 100 
\selectp1[37] | 100 
\selectp2[58] | 100 
\selectp1[111] | 100 
\selectp2[82] | 100 
\selectp1[107] | 100 
\selectp2[92] | 100 
\selectp1[97] | 100 
n440 | 95 
n266 | 91 
n270 | 90 
n265 | 89 
n275 | 89 
n272 | 88 
n271 | 87 
n264 | 86 
net_0_g108 | 48 
net_0_g125 | 48 
net_0_g228 | 47 
net_0_g004 | 47 
net_0_g014 | 47 
net_0_g038 | 47 
net_0_g003 | 47 
net_0_g034 | 46 
net_0_g245 | 46 
net_0_g262 | 46 
net_0_g026 | 46 
net_0_g018 | 46 
net_0_g032 | 45 
net_0_g159 | 44 
net_0_g074 | 44 
net_0_g057 | 43 
net_0_g091 | 43 
net_0_g142 | 43 
net_0_g012 | 43 
net_0_g036 | 43 
net_0_g279 | 43 
net_0_g028 | 42 
net_0_g009 | 42 
net_0_g040 | 42 
net_0_g030 | 42 
net_0_g020 | 42 
net_0_g194 | 41 
net_0_g022 | 41 
net_0_g024 | 41 
net_0_g016 | 40 
net_0_g177 | 38 
net_0_g211 | 37 
net_1_g125 | 24 
net_1_g038 | 24 
net_1_g014 | 23 
net_1_g074 | 23 
net_1_g262 | 22 
net_1_g057 | 22 
net_1_g004 | 21 
net_1_g194 | 20 
net_1_g026 | 20 
net_1_g108 | 20 
net_1_g003 | 20 
net_1_g036 | 20 
net_1_g279 | 19 
net_1_g020 | 19 
net_1_g228 | 19 
net_1_g142 | 19 
net_1_g034 | 19 
net_1_g012 | 19 
net_1_g018 | 19 
net_1_g245 | 18 
net_1_g022 | 18 
net_1_g032 | 18 
net_1_g028 | 18 
net_1_g030 | 18 
net_1_g159 | 17 
net_1_g009 | 16 
net_1_g211 | 16 
net_1_g040 | 15 
net_1_g091 | 15 
net_1_g024 | 15 
net_1_g016 | 13 
net_0_g215 | 11 
net_0_g220 | 11 
net_0_g217 | 11 
net_2_g074 | 11 
net_0_g213 | 11 
net_0_g224 | 11 
net_0_g225 | 11 
net_0_g221 | 11 
net_1_g177 | 11 
net_0_g227 | 11 
net_0_g212 | 11 
net_2_g040 | 10 
net_0_g219 | 10 
net_0_g188 | 10 
net_2_g032 | 10 
net_0_g187 | 10 
net_0_g218 | 10 
net_0_g226 | 10 
net_0_g179 | 10 
net_0_g185 | 10 
net_0_g190 | 10 
net_0_g178 | 10 
net_0_g181 | 10 
net_0_g017 | 10 
net_0_g189 | 10 
net_0_g183 | 10 
net_0_g223 | 10 
net_0_g145 | 9 
net_0_g099 | 9 
net_0_g214 | 9 
net_0_g193 | 9 
net_0_g023 | 9 
net_0_g284 | 9 
net_0_g025 | 9 
net_0_g191 | 9 
net_0_g156 | 9 
net_2_g004 | 9 
net_0_g158 | 9 
net_0_g106 | 9 
net_0_g143 | 9 
net_0_g295 | 9 
net_0_g107 | 9 
net_0_g180 | 9 
net_0_g105 | 9 
net_2_g142 | 9 
net_0_g186 | 9 
net_0_g103 | 9 
net_2_g038 | 9 
net_0_g102 | 9 
net_0_g289 | 9 
net_0_g104 | 9 
net_2_g228 | 9 
net_2_g279 | 9 
