Nome do arquivo avaliado: i2c 
Quantidade de vetores testados: 100 - 5.605193857299268e-43 
Node | #Vectors 
po065 | 100 
po083 | 100 
po107 | 100 
ZN_neg_g677 | 100 
po096 | 100 
po040 | 100 
po125 | 100 
po038 | 100 
po068 | 100 
po021 | 100 
po061 | 100 
po015 | 100 
po033 | 100 
po053 | 100 
ZN_neg_g357 | 100 
po071 | 100 
po035 | 100 
po023 | 100 
po059 | 100 
Z_neg_g780 | 100 
ZN_neg_g764 | 100 
po034 | 100 
po077 | 100 
ZN_neg_g514 | 100 
po112 | 100 
po050 | 100 
po087 | 100 
po066 | 100 
ZN_neg_g621 | 100 
Z_neg_g775 | 100 
po105 | 100 
po089 | 100 
po022 | 100 
po133 | 100 
po132 | 100 
po016 | 100 
po126 | 100 
po029 | 100 
po103 | 100 
po124 | 100 
po056 | 100 
po063 | 100 
Z_neg_g772 | 100 
po054 | 100 
po106 | 100 
po138 | 100 
ZN_neg_g661 | 100 
po070 | 100 
po108 | 100 
po120 | 100 
po036 | 100 
ZN_neg_g651 | 100 
ZN_neg_g288 | 100 
po002 | 100 
ZN_neg_g351 | 100 
po134 | 100 
ZN_neg_g559 | 100 
po027 | 100 
po086 | 100 
po097 | 100 
po130 | 100 
po116 | 100 
po048 | 100 
po084 | 100 
po000 | 100 
po020 | 100 
po099 | 100 
po075 | 100 
Z_neg_g781 | 100 
po058 | 100 
Z_neg_g771 | 100 
po118 | 100 
po079 | 100 
po139 | 100 
po123 | 100 
Z_neg_g732 | 100 
Z_neg_g782 | 100 
po013 | 100 
po121 | 100 
po008 | 100 
Z_neg_g774 | 100 
Z_neg_g696 | 100 
ZN_neg_g360 | 100 
po030 | 100 
po081 | 100 
Z_neg_g784 | 100 
po052 | 100 
po088 | 100 
ZN_neg_g640 | 100 
po064 | 100 
po014 | 100 
po094 | 100 
po025 | 100 
po135 | 100 
po004 | 100 
ZN_neg_g386 | 100 
po007 | 100 
Z_neg_g778 | 100 
po006 | 100 
po098 | 100 
po072 | 100 
po039 | 100 
po047 | 100 
ZN_neg_g345 | 100 
po045 | 100 
po109 | 100 
po095 | 100 
po113 | 100 
po085 | 100 
po114 | 100 
po115 | 100 
po049 | 100 
po011 | 100 
Z_neg_g776 | 100 
ZN_neg_g342 | 100 
po100 | 100 
po080 | 100 
po136 | 100 
Z_neg_g714 | 100 
po046 | 100 
po042 | 100 
Z_neg_g723 | 100 
po090 | 100 
po092 | 100 
po009 | 100 
po031 | 100 
ZN_neg_g765 | 100 
ZN_neg_g653 | 100 
po110 | 100 
po001 | 100 
ZN_neg_g363 | 100 
po041 | 100 
po018 | 100 
po051 | 100 
po078 | 100 
po057 | 100 
po122 | 100 
po131 | 100 
po037 | 100 
ZN_neg_g354 | 100 
po127 | 100 
po137 | 100 
Z_neg_g557 | 100 
po073 | 100 
po067 | 100 
po062 | 100 
po140 | 100 
Z_neg_g638 | 100 
po074 | 100 
po024 | 100 
po128 | 100 
po044 | 100 
po003 | 100 
po104 | 100 
po119 | 100 
po117 | 100 
po032 | 100 
po093 | 100 
po129 | 100 
Z_neg_g707 | 100 
Z_neg_g689 | 100 
ZN_neg_g663 | 100 
po028 | 100 
po043 | 100 
po082 | 100 
n291 | 100 
po076 | 100 
ZN_neg_g348 | 100 
po026 | 100 
po005 | 100 
po101 | 100 
po141 | 100 
Z_neg_g783 | 100 
po060 | 100 
ZN_neg_g619 | 100 
Z_neg_g777 | 100 
po010 | 100 
Z_neg_g702 | 100 
po055 | 100 
po102 | 100 
Z_neg_g773 | 100 
po091 | 100 
po111 | 100 
Z_neg_g779 | 100 
po069 | 100 
po019 | 100 
po017 | 100 
ZN_neg_g096 | 91 
n387 | 91 
n927 | 90 
n852 | 78 
n789 | 75 
n687 | 74 
n1027 | 66 
x1_g723 | 65 
n709 | 62 
n856 | 61 
net_1_g762 | 61 
n748 | 60 
n728 | 60 
n887 | 60 
n348 | 60 
n892 | 60 
x1_g638 | 60 
n883 | 60 
n759 | 60 
n533 | 60 
x1_g689 | 60 
net_1_g240 | 59 
n699 | 58 
x1_g732 | 58 
net_0_g753 | 57 
n946 | 56 
n949 | 56 
n970 | 56 
n810 | 56 
n925 | 55 
n349 | 55 
n917 | 55 
n914 | 55 
n936 | 55 
n736 | 54 
net_1_g396 | 54 
net_0_g746 | 53 
net_2_g432 | 52 
x1_g714 | 52 
Z_neg_g662 | 51 
n885 | 51 
n875 | 51 
Z_neg_g618 | 51 
n924 | 51 
n899 | 51 
n910 | 51 
n677 | 51 
n795 | 51 
Z_neg_g632 | 51 
Z_neg_g685 | 51 
n854 | 51 
n931 | 51 
Z_neg_g650 | 51 
net_1_g418 | 51 
