Nome do arquivo avaliado: int2float 
Quantidade de vetores testados: 100 - 0.048828125 
Node | #Vectors 
\M[2] | 100 
\M[0] | 100 
\E[0] | 100 
\M[1] | 100 
\E[2] | 100 
\M[3] | 100 
\E[1] | 100 
n142 | 96 
n47 | 90 
n19 | 90 
net_0_g126 | 88 
n18 | 83 
net_0_g124 | 64 
n55 | 63 
n111 | 58 
n84 | 52 
n26 | 52 
ZN_neg_g066 | 52 
n53 | 52 
n75 | 47 
n131 | 47 
n46 | 47 
n52 | 43 
n74 | 42 
n109 | 39 
net_0_g036 | 36 
n113 | 36 
n83 | 34 
net_0_g066 | 32 
net_2_g067 | 31 
net_3_g067 | 29 
n130 | 29 
net_0_g113 | 29 
n62 | 26 
n45 | 26 
n34 | 25 
net_1_g036 | 25 
net_0_g057 | 24 
n43 | 23 
n40 | 23 
n105 | 21 
n56 | 21 
net_0_g123 | 21 
n50 | 21 
n104 | 20 
net_2_g036 | 20 
n72 | 20 
n44 | 20 
net_0_g035 | 19 
n108 | 18 
n73 | 17 
net_1_g126 | 17 
net_0_g111 | 17 
net_0_g032 | 17 
n51 | 16 
ZN_neg_g033 | 16 
net_0_g096 | 16 
n33 | 15 
net_0_g067 | 15 
net_1_g066 | 15 
n128 | 15 
n133 | 14 
net_1_g095 | 14 
n30 | 14 
net_0_g093 | 14 
net_0_g112 | 14 
n82 | 14 
n25 | 14 
net_1_g096 | 13 
n81 | 13 
n65 | 13 
net_1_g028 | 13 
n63 | 13 
n139 | 12 
n117 | 12 
ZN_neg_g099 | 12 
net_3_g112 | 12 
net_0_g025 | 12 
net_0_g086 | 12 
n129 | 12 
net_3_g096 | 12 
n107 | 12 
net_1_g067 | 12 
n71 | 11 
net_0_g109 | 11 
n116 | 11 
net_2_g028 | 11 
net_0_g016 | 11 
net_0_g027 | 11 
net_2_g112 | 11 
n110 | 10 
net_1_g091 | 10 
net_2_g096 | 10 
net_0_g065 | 10 
net_1_g056 | 10 
net_3_g036 | 10 
n138 | 10 
net_1_g035 | 9 
net_0_g034 | 9 
n126 | 9 
net_0_g095 | 9 
n112 | 9 
net_2_g064 | 9 
n69 | 9 
ZN_neg_g079 | 8 
n97 | 8 
net_0_g015 | 8 
Z_neg_g080 | 8 
n42 | 8 
net_2_g066 | 8 
net_0_g044 | 8 
n99 | 8 
net_2_g091 | 8 
n98 | 8 
net_0_g080 | 7 
x1_g080 | 7 
n106 | 7 
n36 | 7 
n103 | 7 
net_0_g053 | 7 
net_1_g065 | 7 
n64 | 7 
net_1_g055 | 7 
ZN_neg_g088 | 7 
net_0_g033 | 7 
net_2_g056 | 7 
net_0_g063 | 7 
net_1_g016 | 7 
net_3_g028 | 7 
n32 | 6 
Z_neg_g122 | 6 
n31 | 6 
n124 | 6 
n141 | 6 
net_0_g024 | 6 
net_1_g109 | 6 
n94 | 6 
net_1_g034 | 5 
net_0_g110 | 5 
net_0_g054 | 5 
net_1_g007 | 5 
net_2_g047 | 5 
net_0_g099 | 5 
n70 | 5 
net_0_g028 | 5 
net_2_g055 | 5 
n27 | 4 
net_0_g119 | 4 
n68 | 4 
n101 | 4 
net_0_g055 | 4 
net_2_g054 | 4 
n123 | 4 
net_0_g082 | 4 
n118 | 4 
n80 | 4 
x1_g122 | 4 
net_1_g054 | 4 
net_0_g087 | 4 
net_0_g056 | 4 
net_0_g089 | 4 
n102 | 4 
n24 | 4 
n100 | 4 
n125 | 4 
n122 | 4 
n23 | 4 
net_2_g065 | 4 
net_1_g090 | 4 
n21 | 3 
net_1_g064 | 3 
n60 | 3 
net_0_g046 | 3 
net_2_g122 | 3 
n127 | 3 
net_3_g016 | 3 
x1_g108 | 3 
net_0_g022 | 3 
n20 | 3 
net_0_g051 | 3 
n29 | 3 
net_0_g116 | 3 
n137 | 3 
net_1_g015 | 3 
net_1_g112 | 3 
net_0_g100 | 3 
n135 | 3 
net_2_g051 | 3 
n28 | 3 
net_0_g108 | 3 
n61 | 3 
net_2_g124 | 3 
net_1_g099 | 3 
net_3_g054 | 3 
Z_neg_g003 | 3 
Z_neg_g108 | 3 
net_1_g053 | 3 
net_1_g014 | 3 
net_0_g101 | 3 
net_2_g016 | 3 
net_1_g124 | 3 
net_1_g106 | 3 
net_2_g007 | 3 
net_1_g027 | 3 
n49 | 2 
n91 | 2 
n39 | 2 
n92 | 2 
n93 | 2 
net_002_g030 | 2 
x1_g003 | 2 
net_000_g030 | 2 
net_2_g087 | 2 
n48 | 2 
net_0_g079 | 2 
net_0_g091 | 2 
n78 | 2 
n22 | 2 
n88 | 2 
n79 | 2 
net_0_g074 | 2 
net_1_g105 | 2 
n121 | 2 
ZN_neg_g031 | 2 
ZN_neg_g061 | 2 
n90 | 2 
net_2_g050 | 2 
net_0_g047 | 2 
net_0_g107 | 2 
n76 | 2 
net_0_g064 | 2 
net_0_g052 | 2 
net_1_g032 | 2 
net_1_g047 | 2 
net_2_g076 | 2 
net_1_g093 | 2 
net_1_g122 | 2 
net_2_g109 | 2 
net_0_g058 | 2 
net_0_g017 | 1 
net_0_g042 | 1 
net_0_g023 | 1 
net_0_g092 | 1 
n58 | 1 
n136 | 1 
net_1_g119 | 1 
net_0_g105 | 1 
Z_neg_g048 | 1 
net_1_g120 | 1 
net_0_g081 | 1 
x1_g048 | 1 
net_0_g098 | 1 
net_1_g060 | 1 
net_1_g100 | 1 
net_0_g031 | 1 
net_2_g024 | 1 
net_1_g081 | 1 
net_3_g080 | 1 
net_2_g116 | 1 
ZN_neg_g039 | 1 
n86 | 1 
n66 | 1 
net_0_g122 | 1 
net_0_g010 | 1 
net_1_g116 | 1 
net_2_g003 | 1 
n41 | 1 
n57 | 1 
n140 | 1 
net_1_g076 | 1 
ZN_neg_g121 | 1 
net_2_g046 | 1 
net_2_g119 | 1 
net_1_g046 | 1 
net_2_g034 | 1 
n87 | 1 
n67 | 1 
net_0_g003 | 1 
net_2_g048 | 1 
net_0_g006 | 1 
net_2_g093 | 1 
net_0_g083 | 1 
n77 | 1 
net_0_g094 | 1 
net_1_g082 | 1 
net_1_g057 | 1 
net_1_g010 | 1 
n35 | 1 
net_3_g051 | 1 
net_0_g007 | 1 
net_0_g005 | 1 
net_1_g043 | 1 
net_1_g003 | 1 
