Nome do arquivo avaliado: priority 
Quantidade de vetores testados: 100 - 2.9387358770557188e-37 
Node | #Vectors 
net_2_g351 | 100 
net_1_g383 | 100 
ZN_neg_g381 | 100 
\P[4] | 100 
Z_neg_g351 | 100 
net_0_g392 | 100 
n518 | 100 
net_2_g383 | 100 
n526 | 100 
net_0_g385 | 100 
\P[2] | 100 
ZN_neg_g367 | 100 
x1_g385 | 100 
n485 | 100 
ZN_neg_g388 | 100 
n508 | 100 
net_0_g339 | 100 
n467 | 100 
ZN_neg_g130 | 100 
\P[6] | 100 
n521 | 100 
ZN_neg_g393 | 100 
n504 | 100 
n476 | 100 
n529 | 100 
n489 | 100 
F | 100 
\P[0] | 100 
\P[5] | 100 
Z_neg_g385 | 100 
x1_g351 | 100 
n517 | 100 
net_2_g353 | 100 
Z_neg_g353 | 100 
n509 | 100 
\P[1] | 100 
ZN_neg_g331 | 100 
n503 | 100 
n397 | 100 
net_0_g396 | 100 
net_0_g388 | 100 
n524 | 100 
Z_neg_g349 | 100 
n527 | 100 
ZN_neg_g400 | 100 
n475 | 100 
net_1_g372 | 100 
n487 | 100 
n519 | 100 
\P[3] | 100 
n477 | 100 
x1_g353 | 100 
n491 | 99 
n495 | 99 
Z_neg_g357 | 99 
n493 | 99 
x1_g355 | 99 
Z_neg_g355 | 99 
net_2_g355 | 99 
Z_neg_g343 | 99 
net_3_g343 | 99 
n479 | 99 
net_2_g362 | 98 
n501 | 98 
n483 | 98 
Z_neg_g317 | 98 
n447 | 98 
n498 | 98 
x1_g349 | 98 
net_2_g349 | 98 
net_0_g366 | 98 
x1_g357 | 98 
Z_neg_g347 | 98 
n481 | 98 
n453 | 98 
net_2_g357 | 98 
Z_neg_g345 | 98 
Z_neg_g311 | 98 
n411 | 97 
n455 | 97 
Z_neg_g319 | 97 
net_3_g362 | 97 
net_0_g334 | 97 
net_1_g340 | 97 
net_3_g345 | 97 
n470 | 97 
Z_neg_g275 | 97 
n449 | 96 
Z_neg_g295 | 96 
x1_g347 | 96 
Z_neg_g313 | 96 
n431 | 96 
net_2_g347 | 96 
Z_neg_g321 | 95 
n457 | 95 
n459 | 95 
Z_neg_g309 | 95 
n443 | 95 
Z_neg_g307 | 95 
Z_neg_g323 | 95 
n445 | 95 
Z_neg_g297 | 94 
Z_neg_g283 | 94 
Z_neg_g315 | 94 
n421 | 94 
Z_neg_g303 | 94 
n441 | 94 
Z_neg_g281 | 94 
n417 | 94 
n451 | 94 
net_1_g319 | 94 
Z_neg_g285 | 94 
n433 | 94 
n439 | 94 
Z_neg_g305 | 94 
n419 | 94 
Z_neg_g299 | 93 
Z_neg_g301 | 93 
n425 | 93 
Z_neg_g279 | 93 
Z_neg_g289 | 93 
n402 | 93 
n437 | 93 
n415 | 93 
net_1_g313 | 93 
n435 | 93 
n429 | 92 
Z_neg_g287 | 92 
n403 | 92 
net_1_g311 | 92 
Z_neg_g277 | 92 
n413 | 92 
n423 | 92 
n409 | 92 
Z_neg_g293 | 92 
net_1_g321 | 91 
net_1_g317 | 91 
n287 | 90 
n462 | 90 
ZN_neg_g326 | 90 
n427 | 90 
Z_neg_g291 | 90 
x1_g277 | 90 
Z_neg_g151 | 90 
net_0_g275 | 89 
n464 | 89 
x1_g275 | 89 
n398 | 89 
n465 | 89 
net_0_g297 | 89 
x1_g297 | 89 
net_0_g330 | 89 
net_1_g315 | 89 
net_1_g323 | 89 
net_0_g277 | 89 
net_1_g309 | 89 
n407 | 88 
net_1_g307 | 88 
n408 | 88 
net_1_g266 | 88 
ZN_neg_g271 | 88 
n263 | 88 
net_1_g283 | 87 
net_0_g295 | 87 
net_1_g285 | 87 
net_1_g305 | 87 
x1_g295 | 87 
n304 | 86 
net_1_g299 | 86 
Z_neg_g244 | 86 
n380 | 86 
net_1_g303 | 86 
x1_g281 | 86 
net_0_g281 | 86 
Z_neg_g168 | 86 
n370 | 85 
Z_neg_g214 | 85 
Z_neg_g234 | 85 
Z_neg_g250 | 85 
n265 | 85 
n350 | 85 
net_1_g301 | 85 
net_1_g289 | 85 
Z_neg_g145 | 85 
n386 | 85 
n281 | 85 
net_1_g287 | 85 
Z_neg_g158 | 85 
n294 | 85 
x1_g291 | 84 
n283 | 84 
net_0_g279 | 84 
net_0_g326 | 84 
Z_neg_g147 | 84 
x1_g279 | 84 
net_0_g267 | 84 
Z_neg_g196 | 83 
net_0_g291 | 83 
Z_neg_g238 | 83 
Z_neg_g224 | 83 
n374 | 83 
Z_neg_g184 | 83 
Z_neg_g176 | 83 
n360 | 83 
n336 | 83 
n320 | 83 
n332 | 83 
Z_neg_g200 | 83 
n277 | 83 
n312 | 83 
Z_neg_g141 | 83 
Z_neg_g242 | 82 
n346 | 82 
Z_neg_g226 | 82 
Z_neg_g252 | 82 
Z_neg_g208 | 82 
n378 | 82 
n388 | 82 
Z_neg_g210 | 82 
n344 | 82 
n273 | 82 
Z_neg_g137 | 82 
n362 | 82 
n366 | 81 
n382 | 81 
Z_neg_g246 | 81 
net_0_g293 | 81 
n310 | 81 
Z_neg_g230 | 81 
Z_neg_g180 | 81 
Z_neg_g143 | 81 
x1_g293 | 81 
Z_neg_g174 | 81 
n316 | 81 
Z_neg_g192 | 81 
n279 | 81 
n328 | 81 
n358 | 80 
n300 | 80 
Z_neg_g202 | 80 
n368 | 80 
Z_neg_g216 | 80 
Z_neg_g232 | 80 
n297 | 80 
Z_neg_g164 | 80 
n314 | 80 
Z_neg_g222 | 80 
n338 | 80 
Z_neg_g178 | 80 
Z_neg_g161 | 80 
n352 | 80 
Z_neg_g170 | 79 
n306 | 79 
Z_neg_g236 | 79 
n342 | 79 
Z_neg_g206 | 79 
Z_neg_g248 | 79 
n372 | 79 
n384 | 79 
n275 | 79 
Z_neg_g139 | 79 
n334 | 78 
n356 | 78 
Z_neg_g220 | 78 
n291 | 78 
n197 | 78 
Z_neg_g198 | 78 
Z_neg_g149 | 78 
Z_neg_g061 | 78 
Z_neg_g155 | 78 
n285 | 78 
Z_neg_g188 | 77 
Z_neg_g182 | 77 
n330 | 77 
Z_neg_g166 | 77 
n324 | 77 
Z_neg_g194 | 77 
n318 | 77 
n302 | 77 
Z_neg_g025 | 76 
Z_neg_g172 | 76 
n161 | 76 
n308 | 76 
Z_neg_g228 | 76 
Z_neg_g190 | 76 
n364 | 76 
n326 | 76 
Z_neg_g108 | 74 
n289 | 74 
Z_neg_g112 | 74 
n195 | 74 
Z_neg_g074 | 74 
n210 | 74 
Z_neg_g153 | 74 
n322 | 74 
Z_neg_g101 | 74 
n244 | 74 
n248 | 74 
n166 | 74 
n179 | 74 
n237 | 74 
Z_neg_g084 | 74 
Z_neg_g059 | 74 
Z_neg_g186 | 74 
Z_neg_g043 | 74 
n220 | 74 
Z_neg_g030 | 74 
n354 | 73 
Z_neg_g080 | 73 
n241 | 73 
Z_neg_g010 | 73 
n170 | 73 
Z_neg_g218 | 73 
n216 | 73 
n340 | 73 
n146 | 73 
Z_neg_g204 | 73 
Z_neg_g034 | 73 
Z_neg_g105 | 73 
Z_neg_g119 | 72 
n376 | 72 
Z_neg_g019 | 72 
Z_neg_g240 | 72 
Z_neg_g125 | 72 
n155 | 72 
n256 | 72 
n168 | 72 
n255 | 72 
Z_neg_g064 | 72 
n200 | 72 
Z_neg_g120 | 72 
n261 | 72 
Z_neg_g254 | 72 
n390 | 72 
Z_neg_g032 | 72 
n250 | 71 
Z_neg_g038 | 71 
Z_neg_g114 | 71 
Z_neg_g007 | 71 
Z_neg_g110 | 71 
n174 | 71 
n199 | 71 
n246 | 71 
n143 | 71 
Z_neg_g021 | 71 
n157 | 71 
Z_neg_g063 | 71 
Z_neg_g078 | 70 
n253 | 70 
Z_neg_g123 | 70 
n214 | 70 
n173 | 70 
n144 | 70 
Z_neg_g008 | 70 
Z_neg_g212 | 70 
n259 | 70 
n183 | 70 
Z_neg_g037 | 70 
n348 | 70 
Z_neg_g117 | 70 
Z_neg_g047 | 70 
Z_neg_g094 | 69 
Z_neg_g053 | 69 
n230 | 69 
Z_neg_g069 | 69 
n184 | 69 
Z_neg_g015 | 69 
Z_neg_g024 | 69 
Z_neg_g048 | 69 
n235 | 69 
Z_neg_g104 | 69 
n205 | 69 
Z_neg_g040 | 69 
n225 | 69 
n240 | 69 
n160 | 69 
Z_neg_g099 | 69 
Z_neg_g091 | 69 
Z_neg_g028 | 69 
n156 | 69 
n164 | 69 
Z_neg_g020 | 69 
Z_neg_g095 | 69 
Z_neg_g089 | 69 
n151 | 69 
n140 | 69 
n231 | 69 
n227 | 69 
n176 | 69 
n189 | 69 
Z_neg_g066 | 68 
Z_neg_g033 | 68 
n150 | 68 
n218 | 68 
Z_neg_g100 | 68 
n236 | 68 
n229 | 68 
Z_neg_g022 | 68 
n202 | 68 
n181 | 68 
n158 | 68 
Z_neg_g014 | 68 
n169 | 68 
Z_neg_g045 | 68 
Z_neg_g093 | 68 
Z_neg_g082 | 68 
Z_neg_g122 | 67 
Z_neg_g096 | 67 
Z_neg_g011 | 67 
n249 | 67 
Z_neg_g036 | 67 
n257 | 67 
Z_neg_g023 | 67 
n269 | 67 
Z_neg_g067 | 67 
n206 | 67 
Z_neg_g005 | 67 
n258 | 67 
n182 | 67 
n242 | 67 
Z_neg_g046 | 67 
n226 | 67 
Z_neg_g013 | 67 
n207 | 67 
Z_neg_g113 | 67 
n187 | 67 
n191 | 67 
n232 | 67 
n147 | 67 
n159 | 67 
Z_neg_g106 | 67 
n172 | 67 
Z_neg_g087 | 67 
Z_neg_g090 | 67 
Z_neg_g055 | 67 
Z_neg_g071 | 67 
Z_neg_g121 | 67 
Z_neg_g070 | 67 
n141 | 67 
n203 | 67 
n149 | 67 
n223 | 67 
Z_neg_g006 | 67 
Z_neg_g051 | 67 
n142 | 67 
n153 | 66 
Z_neg_g017 | 66 
n162 | 66 
n204 | 66 
n167 | 66 
n212 | 66 
n148 | 66 
Z_neg_g068 | 66 
Z_neg_g076 | 66 
Z_neg_g012 | 66 
n193 | 66 
Z_neg_g016 | 66 
n188 | 66 
Z_neg_g026 | 66 
n152 | 66 
n165 | 66 
Z_neg_g029 | 66 
Z_neg_g057 | 66 
n239 | 66 
Z_neg_g031 | 66 
Z_neg_g052 | 66 
Z_neg_g103 | 66 
Z_neg_g056 | 65 
n180 | 65 
Z_neg_g102 | 65 
n233 | 65 
n208 | 65 
Z_neg_g097 | 65 
Z_neg_g081 | 65 
n201 | 65 
Z_neg_g050 | 65 
n186 | 65 
Z_neg_g065 | 65 
Z_neg_g027 | 65 
Z_neg_g072 | 65 
n163 | 65 
n213 | 65 
Z_neg_g107 | 65 
n243 | 65 
Z_neg_g077 | 65 
n238 | 65 
n217 | 65 
Z_neg_g044 | 65 
n192 | 65 
Z_neg_g088 | 64 
Z_neg_g092 | 64 
n228 | 64 
Z_neg_g042 | 64 
n178 | 64 
n224 | 64 
n145 | 64 
Z_neg_g018 | 64 
Z_neg_g009 | 64 
n154 | 64 
Z_neg_g118 | 63 
Z_neg_g075 | 63 
n222 | 63 
Z_neg_g058 | 63 
Z_neg_g073 | 63 
n211 | 63 
n245 | 63 
n254 | 63 
Z_neg_g109 | 63 
Z_neg_g115 | 63 
n194 | 63 
n251 | 63 
Z_neg_g086 | 63 
n252 | 63 
Z_neg_g116 | 63 
n209 | 63 
n190 | 62 
Z_neg_g062 | 62 
Z_neg_g079 | 62 
n234 | 62 
Z_neg_g098 | 62 
Z_neg_g054 | 62 
n215 | 62 
n185 | 62 
n198 | 62 
Z_neg_g049 | 62 
Z_neg_g039 | 61 
n175 | 61 
Z_neg_g085 | 60 
Z_neg_g083 | 60 
n219 | 60 
n221 | 60 
n177 | 59 
x1_g143 | 59 
x1_g176 | 59 
Z_neg_g041 | 59 
n260 | 58 
x1_g224 | 58 
x1_g151 | 58 
Z_neg_g124 | 58 
x1_g252 | 57 
x1_g244 | 57 
net_0_g127 | 56 
Z_neg_g035 | 56 
x1_g141 | 56 
Z_neg_g111 | 56 
x1_g210 | 56 
n247 | 56 
x1_g158 | 56 
x1_g147 | 56 
x1_g248 | 56 
n171 | 56 
x1_g168 | 56 
x1_g145 | 55 
x1_g250 | 55 
x1_g236 | 55 
x1_g180 | 55 
x1_g246 | 55 
x1_g226 | 54 
net_0_g246 | 54 
net_0_g252 | 54 
net_0_g151 | 54 
x1_g216 | 54 
x1_g192 | 54 
x1_g178 | 54 
x1_g202 | 54 
net_0_g244 | 53 
net_0_g176 | 53 
n196 | 53 
Z_neg_g060 | 53 
x1_g234 | 53 
net_0_g147 | 53 
x1_g170 | 53 
x1_g230 | 53 
x1_g174 | 53 
x1_g153 | 53 
net_0_g143 | 53 
net_0_g145 | 52 
net_0_g141 | 52 
net_0_g170 | 52 
net_0_g224 | 52 
x1_g172 | 52 
x1_g200 | 52 
net_0_g210 | 52 
x1_g238 | 52 
net_0_g234 | 51 
x1_g161 | 51 
net_0_g202 | 51 
net_0_g216 | 51 
net_0_g236 | 51 
x1_g232 | 51 
net_0_g250 | 51 
x1_g184 | 51 
net_0_g226 | 51 
x1_g139 | 51 
net_0_g153 | 51 
net_0_g178 | 51 
x1_g208 | 51 
x1_g186 | 51 
net_0_g180 | 50 
net_0_g158 | 50 
net_0_g161 | 50 
x1_g204 | 50 
x1_g228 | 50 
net_0_g248 | 50 
net_0_g168 | 50 
x1_g164 | 49 
x1_g198 | 49 
x1_g182 | 49 
x1_g206 | 49 
net_0_g261 | 49 
net_0_g238 | 49 
ZN_neg_g256 | 48 
x1_g242 | 48 
x1_g149 | 48 
x1_g155 | 48 
net_0_g200 | 48 
net_0_g208 | 48 
x1_g222 | 48 
net_0_g139 | 48 
net_0_g184 | 48 
n392 | 48 
x1_g240 | 48 
net_0_g174 | 48 
x1_g214 | 48 
net_0_g232 | 47 
net_0_g228 | 47 
net_0_g198 | 47 
net_0_g192 | 47 
net_0_g230 | 47 
net_0_g149 | 47 
x1_g137 | 46 
x1_g196 | 46 
x1_g194 | 46 
net_0_g172 | 46 
net_0_g222 | 46 
x1_g254 | 46 
net_0_g186 | 46 
x1_g190 | 46 
net_0_g204 | 45 
net_0_g164 | 45 
x1_g212 | 45 
x1_g166 | 45 
x1_g047 | 45 
x1_g220 | 45 
x1_g218 | 45 
net_0_g182 | 45 
net_0_g196 | 44 
x1_g024 | 44 
net_0_g240 | 44 
net_0_g166 | 44 
net_0_g133 | 44 
net_0_g214 | 43 
x1_g059 | 43 
net_0_g242 | 43 
net_0_g190 | 43 
net_0_g155 | 43 
net_0_g194 | 43 
net_0_g254 | 42 
net_0_g218 | 42 
net_0_g206 | 42 
x1_g061 | 42 
x1_g188 | 42 
x1_g028 | 41 
x1_g118 | 41 
x1_g034 | 41 
net_0_g212 | 41 
x1_g045 | 41 
x1_g120 | 40 
x1_g096 | 39 
x1_g087 | 39 
net_0_g220 | 39 
x1_g065 | 39 
x1_g033 | 39 
x1_g043 | 39 
x1_g012 | 39 
n391 | 39 
