Nome do arquivo avaliado: router 
Quantidade de vetores testados: 100 - 8.673617379884035e-17 
Node | #Vectors 
\outport[2] | 100 
n158 | 100 
\outport[0] | 100 
n172 | 100 
\outport[1] | 100 
ZN_neg_g083 | 100 
net_0_g083 | 98 
n256 | 98 
ZN_neg_g067 | 98 
n157 | 98 
n159 | 98 
ZN_neg_g069 | 98 
net_1_g082 | 98 
net_0_g067 | 50 
n110 | 41 
net_1_g067 | 28 
net_1_g020 | 16 
net_2_g067 | 10 
n156 | 10 
net_2_g166 | 9 
net_1_g169 | 9 
n92 | 9 
n91 | 7 
net_2_g020 | 7 
net_0_g068 | 7 
n90 | 6 
n109 | 6 
ZN_neg_g019 | 6 
net_1_g066 | 5 
net_0_g066 | 5 
n94 | 4 
net_2_g066 | 3 
ZN_neg_g065 | 3 
net_0_g019 | 3 
n155 | 3 
net_0_g167 | 2 
n170 | 2 
n171 | 2 
ZN_neg_g080 | 2 
net_1_g080 | 1 
net_2_g080 | 1 
net_0_g065 | 1 
ZN_neg_g079 | 1 
net_0_g020 | 1 
n169 | 1 
n108 | 1 
net_0_g080 | 1 
n95 | 1 
net_0_g018 | 1 
n93 | 1 
