Vector | #Nodes count 
0111000110101001011000100000110011001111101101110100011001010100101001000110111011010111000111110101111011011000010001010101010011101011011101110001011100101011101011101110000100000111001110010100101101101111100010110100011010011101110001101010100001001101 | 600 
1101100111011011101110111101100000001100110001001110010111101110011001100010101001101011110111100001011011100000011001101111011111110111111111000011010010010100111110111111111111100001010011111111100011101111101100001011111101100101110011010110101011010001 | 600 
1110001100101111101101101010100100100011111010101011001011110000011111001100011111011101010100111101110101011001000110001001001001010111011011001111010100011110011011101111000111011100110001101100100110110110111011100010011111010110110111110110110110001111 | 595 
1100101110101110001001110010010101011110100010001110100111100000101010100111111100010011100111110010110101001110100110011000110110111001100101000101010010111000111111110010011110001100100110011001011111111001110100010101001111010111100011100111110110011100 | 578 
1110111011011111011001101111010101111100010101001111011111101101011000100011001101111111101000101100000111011110100011011001011100110111110111100100101010101000010010111001010111011111111100101010010100011000100100101110110100010110111010101000100110100110 | 576 
1001011011101000100011001110101001100110011100100010001110101010010100110001011101010010000100000110110100110000010101001111001101111110100011010110011111001010110010101010100000100101100011010100111110111011011110000000011001101110100011011101001001111001 | 571 
1000110110000010000000010011101010001010001101101101001000010111110100110000111011001001111110010011100101100111001111011110111100100101101110101100101101111100000011000000000010101111010111001111110010101111100011101110001011001011111111100111111011000001 | 569 
0111001110000001100111111011111010001110101000101110001110010100011110111100000001101000100101100011011111011101110011111000110100000111001110111001011101101000101010111100010111110111011001000011100011100011111011101111000010011101110100110101100111101001 | 566 
0011011011010010111011110101110000111100011011111100110111011000000001001101001110010100000001011111011000111110011101011000110101101101001001011111011001011110001101110110101011100010100100001100101110111111011110011010101000101100000100001101000011110011 | 564 
0111001011011010100010111110010100101101101110000100101000010111101011011100110111000010101111000000000001010000001011100101010010110101111111101110111000001110111000011001101110100111000101111000111010111000010111101101001101010011001111110111111010001011 | 563 
0100000101011100000011100111100000111011111110101111010110011000001001000001111111101011111100000110001000000010111000111110111111110101010111110010110010101011001100010011011101010101011100001111010100000001101110010111110100010110100001011011010111010010 | 563 
1100100010101100110110001111010010100000010001010011111101100000000100110010110100000010101100000110011001110000011101010101101011010011101001010010001011111010100111000001010011011111010101110111001110110001011110101011110001100010110001010111000011011011 | 561 
1000110110110110101010110001110010010101100000010001101010010110100111101000100011001011011001110101011110010010110011010100110000110111111100111011111001000011010111000001001110111110001011101001111110101101100101000100010010000001100001001000001101111000 | 560 
0001000101010000110010011110000101100101000010011000111011111111001011011011000011001001110100011110110010111001100010111100100001011010111110011001011001011001010000111000110011001101110010101111101001011000001101000111000111101110000100110101110111000001 | 555 
0000010101001100010111011000111011111110101100110100001101011101110100010010000110010100110101111011010111100110110000101000010110011111111110111100011110111101000101001001000011010000101011111000100110111110011010010010001110001101111101110101100110101000 | 555 
1111111000000001111111100101001100001110110011110101110000110110011111001111110010011100110111010010111111100110010100100111001001001010000101111101001101001100101100001011011111011100000011110001001111010010001111010101001011011100010100110010001001100111 | 553 
0101011101011101110100111010000111101100010000011011010111110101101101000010011101001010001111001110100110101110111010011001011111100001010000010110110111110010110101010001000100101111111101111001110110100011000111011101110010000011001101111001110110000011 | 552 
0001100101101100001011101011110110001111101100110100011101011011000111101101001010110000101010110010110001111001111111001001100100010011101110100011110100011101100101110011101000110001110111010011101101001000111011111000100100001001010111010100011010110101 | 552 
0000111011101110111000101001010101001110011111100101100010111011111011000111110000001010110111001101110111111000110101001000011000110011110100111110010100001010011100011111110010111101101110011001000100000100111000100011100101001100110011000010000000101100 | 552 
0101101010110110100011000010111110101010001110111010101010010101100000111110010010111111000010011001111101100001101000000111010001111110001111010111111101010111111000001011110111011111010011110001000000000110101000110011000111110011000010011000010000011101 | 551 
0010001011001101000100100010000100111111101110000111001100111111111111010110000110011011101111100110010010111101111011000011110001000111110011101110000000010101111110000110000011001000111110101001001001101101011000111011111110110111011011110010001010100000 | 549 
0001001101011011100110101101011110001101101011100001100101110110100000001001110101110000110000101010100001010010011111011110010111001010110000111001101111001110110110000010100011111101001001100100110110101101111100011011010001101100010011100000010010010110 | 549 
1111001010011100000100111111110111000010001110001011101000000100011000101101010011001101011011100001011100011101000110111000000010110100010000000111111010000001011111100101101010010110010101111100000110110010101101011100111100110101010011001001110101001110 | 549 
1010001001111110011011101101000111011001001110111110000100001100110101011111011010100101010011010011100010100010101010100000010110100011100000111000110110101010010111101110010001110010001101111111111011100100011001011001111100110110001010011010110010111010 | 547 
0011101111001011101010110100010111110111011101100110111001000111100011111110101100011101100000000011011101010000000100100010101000111100111011100011111001010111111000101001100000111001101010110110000111111100010100110010010000011001011101000110100011110111 | 547 
1011000000000010010100110000000011100000010100000111010101010011000010001011111110111100000001000001001101000111110011000001110010100000100011111101010000001000111010111110111011111011011110111010111100010111010001110001000110010111110110111001101001000000 | 547 
0100110100011010100101000111000100101110100001101110010011001111111011011111001011111010110101010011100111010111011000110110111000110001010110011110101100001101111010111000010101100010101001010011001111100001111001000100110011010101000001001111101101010111 | 546 
0010000111110111001110101000101101001000001100010011001000101111000001000101100101110101110101100101010110111111100001001011010011000000111111101100110111101011111100111001110011100111001111101011100011001100000001110010011110110000111011100101011101010011 | 546 
0000001001110010001110010101110001001011110101001111100010100101100101000101011001010101111100111001011010110001011100000100111101110011111000011010111010110101010000111101000011111111000100011100110101110000011110110110011101000101100011111001010010100011 | 545 
0011001111100001101101010111001000111000010010100001101100001110010110100110100000100101000001101011110001101100110011010011111111111100001011101110000100110110110101100111101101101101110101000110000100011100111010011010110001011100110101011011010010100111 | 545 
1001111010110000101000010001000000101011011011110101111101010000110000001100110110100110110001001101010110100000111001111101000101011000010001101001110100010001111010100111111111011000001110110000011001000011001111100100101111010001011001001110100111001111 | 545 
0110100000010110100100100000110110101000101101000111011100101111000001110001011000110111010100110100011101011101010011001000001010101010001001010100010010010000110000010010111011000110111100100100100111111101010111010000001000100100111111010101010100010100 | 545 
1001111011100101001010110011000111110111100000111000000011111101100110101001010111101001101100101010101011101000010011011011110100100101100001001011101010111000100111010001010111010101110100110101001111101011100010010001000000100100001110101110110010100011 | 544 
0101110100001100010101000111000000001101111001111100111101001011001010010000101101011011101100011101111111010110011100001001101101010111011101111011001111101100010000101110101101011101001101011011110110011110010001001001111011010100111000111100110011010000 | 544 
0111100010000011000111111000010001001000101000001111011110101110010010010001001100100101101000011011110101101010000011100100111111010011101011100000110001101110110100101001111001000100011100101111100000100111110111100111010000111011101011010111100101101011 | 542 
1011011110011011010001100001010000111011001000111100011001001100000001011010011111010110010110011110001000010110111010001000000010010010101100101010000001010100010000110111110110100110011110100011110101100001011010011111111110001100110000001001100101001011 | 541 
1100100000100011110000110110111100100001011010111110111001101101011101111110111110111110101000111101100010100000100111001011100111100110101100000100011011010011011101010011110111000111111000000000010111011100010101010000010010001100101001100110111000010111 | 539 
0001111111110111001001101010100101111000101101011000111000100110001111101001101110110110000000000100000000000111111111101100000000101001000011011000011101110110111101001010011100110101110111111111011001011100101100101101100010101110100110001011010100111111 | 539 
1011011011100110011111011101000001010101101101111011000111011101110100011101110010100000100001101110001011111011011001011100101010111010011000000000011011101001001101010010001000010101011100111100110011011101000111100011100001101000111010111111100111100110 | 539 
1111110001111001010101011100010010111111000110100011110011001011011010100001001010001110101001001110111110010011011100111111011001101111000111101111110011001110000101001011010011000011010100010000110001010000011000001101100110111011101011100000101111011001 | 538 
1101010100101010000011110011010111111111011110000001011101111100011100101000110111000000100010010011001111011011100010101110001010010111000001010011110100110111111001111010110111100001010100110111000110010001011000111101001101111101100100001000001010101000 | 538 
1001110010100010101000111010000000011111011100001001110101000000111111101011110011011010100011100111111101111000001011101001100100110011011001110111010100001110001001001111100010001011001010000011111010111100100100110010010100010001110101001111000111010110 | 537 
0101001011111000010110111000111010011111001111000111110010101011110100000001110010011010101111110101101101011110111001100111000001111100010011101010001111110111011001100101010111100100100001101000000010111011011100101011010111001100010011100101001101000001 | 537 
