Vector | #Nodes count 
111100000011111001100011100110111 | 105 
110011011100111101101011001100110 | 104 
011111010011010100001100010011000 | 103 
111101011101111001000010001000100 | 103 
111010000110111000011010001001100 | 103 
000000000100111011000100100110101 | 103 
001011100000101001100000101111000 | 102 
010011110100111011101010010110000 | 102 
110010000011111111111100011111111 | 102 
011101010101110011010101110011000 | 101 
010100011010001101101111001010010 | 101 
011111000011110111011110010001111 | 101 
011101001111101101111101101101100 | 101 
001000001100011111001001010011010 | 100 
001001101100111100100000110110011 | 100 
110001010011011100000110011011010 | 100 
110010000110011011011010001111000 | 100 
100011011111101000100110100111110 | 100 
011100011110110001001010110001110 | 100 
001101111011101001101000000111100 | 99 
110110001011101111100011110000110 | 99 
110100010111100001011000110110010 | 99 
100000100001110000101100001010010 | 99 
110010000100011110011110100000110 | 99 
011101100011011101111101111110000 | 99 
101011100100101011001101000011100 | 99 
011001100011101010111001011111001 | 98 
010111110011011101010111110100001 | 98 
101000001010101100110001010111001 | 98 
110001110000101100101001011011011 | 98 
001111100101010001010100111110000 | 98 
000110010010111110000011110001011 | 98 
011101100010101111110000100001111 | 98 
000110010100101010011010110011100 | 98 
001110000011000010101011001010110 | 98 
001101110101011110100101011111111 | 98 
100110111010111110100000111110011 | 98 
010100100011100100100000111100000 | 98 
000011001000001111101000001100101 | 98 
010000010010100110010111110010111 | 98 
101101111000101101110101000011010 | 97 
110000111111010111101111000010110 | 97 
000000011100110101101110011010001 | 97 
100010111101011100111010100111110 | 97 
011100110100110100101111000010110 | 97 
101101001111101010110011100010110 | 97 
101110111010010101110111001010100 | 97 
100111100111101101011000111010011 | 97 
111100001011100010101111100001101 | 96 
111011011100101111010100001100111 | 96 
001100100101011010010101001011111 | 96 
101010010001110010100111101011101 | 96 
001100110101111100000111010011001 | 96 
001101110010101111111000000011000 | 96 
110110111001100001000010111000101 | 96 
101000100010101101110000110011001 | 96 
000010010110111101001101100101011 | 96 
100101010011011110000000111001111 | 96 
110100000000001110011101001011111 | 96 
001000111011010100000011110010110 | 96 
010101110101001100000110101011001 | 96 
011010101010001000100001010000101 | 95 
010010101010101001110111110001101 | 95 
111011011011011011111000111101011 | 95 
110000100001100101101010000010011 | 95 
110010101011000111101011000011001 | 95 
111010100011000011010001010110010 | 95 
110011100011100011010101011110111 | 95 
110000001000100111011010110100110 | 95 
001100111001111001001111100001011 | 94 
110001111111010010111001100001010 | 94 
101000100000010000101010100001010 | 94 
110110100000100010111010000011100 | 94 
011110011101011000111011110001001 | 94 
111000000100000000010000001100001 | 94 
010101111100000001011110001001110 | 94 
100011011110110100100111011100011 | 94 
010101001111110110011111010011001 | 94 
101111111011000011011000000001000 | 94 
111101000101100101011001111011001 | 94 
010001111000000111010111001000000 | 94 
111110001111010000001111011110011 | 93 
101010010111010001101000011110001 | 93 
100110100110000100011011001111111 | 93 
100011010010000101110111011001101 | 93 
000100010010111000111100100100001 | 93 
111100100110101001001110001000111 | 93 
110110001100001110010100011111011 | 92 
111000100010100000001010100101111 | 92 
000001000001001100110001100100010 | 92 
101001011000101011110101111011111 | 92 
010100000110000000010011011010011 | 92 
100011100000001010111001110000000 | 92 
100111111000010010101001001010101 | 91 
100110110111000001100011010011001 | 91 
110010110100001100000101100010010 | 91 
101001011010100100010000001100101 | 91 
001011111101000100111101011011111 | 90 
010100101110000000000000010010101 | 88 
100001110010101110010111000000011 | 87 
