Vector | #Nodes count 
10010010010110111111111100110011000011010 | 324 
01110011111101110011001111001010111100010 | 323 
11011111101011110110101010011111000001101 | 314 
10001100111000111010100111110011001000010 | 311 
11111010111011111111001010111011101100011 | 311 
01101110101110111100111110010110000000010 | 311 
10101001110011001111111111001100011110000 | 309 
11110101001101101011001110101100010000010 | 309 
01010011001101101001100101100011001000011 | 309 
11001101001111000111110000111110100010001 | 308 
11001100110100011111011000110101100101111 | 307 
01010101011110111011111110110010100010000 | 307 
01111111101010111010111000110111000000010 | 306 
00000001110011011011000110111101011010100 | 306 
11001000110011011100001101111110001000111 | 304 
11011100000011001111101001011110011101000 | 304 
10111101001100111100010101001101110100101 | 303 
01101111101111101000110001011100111010111 | 303 
10101111000010101001001100101111100100100 | 302 
10000011101110111111010011110101101100010 | 302 
11001110111110001101111010100111001000011 | 302 
11001001111100001011110100110100111000011 | 302 
11100000100110011000101111011101011010010 | 302 
10110001110011111111110010010001011111011 | 302 
01101101110011111101100110111111001100011 | 302 
10010100100100011011101110101111000011011 | 302 
00111100011011001011100011101011010101000 | 301 
00110111111111011111000000010111101000000 | 301 
00101101100100011010101101101111100001101 | 300 
01011011011011011011101100101010011101010 | 300 
00110011100110011100110010101101001000111 | 300 
00111110010111100011001101111010110011010 | 300 
10000000010100111100001111101111001001100 | 300 
11011110100011101111110011011100011001010 | 300 
00011111110100110110101000111111000110111 | 300 
10110110011101001010100011111101000011011 | 299 
01100110101011010011100100001010010100110 | 299 
11000001111110001111111000001100101000100 | 299 
00011000100111110011110110101111001110100 | 299 
01101000001001111101110111111111111010101 | 299 
01010010111101010010011101100011100000001 | 299 
10111101000100001111110011111011100000000 | 298 
10110011110010010001111110100111101100001 | 298 
01100101101110110101011100010111111111010 | 298 
11111000110111101111100000100011111001001 | 298 
11011001100010111111110011010001101111110 | 297 
00111110110010001110101010001110100011001 | 297 
11111011010000111111000111101011001101001 | 297 
01110011001111001010001100100100100001011 | 297 
00110011100110111100110001101111100101010 | 296 
01010111001000110110111011111100001111101 | 296 
10111011110010001010000111010101010101000 | 296 
10011010010101100111000100110001110010000 | 295 
01011101011101010001110011110100110110011 | 295 
01001101100110000110111011011011111011011 | 295 
01111000110011110100110100111101101100000 | 295 
11111110011010101001000101010110101001010 | 294 
10101101000100111011111010101100000011001 | 294 
11001111010110001100111111011000011110001 | 294 
01001101111111011000101101001000001111010 | 294 
11010001100001100110011001011111001101111 | 294 
11100010110001100110100100011111000110010 | 294 
11100000101111110111101011100111010100100 | 294 
01101100011101000100100011010101010000011 | 293 
00000111111100111100000110011011000100111 | 293 
00011100110010011101110001000111110011110 | 293 
10010001100011111111111011000011010101111 | 293 
10111011011001100000001010001011000010111 | 293 
11100110010111111001100011101011001111010 | 293 
00011100101100101001011100110111001010111 | 293 
10011010110100100110010100001001010001100 | 293 
00101001110000110100110101001110111010000 | 293 
10100000001011101011101111000010100100011 | 293 
11101100000010101100111110101011111011100 | 293 
11111100101110110000001000001001110011110 | 293 
00001101001000110100000011111111010000101 | 292 
10100101110000101111100111100110011000001 | 292 
10110010011011100001111101100000000101001 | 292 
11111011110100101001110110111110000000000 | 292 
11011111100000111011000111001010001110110 | 292 
01001111001010100010001111011000101101010 | 291 
10001101111000011110110111001001011000110 | 291 
00101101010111111011110100101100010001111 | 291 
00111100000000011000111111001101100011111 | 291 
10011111101111010111110100001110011111001 | 291 
00011000101110100111011100011110101000101 | 291 
00101110001111111110010110110010100101010 | 290 
00011011101110110001110101100101000100010 | 290 
01111011000001110001001011110101000101011 | 290 
10110011011100101111110110001011010010110 | 290 
11010000111000101111111110101100100101001 | 290 
10101101110110110110110011010100000111100 | 290 
11000011111101110000100111000010000110100 | 290 
11011110010010100101111011111111111101110 | 289 
00111010110001111100111001100100010010011 | 289 
10101010011001111101011110111001100001000 | 289 
00111010000100110111110011101110101001101 | 289 
10001101000011010011011110010001011111110 | 289 
01111110010100111000101110000010000111111 | 289 
01001101110001010110100110101100001011111 | 289 
11010001111111100111101001000001101010111 | 289 
00001001001111111010101011111110111110011 | 289 
00100000011001100110101000110011011111111 | 288 
11110011011111010111111010000100101100001 | 288 
00010010111001101100011111111100010111001 | 288 
01011011010101000000001100111101001110101 | 288 
00011010111110101101011011010110111110110 | 288 
10101010001011111001110000100100100000100 | 288 
01111010110010000001010101110000010001100 | 288 
11010010111010010000101101011111001100101 | 287 
11110000110000010100101100001110110100001 | 287 
01001111110010001000101000100110000010010 | 287 
10011101110001110101100011111000010010100 | 287 
11111000100111100001101110101101111000110 | 287 
11001101100001100110010111011000101001010 | 287 
00000111101000001010001100110010010001010 | 287 
01001111010000001111011000111001000101011 | 286 
01001100110101011010110000100101101100110 | 286 
11110000101011000100100111001101101010001 | 286 
01010011001011011011011101101001001001100 | 286 
10010111000000011110101010011010011000110 | 286 
00011100101110110101101101101110001111101 | 286 
11100110000101110111001001000000000111001 | 286 
01000101010110001101011011011110110110000 | 286 
10001000011101111111011000110110001111101 | 286 
11000110110111001010101010011101100011111 | 286 
10100011110110100100101011101011011000011 | 286 
11101010011100001110011011100111110110100 | 286 
11011101101100000111110011001001001011110 | 286 
11100111010001001110100100011111010000101 | 286 
01001111101101101101100100010101110000110 | 285 
10100011010100001110011011110001010000001 | 285 
10100110100111100000011111010101100101100 | 285 
11100011111001011001001100100001110010110 | 285 
01100110001000110101111001001111001111001 | 285 
10001111111010101000001111011011000010110 | 285 
01101010010000011001001111000110000100001 | 285 
00100110010000000101011010000010000100010 | 285 
00010101000111101111101000011101001000011 | 285 
10010010011101000000010101100000110110000 | 285 
11011100001100111011100011000110110010000 | 285 
01001110001000100100011111101101110001101 | 284 
01101101111000011010111001010000010111011 | 284 
01000111100110011011110110010101011111000 | 284 
11000001000111011101110101011011110001110 | 284 
10101101011110101001101010110011110010110 | 284 
11100100100110000011011110010100111001111 | 284 
00010101111011110010010000000000101011000 | 284 
10011110110101101100001111010010100110101 | 284 
11101101111100111010000100011110110001101 | 284 
11011111110100100100011101010101101010110 | 284 
00000001111110000011011101101010111100011 | 283 
01111001111111101010010100001011011011011 | 283 
10001011000100011001001111011001100110001 | 283 
11010000110001110100100011000110111000100 | 283 
01110010111001011000010001100110011100001 | 283 
00101001110010110110000111111110101000101 | 283 
10010011011010000001000111111010011010011 | 283 
11110110100100000000110110011010010010101 | 283 
11001001000001011100000100010100001110000 | 283 
11001101101110100000000000101111100000000 | 282 
00101100111010010001111111110010000000101 | 282 
00000100010101101000010011000101010010001 | 282 
11010011101110101010110010000110001101111 | 282 
10010101010000000111100101100010101001011 | 282 
00011111100001111111010110100010110110110 | 282 
01011010101010000110111011000010010111100 | 282 
00110011101111000000100000001100011100001 | 282 
01110000110011010100100011000000100100110 | 282 
11111100010000011110000010001010001000101 | 282 
10001100100100000110010100011110011100011 | 282 
00101101111000011110001101100011111010111 | 282 
10110110110011100001000000000001010001011 | 282 
11100010100001000001111000011010101011100 | 282 
11110111101111001110000110111001011011100 | 282 
01111011010110011111001010110011110110010 | 281 
00010111110000010001111111100001010001001 | 281 
10110000001011111001101000110011111110110 | 281 
00001100000101101011011010111111000100001 | 281 
10110100001011100011110111000101000010101 | 281 
00111011101000100101000011111000111010001 | 281 
10100100010111100011100000110101011010011 | 281 
01110001011111011100110100001110111011101 | 281 
01010111010111000001011100000111110010101 | 281 
10001111011001100100111001000100000000011 | 281 
11000110001010101111100010010000010000100 | 281 
11101111000000100010110101010111001010000 | 281 
11111010110100100011100100100100110010011 | 281 
00011001111100100100010001000011010100011 | 280 
10000011111001011100001101001010000010010 | 280 
11101011111001001111100110010010101100000 | 280 
10100011001100110110101100011110000011110 | 280 
00110000101001111001010110011100100110001 | 280 
01001000011010010100100001010011100000111 | 280 
11001101101011000100011010011101110000010 | 280 
10011100101110001001011011010000101100001 | 280 
10001010100110100101110010001011111001001 | 279 
10111101011110100011010001001011000011010 | 279 
