Vector | #Nodes count 
0000010010 | 183 
1001000011 | 158 
1001000010 | 154 
1010000000 | 153 
0001000010 | 147 
0101001011 | 140 
0110000011 | 140 
1100000000 | 137 
1011010010 | 133 
1011010010 | 133 
0111010010 | 132 
0010000010 | 121 
0010000010 | 121 
0111001000 | 121 
1000001011 | 121 
0000010000 | 119 
1011010011 | 118 
0111000010 | 118 
0100001010 | 113 
0101011010 | 109 
0111000000 | 105 
0000101001 | 94 
0000101010 | 90 
0000001000 | 88 
1100011010 | 86 
1100011000 | 81 
0000111001 | 76 
0000100011 | 71 
0100000101 | 63 
0001101000 | 54 
0010110001 | 53 
0100000110 | 52 
0001110001 | 52 
0110110000 | 51 
0010110011 | 49 
0110110010 | 49 
0011000110 | 46 
0101101001 | 46 
0011110011 | 46 
1100111011 | 45 
0001101001 | 45 
0100100011 | 43 
1100010101 | 43 
1100101011 | 43 
1010101000 | 43 
1100100001 | 43 
0011001110 | 41 
0110101011 | 41 
1110100000 | 41 
0100110011 | 39 
0111101011 | 39 
0001110011 | 38 
0001000100 | 37 
0111000100 | 37 
1110101011 | 37 
1010010100 | 36 
0010001100 | 36 
1011101010 | 35 
1101100010 | 35 
1101000101 | 35 
0011011110 | 35 
0101000110 | 35 
1101010101 | 34 
0000101101 | 34 
1101110010 | 34 
1100001101 | 33 
1111110010 | 33 
1111000100 | 33 
0011001100 | 32 
0011001100 | 32 
1010110001 | 32 
1111001100 | 31 
1100011100 | 30 
0111011101 | 30 
0000111110 | 30 
0110001101 | 29 
0000100100 | 29 
0000100101 | 28 
0110001111 | 28 
1010010101 | 27 
0000111101 | 27 
1010010101 | 27 
0011111110 | 24 
0100001111 | 23 
1100111110 | 22 
1011101101 | 21 
0110111110 | 21 
0110101100 | 21 
0000001101 | 21 
0101110100 | 20 
0011100111 | 20 
0010111110 | 20 
0011100100 | 20 
0100101101 | 19 
1100110111 | 18 
1000100101 | 18 
0010111111 | 17 
0101111101 | 17 
0110101111 | 17 
0001111100 | 17 
