Vector | #Nodes count 
1101110 | 117 
1101110 | 117 
0100101 | 115 
0101110 | 115 
0100101 | 115 
0100100 | 114 
0101010 | 113 
1100110 | 113 
1100110 | 113 
1100110 | 113 
0101101 | 113 
1101010 | 113 
0101101 | 113 
0101100 | 112 
0101100 | 112 
1101000 | 112 
0000101 | 112 
1101000 | 112 
1101100 | 111 
0001000 | 111 
0001000 | 111 
1101101 | 111 
0001001 | 111 
0101001 | 111 
1100000 | 110 
1100100 | 109 
1100101 | 109 
1101011 | 109 
0100011 | 106 
1000111 | 106 
0100011 | 106 
1000101 | 106 
1000101 | 106 
0100001 | 106 
1000100 | 105 
1000110 | 105 
1000100 | 105 
0001101 | 104 
0001100 | 103 
1000001 | 103 
1000000 | 103 
0001100 | 103 
1000000 | 103 
0000011 | 102 
0000011 | 102 
0000000 | 102 
0000000 | 102 
0111111 | 97 
0111101 | 97 
0111100 | 97 
0111100 | 97 
0111111 | 97 
0110110 | 96 
0011110 | 96 
0011100 | 96 
0110110 | 96 
0110100 | 96 
0011100 | 96 
0110111 | 96 
0011111 | 96 
0110101 | 96 
1010010 | 92 
1010010 | 92 
1011110 | 92 
1011101 | 92 
1010000 | 92 
1010001 | 92 
1010001 | 92 
1011110 | 92 
0010011 | 91 
0010000 | 91 
0010000 | 91 
1110110 | 91 
1110110 | 91 
1110111 | 91 
0010001 | 91 
1110101 | 91 
0010001 | 91 
1110110 | 91 
1110100 | 91 
0010011 | 91 
0111010 | 90 
1111000 | 90 
1010101 | 90 
0111010 | 90 
1111001 | 90 
1111000 | 90 
0111011 | 90 
1111110 | 88 
0110000 | 88 
0110011 | 88 
1111101 | 87 
1111101 | 87 
1111101 | 87 
1110011 | 85 
1110010 | 85 
1011000 | 82 
1011010 | 82 
1011000 | 82 
1011010 | 82 
