Vector | #Nodes count 
10101110 | 336 
01011110 | 336 
11101001 | 336 
10100110 | 336 
11011111 | 336 
01111111 | 336 
11101110 | 336 
00111101 | 336 
10100011 | 336 
10010110 | 336 
10011111 | 336 
01011100 | 336 
01101111 | 336 
01100110 | 336 
00111110 | 336 
11011100 | 336 
01100101 | 336 
11011110 | 336 
01101101 | 336 
01011100 | 336 
01101110 | 336 
01010111 | 336 
01010111 | 336 
11001111 | 336 
00111111 | 336 
11011101 | 336 
11000011 | 336 
10011011 | 336 
11011010 | 336 
10010011 | 336 
11101100 | 336 
11111001 | 336 
01111100 | 336 
10111001 | 336 
01101100 | 336 
10111001 | 336 
11101010 | 336 
01110110 | 336 
11101001 | 336 
01011011 | 336 
11101111 | 336 
11011011 | 336 
11000110 | 336 
10110101 | 336 
01111000 | 335 
00010101 | 335 
10111000 | 335 
00101100 | 335 
01110100 | 335 
11110010 | 335 
10001101 | 335 
10000101 | 335 
00011010 | 335 
00010111 | 335 
00011001 | 335 
01001100 | 335 
01001011 | 335 
10000011 | 335 
01010100 | 335 
00101010 | 335 
00011111 | 335 
01001110 | 335 
11111000 | 335 
10001010 | 335 
00011110 | 335 
00110010 | 335 
11010100 | 335 
11100100 | 335 
11100010 | 335 
01001110 | 335 
00101100 | 335 
01111000 | 335 
11100100 | 335 
01100010 | 335 
00100110 | 335 
00100111 | 335 
10000011 | 335 
10000101 | 335 
01001100 | 335 
10000011 | 335 
01000011 | 335 
01111000 | 335 
00101100 | 335 
10001111 | 335 
01101000 | 335 
00101010 | 335 
00010100 | 334 
00010010 | 334 
01001000 | 334 
00011000 | 334 
00101000 | 334 
00101000 | 334 
00000011 | 332 
00000011 | 332 
01010000 | 332 
10100000 | 332 
11010000 | 332 
00100000 | 331 
00000100 | 331 
00110001 | 319 
