Vector | #Nodes count 
000010000100001011000010000110001101111000001000111000010000100110110001000001001010100110000101110100011000101111100110010000001011101101011100101 | 696 
001011110011001110011011110101001000110100101101111000011011111010000110111100000000000010111101111011010100111111001110011000011010011110000011011 | 686 
111001100110001001100010010101010101101100100000011001000011000001001001001010010011110110000111110000010100011000010000010110110011110001010101010 | 683 
100001110000100100011111000001001000111101010011101010111000110111010110110011000110110100001101110111010110011001111111100101001000101000101100110 | 674 
100011001100101101001010100110000100011010111100100101010000010100100010110100011001110010111100011011011001111101111000011000001001011110100111110 | 673 
010000011100010100100011001010101011000100000010011010100100010101101000011101101100101010101100110100101011111010011111010110001000101010100111101 | 668 
111011001110110001010111101000100111101100111011001100011010101010111111110011111001001000011111111010100100010110000010111011111000100001000001100 | 667 
010011011111111011000000001011011111100000010101111001011011010100110101011111111011001110100011101000000000000100101011010101011010011001101011111 | 662 
110000100000010111101000011000101011000110100011111101111110100110001100000110100101111011111110010111000101100001111110101101010001100000001111000 | 658 
011000100101010011101000011011110001010100101001100000001110110011111011000010110010100110001000111001011111100100011000001011001010110101000110110 | 655 
100011001010100100101001001001011100010100011100000111110001001101111101001101101011000000101001000111100000011110011001101110011011011001111001011 | 651 
000001110111001111100111110001111101101110000000001110000001010110011101010011001100110001010010010011110111100001101000000110011010000111011110101 | 650 
001001110010111110101001110101001111001110001101111011110001110001010110110001111100111011111100111000100110000000111111101001101000011000000110110 | 649 
001010111001100110100010000010110000110100001100010110110101011011111010010100001110111000111100010001100110000101011011011011101011111000110110111 | 648 
110010010011101110010000110001010011010000111010101111110000011001011111101100110111010101101000010010110100010100100111000111101000111011100110110 | 648 
111011111010010011001101000011010010100010010010011100111110100100001011000100110011010001000010101111111111010010001101111000101010010100001111110 | 647 
001100000000000001100001110011011000011101010000101101010111001001010000001010010101001011010100011010000001001000011011000010011001110000001011110 | 643 
100010100110111100100110011011101000100000001011111101011110001101011011010011010000100110111101111011110101101111000000000001101010100111110001011 | 639 
100111111111010001101100100110101110110010100111011001000001000101010100101010110100111001011111010001110101000000100010000111011001101000011100010 | 626 
000000010000010000101010100101100011010111110100001001100111001100011000111000111000011000111011001011111010100001011011010010000010010001110011000 | 623 
111011100110100111010111010101000000110100010000101100110111111010111001101101111010111110100010001001101010101000001100110101001000110100101100010 | 620 
101001101100011001100001101101100001010100110101001100111010011111000101110010000011001000010101110110011111110000111110111101101001110100100110000 | 620 
011001011110000101010110101001010010100101100110111011001101110101000001000111010101110110101010101111110111011001001010010101111011100101101000011 | 615 
010100101000010000101110001111111001011100110001011000100001000100101101111001000001000101000001010110010100010101110100000111111000000001000000000 | 604 
111010010100001110010001110110100010100000101111010110110111000001001101101110010110110010100001101101011010011000110101011111101000101101101101011 | 602 
010010101100010011101011101111100110100010100101000001110001001101001001101100100111011101000100101101010111111101010001010001100010100000100010110 | 601 
011101010101000110101101010100000101101000011000011110001010000110110101010001000001001110101001111110111111100101110010110111010001001010001101001 | 599 
100001100100001010000101001111111001110111001100001001100001101110100100101111101011100000111111100100101111101101111110011110000011101011100000111 | 596 
011011011101101011111111011100000010001100010110100110100011111011101010111011001110001100010111000111000110111001110000111010101011100101111000001 | 594 
000110011111011000010111000111010111100001100110000110101001100001101011100100011010011010010110110110011101110100101010001000111000110100010010001 | 592 
000110101000011010110111101111111101110010111000100011101111001100011100110100100001010010001011001100011001101011011010001001010001011000010000100 | 592 
000101011101011101000011101101100000101100110100101111011000100001000110100001110001010101010110100100111000000000000011001000000001100110101010001 | 591 
011110011000001001011101010101101011011101110001110111001100000000000111000100100100010011100010011011000101101100001101001100100010101010110101111 | 590 
100111111000111111101011010111001000100101011100011000101110011111100011000100111001111000011010000011001001001010101111110011101010100110000000011 | 584 
001110101011100001000101000100001111001110010100100011100001100000000101100101110011001110000001010101001001001010000010100001010000110011000101111 | 583 
010001111100100011111101101110100000000010001000100001010110000110110001100110001110111111111101110011000010000011110111110010010010101000101001101 | 578 
000110001001000110001001000001110111000000100101100011100110011110010011110110111000101111111010101000000000101001110111111011111001101001001001110 | 575 
101110101100010110101001001100001110100011101100010101001010010111011010000101111111110110010011011110001001010011011011011111010000111001010101101 | 567 
001111001010010000110011010011010101110010111111010110010101000100110000001110000101110000000010010010001101101000001111000001000010111011110010100 | 567 
010111010110010010110001000101000010010111001110111000101111111100101101001100001001111010000111111010010100110100100011000001101000110011100000001 | 566 
011111011101111010001001111000000010001100011011001100010101110010000001001010110011111001000111101100010000100101100001001111001000010011110101011 | 563 
111101011000010000011111101011100111110001011111001100111110101101000110110101100011010011001000101111001110100110011110110011100010001101000000101 | 558 
110111010010100101010101111100101010000011111100011111100110111011101111011100000000011011101101101011100110001000001010001010001000100100000101000 | 558 
100110110001111101000001101111001001111001001001101001000010011110011111110010010011100011100000010101000011111100111000110000101011010010001010010 | 554 
101110101010101000000100111001110111001101110101011000101101100011110010110111010101111000100011001100100110010101100001101010101010100010010000111 | 552 
100111011001101000001110001001000101010111101111000111000011111011000000110101100000110000100110100101011011101001010000110000000010101011000000011 | 550 
111100001011110100110100101101100111001000011101101001011010011110111110010001111110100011101101011010110110101010100100101010000000110000100111110 | 545 
011110111001110111111011010011010000001100110010011010011000000010111100010101001110001001011100100110000010000110111010100000111011011001100101001 | 537 
111100110011110001101000011010110110001111101100111011000100111110100111101010010010001100100101100011100111000101111111000100110001011100111000101 | 535 
100101000011101111111100000011100100010101111011101010111111000011010101011011111001010111001000100001011110100000101011111001001000110001101011010 | 535 
110110110001110100110110110011000111000110001010110000111010010000001101111110110010100000111011110100101110001100001011100111100010001111111110111 | 520 
