Vector | #Nodes count 
10110010000 | 90 
00010100000 | 89 
11000000000 | 86 
01110010000 | 85 
01001000000 | 83 
10001000000 | 79 
11011111100 | 74 
11101101000 | 65 
10101111000 | 65 
10111111100 | 61 
01111111100 | 61 
00101001100 | 55 
11010000100 | 54 
11100010100 | 54 
00001011000 | 53 
00100100100 | 53 
00011011100 | 51 
00000100100 | 50 
11010110110 | 50 
11111111110 | 50 
11110101100 | 49 
00010101100 | 49 
01011000100 | 48 
00011000100 | 48 
10100001010 | 48 
01110011100 | 47 
00000011100 | 46 
10101001010 | 46 
11000101110 | 44 
10010001110 | 44 
01011101110 | 44 
11011111010 | 43 
00101101110 | 42 
01101101110 | 42 
10100001100 | 42 
01010011001 | 40 
11101111001 | 39 
00010111001 | 39 
10000111001 | 38 
10100000010 | 38 
10100011011 | 37 
11101100010 | 37 
10010000010 | 37 
10111111001 | 36 
11011100110 | 36 
11000111011 | 35 
01010100110 | 35 
01101000010 | 34 
11100010110 | 34 
01000010110 | 34 
00101000010 | 33 
00001010010 | 33 
11110000110 | 33 
11011010010 | 33 
01000111101 | 28 
11000011101 | 27 
10111110011 | 26 
01000110011 | 26 
00111010011 | 26 
00000110011 | 26 
00101110011 | 26 
00110110001 | 25 
00100001101 | 25 
01110101101 | 25 
00110110001 | 25 
00111010001 | 24 
01111110001 | 24 
11111010101 | 23 
00110110101 | 23 
10001010101 | 23 
00011010101 | 23 
11000100101 | 23 
10110100101 | 23 
00101010101 | 23 
10110110101 | 23 
10000110101 | 23 
11110100111 | 23 
10000101111 | 22 
11000110001 | 22 
10010111111 | 22 
00100000101 | 22 
10110101111 | 22 
01101101111 | 22 
10011101111 | 22 
10111101111 | 22 
00001010111 | 21 
00011010111 | 21 
10010110111 | 20 
00000100011 | 20 
10010101011 | 20 
01101100101 | 20 
11110110111 | 20 
00100100011 | 20 
10000110111 | 20 
00111000001 | 19 
10111001001 | 19 
11011001001 | 19 
01111001001 | 19 
11101000001 | 18 
11111100001 | 16 
