Vector | #Nodes count 
10011100001010000010110111001010011001100001001101111001101111111100000110001011101111011110100110101111101001101011111111001001 | 699 
01110111101110111011010000111110100010101111101111110101000001100001001011100100111001110111110011001111010010011111111011010111 | 693 
11010111110011101000100110111100111001001100100110100110100110011100000001111111000001110010011111011110011101110110011111000101 | 692 
11110110101011010110001011001111100110001000101010101111011100001101100111110010101111110010011110010111111111011010111100011111 | 688 
11001111110110011000011101011111110101010010010001001000101000100011100001010011111111011011010111010101011111111110111011111111 | 683 
10111110011101100110100101101110011011111011101000010100000111011101111000111101001101010100111011101100011011010010110110001101 | 682 
00001010011010011001110010010001111101011010110011101110010111011001101000110111101111000000111001111000000100111110000111100111 | 679 
00110001100010011000011111110001111001101010101000011111101111001111111111101011011111000001010000010100111011000101111000101001 | 676 
00011000010110010011011110000101011111000001011001100001100110111010111000100010011110011101101111100001110001011010111011110011 | 675 
01111001111111100101011010101101100011011001010011110010011100010011010010100000011110001011101101111110110011011001010011110011 | 671 
10110001000101001001000111111101110101001001100010010011101010010100011001011011011111111111011101011111011010010011000111101011 | 669 
00010001110000111010101011101000100110100101001011110101101001111110011001110110110011101010010001101010110110100010101110011011 | 669 
10100100110111000110010011010011001101110001111111110110011011001011110101011001001011101011011100001101111010000011001101111101 | 668 
10010111110110111110010000110111100111000101001101110100111100010110101111001110011001000001011101111100100010010101101001100110 | 667 
01100100111110011000110110100000011100101100001100000011101011110100000111010000100110101110011111101010110111111001101101110011 | 666 
00011110110101011010000111110100011010110100110000001011101111011001001100010110100010010011100111100110110101011110011111010110 | 666 
01001010000001001011100111101111101000101101010011010011011001101101101000101101001001110101101010111011111111101111101101011110 | 666 
11001111111101100000001100011111111110100010101110000110100110110100001100101001100001111001100001101111100010101101100110101111 | 666 
01011110110110110100110101101110110011000101111000111011010110011100011101011010000001010001100110011011111001011100100000111001 | 665 
01101011101101101101111111001010001010011011101111001111000110001010001111011100100011111110101000011111001010100101001100011111 | 663 
11001111011110010011100110100010111101000110101111101011110010110110010001000110111110001010100110000010011101011011100001001011 | 663 
