Vector | #Nodes count 
000011000011101010110101010111110111111100110110000001001111 | 30 
011100100110000011100011010111001110011011010000011110010010 | 29 
100110000100100010011111010111011101100001001111111100000011 | 28 
010000110100000001110011110111110110101111010101000001011011 | 26 
000100111001110011000001111011000100100101011111110101011001 | 22 
001010010011100110010110111011000011100010100000000110110111 | 22 
001110000101111000110110000111100010100110010011001001001011 | 21 
100011010011011011100010000111000110001011001100110101000001 | 21 
010001010001010111111100011011110010000101101010111110101001 | 20 
000001100100010101111101110011111000111101110010100000001000 | 20 
111100111011011101010111111011101010010010010101100100101000 | 20 
110010011100100011001111101001100000111010100100111001110111 | 18 
001101111110011100100001111010000101001011111100100000111111 | 17 
101101000111000100001001111101000000010000111010000001101011 | 17 
100110111011101110010011110101011101111001110001101111001001 | 17 
100111000000000100000101000110000110011010110110100001101111 | 17 
011100010010101000100111011101011100001000010010101000110011 | 17 
100001100001000000100010101101100000010001010100110010100100 | 17 
000000100100001110010010011010111001110000011101100001011111 | 17 
010011110110011001000110101101011000000101001110011101110010 | 17 
101000001110111110110101001101011011001111000011000101011001 | 17 
000000011000111100110100011101111000011011000001001100001100 | 17 
100101110000101100011100000110111011001111001001001000111111 | 17 
000111010011011010111001000011100100111000011110011100111111 | 16 
111000111100111000000110011001001001011011010010011101111011 | 16 
001010111010100001110001110100000010011011010111000011101111 | 16 
100000111000010000101010011001100100001011111010000001110101 | 16 
001000000011001110000101011001101011110100100011011101101011 | 16 
001011100011000101000000110001100000111010110110010001101111 | 16 
000100001011111001010101010110011111100011111001110011001001 | 15 
100111011000011101011110001010110110100101001010110101101011 | 15 
100111100011001101001111011010011100111010111000110110001011 | 15 
110011110000010111100101011010110100101000111010110000010101 | 15 
010001001111100101111101000101000101110100010101111100110000 | 15 
110000011110010001111111011010101100000101110101011000100101 | 15 
100110101110111101000011111010010010000001101110010000101101 | 15 
001000110100000101010101001010111010001000110001111101110110 | 15 
010101001010111001010010101010010001111101011100101001011010 | 15 
110000010001100101101111110010001110101110000011110011101110 | 15 
100101000011000011111111110010111111010000010000000100001011 | 15 
100011110100100110000101100101011011111111111000101011111011 | 15 
001010010101011100001110011010100101001101001100100100000111 | 15 
000100010100101000101110101010101101100111010010101000011010 | 15 
011001010101001010011010111010001110100001011111000111111110 | 15 
011100010111011100111110110101100000001100000100011001110110 | 15 
110111010010000011100101011010011011000011011010000001111011 | 15 
001100101101011100001110010101000101001111001110100000100101 | 15 
111011101000011110100001010101000011101111000110010101000011 | 15 
010101100111000100100011010001111001111100010011001100000101 | 14 
100001110010001010011011000100000111000011111001111001000010 | 14 
110101000001101111010110111000011000001100001100101010011000 | 14 
010110001001111010001111001000100010000011101010001011111101 | 14 
000001111010111011101000000001111010000000101101000111111110 | 14 
000100001101001101010101111110100110000100100110100111001010 | 14 
000011010001111011001110000011100110110001011111001011000101 | 14 
011000100100100010101011000100110110000110000011111111110100 | 14 
001110110000111000101101111000001110000000001011100001111110 | 14 
010011101011010010010110010001000001000101100011101010101001 | 14 
001001011011110100100001011000111001111101111010000011001110 | 14 
111100110010111000101010101110111100110111000111000110000001 | 14 
100100001111111110010011000011011101100100010110010100001100 | 14 
000111000100111111110111010001000100011010000101011001101011 | 14 
010100011011100011100001101111101100100000001011011110000111 | 14 
001010001111111001101011110000001001110001011110111110101010 | 14 
001000101000100010101000011000111110001000000010000000000000 | 14 
111111110101010110100101001110111010011110111110001101010001 | 14 
101001110110010011111000010011000010110010010111101101000010 | 14 
001000001001001100101101001000010110100000000101111101010011 | 14 
010110110100000111011100001110101111101110011001010101100110 | 14 
001010111100110101111101001110110111111001100110110101001101 | 14 
101100101101111100010101001000011010010001100111011001011001 | 14 
010000110010110100110111010011011100101001100010100010111000 | 14 
111001000000110101001010111110011010000111110010110010001110 | 14 
110011010010100110000010010011101100100101101011010011010110 | 14 
011101010011000011000001010001011100011101001101010010111011 | 14 
100000101001111110000000100001011111110111110010011000100110 | 14 
111101111110111101001101000100011110001000010000000001001110 | 14 
000011010110110000010110111000100101100101010000000001101010 | 14 
001011001111001100111000001110000100100010110111000001010001 | 14 
111011001001011000011110011100011001111111011011011010011101 | 13 
011011110000001100000110100010101001110010000010101010111011 | 13 
110111011001110001100110001100100100110001111001101001100010 | 13 
100111110001001101000110110000111101001110000001010100110110 | 13 
110111100001101110010011100010101100100010111010010001111010 | 13 
010100110100100011001100100000000000110000100001110010101000 | 13 
010110110010011100001001010010011111000011100111000000110101 | 13 
100000101011001010011110101100111110010100111110110010010000 | 13 
101010000001000100000100111100110011111010001000011000010100 | 13 
000101001001100010001101000000101111011010010100001010000001 | 13 
000001101011001110001010110000101010111101011010110111000101 | 13 
110110001100000011101100101100011101000010110110001000000000 | 13 
110000011010010111011000010000110111101001110100011000111110 | 13 
110011111011101011001111100010100100001101111100000010001011 | 13 
100101011000000100010101000010001000000010100110101101011101 | 13 
000000111101010001111011111100111001101110000101001010111010 | 13 
110101011001100010100111000000000001101100001111111110000111 | 13 
110110001110100110010111001100011100011011000100001111000101 | 13 
001001111011010010101110100010011011111101101011001011000110 | 13 
011011111000001111101111111100101100000101111000111010001011 | 13 
111001100011001010010110110010110011001010011001000101111110 | 13 
