Nome do arquivo avaliado: int2float 
Quantidade de vetores testados: 100 - 0.048828125 
total_evaluated_nodes: 423 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
10111111001 | ['n18', 'n19', 'n26', 'n47', 'net_0_g033', 'ZN_neg_g033', 'n51', 'n52', 'net_0_g034', 'net_1_g035', 'net_0_g035', 'n53', 'net_2_g036', 'n55', 'n62', 'net_0_g044', 'n83', 'net_1_g065', 'net_0_g066', 'ZN_neg_g066', 'net_1_g066', 'net_2_g066', 'n84', 'net_1_g067', 'net_0_g067', 'n110', 'n111', 'n142', 'net_0_g124', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 205 | 36 | 0.5682600999999999
00001011000 | ['n19', 'n26', 'n30', 'n31', 'n32', 'net_1_g014', 'n34', 'n40', 'net_0_g022', 'n46', 'n47', 'net_1_g036', 'net_0_g036', 'n55', 'n56', 'net_0_g052', 'n70', 'n71', 'net_0_g054', 'n72', 'n74', 'n75', 'net_0_g057', 'net_3_g067', 'net_2_g067', 'n103', 'n104', 'net_0_g087', 'n105', 'n109', 'net_1_g096', 'net_0_g096', 'n116', 'net_0_g099', 'ZN_neg_g099', 'net_1_g099', 'n117', 'n126', 'net_0_g107', 'n131', 'n133', 'n138', 'n139', 'n142', 'net_0_g126', 'net_1_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 198 | 53 | 0.4475897000000001
10111110011 | ['n18', 'n19', 'n26', 'n47', 'n50', 'net_0_g032', 'n52', 'n55', 'net_0_g063', 'n81', 'n82', 'net_2_g064', 'net_0_g065', 'n83', 'n113', 'net_1_g095', 'net_0_g113', 'n142', 'net_0_g124', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 197 | 26 | 0.4508976
00000100100 | ['n18', 'n19', 'n26', 'n30', 'n33', 'net_0_g016', 'n34', 'n40', 'n46', 'n47', 'net_1_g036', 'net_0_g036', 'n62', 'n63', 'net_0_g055', 'n73', 'n74', 'net_2_g056', 'n75', 'net_0_g057', 'net_3_g067', 'net_2_g067', 'net_0_g086', 'n104', 'n105', 'ZN_neg_g088', 'n106', 'n107', 'n108', 'net_1_g091', 'n109', 'n111', 'n116', 'ZN_neg_g099', 'n117', 'net_0_g111', 'n130', 'n131', 'net_2_g112', 'n133', 'n142', 'net_0_g126', 'net_1_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 186 | 50 | 0.3694834
11101101000 | ['n26', 'n30', 'n31', 'n32', 'net_1_g014', 'n34', 'n36', 'n40', 'net_0_g022', 'n46', 'n47', 'net_1_g036', 'net_0_g036', 'n56', 'n65', 'net_0_g047', 'n73', 'net_1_g056', 'n74', 'net_0_g056', 'n75', 'n83', 'ZN_neg_g066', 'n84', 'net_0_g067', 'ZN_neg_g079', 'n97', 'x1_g080', 'Z_neg_g080', 'net_0_g080', 'n98', 'net_0_g081', 'n99', 'n100', 'net_1_g082', 'net_0_g082', 'n102', 'n104', 'n105', 'n109', 'n111', 'n116', 'net_0_g099', 'ZN_neg_g099', 'n117', 'n126', 'net_0_g107', 'n131', 'n133', 'net_0_g116', 'n135', 'n136', 'n137', 'n138', 'n139', 'n142', 'net_0_g126', 'net_1_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 198 | 65 | 0.40490880000000007
11000101110 | ['n18', 'n26', 'n42', 'net_0_g024', 'n43', 'n44', 'n46', 'net_3_g028', 'net_2_g028', 'n47', 'net_1_g036', 'net_0_g036', 'n62', 'n63', 'n65', 'n73', 'net_2_g055', 'net_1_g055', 'net_1_g056', 'n74', 'n75', 'ZN_neg_g066', 'n84', 'n108', 'n109', 'net_2_g091', 'net_1_g096', 'net_0_g096', 'net_0_g110', 'n129', 'n130', 'net_0_g112', 'n131', 'n142', 'net_0_g123', 'net_0_g124', 'net_0_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 197 | 44 | 0.39786330000000003
00100100100 | ['n18', 'n19', 'n26', 'n30', 'n33', 'net_0_g016', 'n34', 'n40', 'n46', 'n47', 'net_1_g036', 'net_0_g036', 'n62', 'n63', 'net_0_g055', 'n73', 'n74', 'net_2_g056', 'n75', 'net_0_g057', 'net_3_g067', 'net_2_g067', 'net_0_g086', 'n104', 'n105', 'ZN_neg_g088', 'n106', 'n107', 'n108', 'net_1_g091', 'n109', 'n111', 'n116', 'ZN_neg_g099', 'n117', 'net_0_g109', 'n128', 'net_0_g111', 'n130', 'n131', 'net_3_g112', 'net_2_g112', 'n133', 'n142', 'net_0_g126', 'net_1_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 188 | 53 | 0.3655909999999998
11101111001 | ['n18', 'n19', 'n26', 'n47', 'net_0_g033', 'ZN_neg_g033', 'n51', 'n52', 'net_0_g034', 'net_1_g035', 'net_0_g035', 'n53', 'net_3_g036', 'net_2_g036', 'n55', 'n62', 'net_0_g044', 'n83', 'net_1_g065', 'net_0_g066', 'ZN_neg_g066', 'net_1_g066', 'net_2_g066', 'n84', 'net_0_g067', 'n110', 'n111', 'net_3_g096', 'net_0_g113', 'n142', 'net_0_g124', 'net_0_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 206 | 39 | 0.40929819999999983
11111010101 | ['n18', 'n19', 'n26', 'n47', 'n50', 'net_0_g032', 'n52', 'n55', 'net_0_g066', 'ZN_neg_g066', 'n84', 'n111', 'net_0_g093', 'n142', 'net_0_g124', 'net_0_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 202 | 23 | 0.4202920999999997
10100011011 | ['n18', 'n19', 'n26', 'n47', 'net_0_g033', 'ZN_neg_g033', 'n51', 'net_1_g034', 'n52', 'net_0_g034', 'net_1_g035', 'net_0_g035', 'n53', 'net_3_g036', 'net_2_g036', 'n62', 'n83', 'net_1_g065', 'net_0_g066', 'ZN_neg_g066', 'net_1_g066', 'net_2_g066', 'n84', 'net_0_g067', 'n113', 'net_1_g095', 'net_0_g113', 'n142', 'net_0_g124', 'net_0_g126', '\\M[0]', '\\M[1]', '\\M[2]', '\\M[3]', '\\E[0]', '\\E[1]', '\\E[2]'] | 207 | 37 | 0.4159773000000002
