,percentage,selected_gates,difference,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,82,5680,21422,50424,15742,56104
1,0.2,163,9105,33859,37987,24754,47092
2,0.3,244,9540,44618,27228,35078,36768
3,0.4,326,10326,52288,19558,41962,29884
4,0.5,407,8772,57847,13999,49075,22771
5,0.6,488,4948,62353,9493,57405,14441
6,0.7,570,4390,65903,5943,61513,10333
7,0.8,651,2087,68537,3309,66450,5396
8,0.9,732,1477,70626,1220,69149,2697
9,1.0,813,0,71846,0,71846,0
