,percentage,selected_gates,gates_max,gates_sum,gates_deep_fanout,deep_fanout_difference,max_sum_difference,sum_total_vectors_for_selected_gates,sum_total_vectors_remaining_gates,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.0,0,set(),set(),set(),0,0,0,9955,0,9955,0,9955
1,0.1,9,"{'g63', 'g69', 'g06', 'g26', 'g45', 'g35', 'g68', 'g04', 'g38'}","{'g63', 'g69', 'g06', 'g26', 'g45', 'g35', 'g68', 'g52', 'g38'}","{'g63', 'g69', 'g86', 'g06', 'g26', 'g45', 'g35', 'g68', 'g38'}",36,34,2892,7063,2858,7097,2856,7099
2,0.2,18,"{'g85', 'g14', 'g60', 'g63', 'g69', 'g86', 'g55', 'g06', 'g26', 'g45', 'g35', 'g68', 'g04', 'g66', 'g80', 'g70', 'g38', 'g20'}","{'g61', 'g51', 'g60', 'g63', 'g69', 'g86', 'g06', 'g26', 'g45', 'g35', 'g68', 'g52', 'g46', 'g04', 'g70', 'g66', 'g38', 'g20'}","{'g85', 'g14', 'g60', 'g63', 'g69', 'g86', 'g55', 'g06', 'g26', 'g45', 'g35', 'g68', 'g66', 'g80', 'g82', 'g70', 'g38', 'g20'}",284,218,4646,5309,4428,5527,4362,5593
3,0.3,26,"{'g04', 'g68', 'g60', 'g65', 'g38', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g70', 'g86', 'g26', 'g45', 'g80', 'g82', 'g77', 'g14', 'g63', 'g02', 'g55', 'g66', 'g35', 'g64', 'g20'}","{'g04', 'g68', 'g60', 'g46', 'g38', 'g85', 'g34', 'g69', 'g59', 'g06', 'g70', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g51', 'g14', 'g63', 'g55', 'g66', 'g61', 'g52', 'g35', 'g20'}","{'g71', 'g68', 'g60', 'g65', 'g38', 'g85', 'g49', 'g69', 'g59', 'g06', 'g70', 'g53', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g77', 'g14', 'g63', 'g55', 'g66', 'g35', 'g64', 'g20'}",565,383,5882,4073,5499,4456,5317,4638
4,0.4,35,"{'g07', 'g21', 'g71', 'g04', 'g68', 'g60', 'g65', 'g46', 'g38', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g70', 'g53', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g52', 'g35', 'g64', 'g20'}","{'g71', 'g04', 'g68', 'g60', 'g65', 'g46', 'g38', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g70', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g16', 'g10', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g61', 'g52', 'g35', 'g64', 'g20'}","{'g07', 'g71', 'g04', 'g67', 'g68', 'g60', 'g65', 'g38', 'g85', 'g34', 'g49', 'g69', 'g50', 'g59', 'g06', 'g70', 'g00', 'g53', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g77', 'g14', 'g63', 'g18', 'g55', 'g66', 'g13', 'g35', 'g64', 'g20'}",739,184,6974,2981,6790,3165,6235,3720
5,0.5,43,"{'g07', 'g21', 'g71', 'g48', 'g04', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g70', 'g76', 'g00', 'g53', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g09', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g52', 'g13', 'g35', 'g64', 'g20'}","{'g07', 'g71', 'g48', 'g04', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g70', 'g53', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g16', 'g10', 'g01', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g61', 'g52', 'g35', 'g13', 'g64', 'g19', 'g20'}","{'g07', 'g71', 'g04', 'g67', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g50', 'g59', 'g06', 'g70', 'g76', 'g00', 'g53', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g51', 'g77', 'g14', 'g39', 'g56', 'g63', 'g18', 'g55', 'g66', 'g13', 'g52', 'g35', 'g64', 'g20'}",405,250,7757,2198,7507,2448,7352,2603
6,0.6,52,"{'g07', 'g21', 'g71', 'g48', 'g04', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g59', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g09', 'g62', 'g16', 'g51', 'g77', 'g14', 'g56', 'g39', 'g63', 'g02', 'g55', 'g66', 'g52', 'g13', 'g35', 'g61', 'g64', 'g20'}","{'g07', 'g21', 'g71', 'g48', 'g04', 'g23', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g50', 'g59', 'g06', 'g70', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g16', 'g10', 'g01', 'g09', 'g62', 'g36', 'g79', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g61', 'g52', 'g35', 'g13', 'g64', 'g19', 'g20'}","{'g07', 'g11', 'g71', 'g48', 'g04', 'g67', 'g68', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g49', 'g69', 'g50', 'g59', 'g06', 'g70', 'g76', 'g37', 'g00', 'g05', 'g53', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g62', 'g36', 'g03', 'g51', 'g77', 'g14', 'g39', 'g56', 'g63', 'g18', 'g55', 'g66', 'g13', 'g52', 'g35', 'g61', 'g64', 'g20'}",267,95,8496,1459,8401,1554,8229,1726
7,0.7,61,"{'g07', 'g21', 'g11', 'g71', 'g48', 'g04', 'g68', 'g25', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g57', 'g49', 'g69', 'g50', 'g59', 'g81', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g09', 'g62', 'g16', 'g36', 'g03', 'g33', 'g51', 'g77', 'g14', 'g56', 'g39', 'g63', 'g02', 'g55', 'g66', 'g52', 'g13', 'g35', 'g61', 'g64', 'g44', 'g20'}","{'g07', 'g21', 'g11', 'g71', 'g48', 'g04', 'g23', 'g68', 'g25', 'g60', 'g65', 'g46', 'g38', 'g58', 'g74', 'g85', 'g34', 'g57', 'g49', 'g69', 'g50', 'g59', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g16', 'g10', 'g01', 'g09', 'g62', 'g36', 'g03', 'g79', 'g51', 'g77', 'g14', 'g56', 'g63', 'g02', 'g55', 'g66', 'g61', 'g52', 'g35', 'g13', 'g64', 'g19', 'g44', 'g20'}","{'g07', 'g11', 'g71', 'g48', 'g04', 'g67', 'g68', 'g25', 'g60', 'g65', 'g46', 'g38', 'g58', 'g78', 'g74', 'g85', 'g34', 'g84', 'g49', 'g69', 'g50', 'g59', 'g06', 'g70', 'g76', 'g37', 'g00', 'g05', 'g53', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g62', 'g36', 'g03', 'g81', 'g33', 'g79', 'g51', 'g77', 'g14', 'g39', 'g56', 'g15', 'g63', 'g18', 'g55', 'g66', 'g13', 'g52', 'g35', 'g61', 'g64', 'g19', 'g44', 'g20'}",383,106,9102,853,8996,959,8719,1236
8,0.8,69,"{'g07', 'g21', 'g11', 'g71', 'g48', 'g04', 'g23', 'g68', 'g25', 'g60', 'g65', 'g46', 'g22', 'g67', 'g12', 'g38', 'g58', 'g74', 'g85', 'g34', 'g57', 'g49', 'g69', 'g08', 'g50', 'g59', 'g81', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g47', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g09', 'g62', 'g16', 'g36', 'g03', 'g33', 'g51', 'g77', 'g14', 'g56', 'g39', 'g63', 'g02', 'g18', 'g55', 'g66', 'g52', 'g13', 'g35', 'g61', 'g64', 'g41', 'g44', 'g20'}","{'g07', 'g21', 'g11', 'g71', 'g48', 'g04', 'g23', 'g68', 'g25', 'g60', 'g65', 'g46', 'g22', 'g38', 'g58', 'g74', 'g85', 'g34', 'g57', 'g49', 'g69', 'g08', 'g50', 'g59', 'g81', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g47', 'g05', 'g53', 'g54', 'g86', 'g75', 'g26', 'g45', 'g80', 'g82', 'g16', 'g10', 'g01', 'g09', 'g62', 'g36', 'g03', 'g33', 'g79', 'g51', 'g77', 'g14', 'g56', 'g39', 'g63', 'g02', 'g27', 'g18', 'g55', 'g66', 'g61', 'g52', 'g35', 'g13', 'g64', 'g19', 'g44', 'g20'}","{'g07', 'g21', 'g11', 'g71', 'g48', 'g04', 'g67', 'g68', 'g25', 'g60', 'g65', 'g46', 'g38', 'g58', 'g78', 'g74', 'g85', 'g34', 'g84', 'g57', 'g49', 'g69', 'g50', 'g59', 'g06', 'g24', 'g70', 'g76', 'g37', 'g00', 'g47', 'g05', 'g53', 'g54', 'g86', 'g26', 'g45', 'g80', 'g82', 'g01', 'g10', 'g62', 'g36', 'g03', 'g81', 'g33', 'g09', 'g79', 'g51', 'g77', 'g14', 'g39', 'g56', 'g15', 'g63', 'g02', 'g29', 'g18', 'g55', 'g66', 'g13', 'g52', 'g35', 'g61', 'g64', 'g19', 'g44', 'g20', 'g16'}",185,103,9511,444,9408,547,9326,629
9,0.9,78,"{'g21', 'g48', 'g67', 'g12', 'g25', 'g22', 'g38', 'g78', 'g85', 'g50', 'g59', 'g06', 'g05', 'g54', 'g75', 'g81', 'g45', 'g01', 'g33', 'g79', 'g02', 'g66', 'g13', 'g41', 'g44', 'g04', 'g60', 'g74', 'g34', 'g32', 'g49', 'g24', 'g43', 'g53', 'g86', 'g62', 'g63', 'g55', 'g35', 'g64', 'g07', 'g71', 'g23', 'g65', 'g08', 'g70', 'g76', 'g37', 'g36', 'g16', 'g10', 'g03', 'g51', 'g77', 'g14', 'g56', 'g39', 'g15', 'g18', 'g61', 'g11', 'g68', 'g46', 'g58', 'g57', 'g84', 'g69', 'g00', 'g47', 'g26', 'g82', 'g80', 'g09', 'g40', 'g27', 'g52', 'g19', 'g20'}","{'g21', 'g48', 'g67', 'g12', 'g25', 'g22', 'g38', 'g78', 'g85', 'g50', 'g59', 'g06', 'g05', 'g54', 'g75', 'g81', 'g45', 'g01', 'g33', 'g79', 'g02', 'g66', 'g13', 'g41', 'g44', 'g04', 'g60', 'g74', 'g34', 'g32', 'g49', 'g24', 'g43', 'g53', 'g86', 'g62', 'g63', 'g55', 'g35', 'g64', 'g07', 'g71', 'g23', 'g65', 'g08', 'g70', 'g76', 'g37', 'g36', 'g16', 'g10', 'g03', 'g51', 'g77', 'g14', 'g56', 'g39', 'g15', 'g18', 'g61', 'g11', 'g68', 'g46', 'g58', 'g57', 'g84', 'g69', 'g00', 'g47', 'g26', 'g82', 'g80', 'g09', 'g40', 'g27', 'g52', 'g19', 'g20'}","{'g21', 'g48', 'g67', 'g12', 'g25', 'g22', 'g38', 'g78', 'g85', 'g28', 'g50', 'g59', 'g06', 'g05', 'g54', 'g75', 'g81', 'g45', 'g01', 'g33', 'g79', 'g02', 'g29', 'g30', 'g66', 'g13', 'g44', 'g04', 'g60', 'g74', 'g34', 'g49', 'g24', 'g73', 'g53', 'g86', 'g62', 'g31', 'g63', 'g55', 'g35', 'g64', 'g07', 'g71', 'g65', 'g08', 'g70', 'g76', 'g37', 'g36', 'g16', 'g10', 'g03', 'g51', 'g77', 'g14', 'g39', 'g56', 'g15', 'g18', 'g61', 'g11', 'g68', 'g46', 'g58', 'g84', 'g57', 'g69', 'g00', 'g47', 'g26', 'g82', 'g80', 'g09', 'g40', 'g52', 'g19', 'g20'}",173,0,9829,126,9829,126,9656,299
