,percentage,selected_gates,gates_max,gates_sum,gates_deep_fanout,deep_fanout_difference,max_sum_difference,sum_total_vectors_for_selected_gates,sum_total_vectors_remaining_gates,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.0,0,set(),set(),set(),0,0,0,3702,0,3702,0,3702
1,0.1,12,"{'g101', 'g123', 'g067', 'g096', 'g001', 'g126', 'g036', 'g124', 'g037', 'g113', 'g029', 'g000'}","{'g066', 'g101', 'g123', 'g067', 'g112', 'g096', 'g001', 'g126', 'g036', 'g124', 'g113', 'g029'}","{'g101', 'g012', 'g067', 'g096', 'g001', 'g126', 'g036', 'g124', 'g037', 'g113', 'g029', 'g000'}",203,100,1679,2023,1579,2123,1476,2226
2,0.2,24,"{'g028', 'g067', 'g065', 'g112', 'g096', 'g001', 'g037', 'g101', 'g066', 'g034', 'g123', 'g036', 'g124', 'g091', 'g057', 'g095', 'g056', 'g126', 'g093', 'g113', 'g029', 'g000', 'g008', 'g035'}","{'g028', 'g067', 'g065', 'g112', 'g096', 'g001', 'g037', 'g066', 'g101', 'g034', 'g123', 'g036', 'g124', 'g091', 'g057', 'g095', 'g056', 'g126', 'g093', 'g113', 'g029', 'g000', 'g008', 'g035'}","{'g028', 'g067', 'g112', 'g096', 'g001', 'g037', 'g101', 'g066', 'g034', 'g123', 'g022', 'g036', 'g124', 'g091', 'g057', 'g095', 'g126', 'g093', 'g113', 'g029', 'g000', 'g012', 'g052', 'g035'}",123,0,2481,1221,2481,1221,2358,1344
3,0.3,36,"{'g028', 'g067', 'g065', 'g112', 'g096', 'g001', 'g037', 'g027', 'g086', 'g101', 'g066', 'g034', 'g123', 'g111', 'g022', 'g044', 'g036', 'g124', 'g091', 'g054', 'g032', 'g057', 'g095', 'g056', 'g025', 'g126', 'g093', 'g113', 'g029', 'g000', 'g008', 'g016', 'g026', 'g087', 'g038', 'g035'}","{'g028', 'g067', 'g065', 'g112', 'g096', 'g001', 'g037', 'g027', 'g086', 'g033', 'g066', 'g101', 'g034', 'g123', 'g111', 'g044', 'g036', 'g124', 'g091', 'g054', 'g109', 'g032', 'g099', 'g057', 'g095', 'g056', 'g025', 'g126', 'g093', 'g113', 'g029', 'g000', 'g008', 'g016', 'g055', 'g035'}","{'g028', 'g067', 'g065', 'g114', 'g006', 'g112', 'g096', 'g001', 'g037', 'g101', 'g066', 'g034', 'g123', 'g022', 'g044', 'g036', 'g124', 'g091', 'g099', 'g094', 'g057', 'g095', 'g120', 'g122', 'g126', 'g093', 'g113', 'g029', 'g000', 'g008', 'g012', 'g052', 'g038', 'g100', 'g098', 'g035'}",295,44,2931,771,2887,815,2636,1066
4,0.4,48,"{'g028', 'g067', 'g065', 'g114', 'g112', 'g096', 'g001', 'g037', 'g027', 'g086', 'g033', 'g101', 'g066', 'g034', 'g123', 'g111', 'g022', 'g044', 'g036', 'g124', 'g091', 'g054', 'g109', 'g032', 'g007', 'g057', 'g090', 'g095', 'g056', 'g025', 'g126', 'g093', 'g015', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g012', 'g016', 'g026', 'g087', 'g045', 'g038', 'g063', 'g055', 'g035'}","{'g053', 'g028', 'g067', 'g065', 'g112', 'g096', 'g001', 'g037', 'g027', 'g086', 'g033', 'g066', 'g101', 'g034', 'g123', 'g111', 'g022', 'g044', 'g036', 'g124', 'g091', 'g054', 'g109', 'g032', 'g099', 'g007', 'g057', 'g090', 'g095', 'g056', 'g122', 'g025', 'g126', 'g093', 'g015', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g016', 'g026', 'g087', 'g080', 'g038', 'g055', 'g035'}","{'g028', 'g067', 'g065', 'g114', 'g006', 'g112', 'g096', 'g001', 'g037', 'g027', 'g033', 'g101', 'g066', 'g034', 'g123', 'g111', 'g022', 'g044', 'g036', 'g124', 'g091', 'g099', 'g094', 'g032', 'g109', 'g057', 'g090', 'g095', 'g120', 'g122', 'g056', 'g126', 'g093', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g012', 'g052', 'g016', 'g087', 'g026', 'g038', 'g100', 'g098', 'g035'}",154,45,3220,482,3175,527,3066,636
5,0.5,59,"{'g053', 'g107', 'g028', 'g067', 'g065', 'g114', 'g112', 'g096', 'g051', 'g001', 'g037', 'g027', 'g086', 'g033', 'g101', 'g066', 'g098', 'g034', 'g123', 'g111', 'g022', 'g092', 'g044', 'g036', 'g124', 'g091', 'g119', 'g054', 'g109', 'g032', 'g007', 'g099', 'g094', 'g057', 'g090', 'g095', 'g120', 'g110', 'g056', 'g025', 'g126', 'g093', 'g015', 'g089', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g012', 'g016', 'g026', 'g087', 'g045', 'g038', 'g063', 'g055', 'g035'}","{'g053', 'g028', 'g067', 'g065', 'g114', 'g112', 'g096', 'g079', 'g001', 'g051', 'g037', 'g027', 'g086', 'g033', 'g066', 'g101', 'g034', 'g123', 'g111', 'g022', 'g044', 'g036', 'g124', 'g091', 'g119', 'g054', 'g109', 'g032', 'g099', 'g007', 'g057', 'g090', 'g095', 'g120', 'g110', 'g056', 'g122', 'g025', 'g088', 'g126', 'g093', 'g015', 'g089', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g024', 'g016', 'g026', 'g087', 'g012', 'g080', 'g038', 'g063', 'g055', 'g035'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g065', 'g114', 'g006', 'g112', 'g096', 'g001', 'g037', 'g027', 'g118', 'g033', 'g101', 'g066', 'g034', 'g123', 'g111', 'g022', 'g092', 'g044', 'g036', 'g124', 'g091', 'g119', 'g099', 'g094', 'g032', 'g109', 'g121', 'g057', 'g090', 'g095', 'g120', 'g122', 'g056', 'g025', 'g126', 'g093', 'g089', 'g113', 'g047', 'g029', 'g064', 'g000', 'g008', 'g012', 'g052', 'g016', 'g087', 'g026', 'g024', 'g009', 'g038', 'g100', 'g098', 'g035'}",195,43,3393,309,3350,352,3198,504
6,0.6,71,"{'g018', 'g053', 'g107', 'g028', 'g067', 'g065', 'g114', 'g112', 'g096', 'g051', 'g001', 'g079', 'g037', 'g027', 'g086', 'g033', 'g101', 'g066', 'g098', 'g034', 'g123', 'g111', 'g022', 'g092', 'g044', 'g036', 'g124', 'g091', 'g119', 'g054', 'g105', 'g109', 'g032', 'g007', 'g099', 'g094', 'g057', 'g090', 'g081', 'g085', 'g095', 'g120', 'g110', 'g056', 'g088', 'g025', 'g122', 'g076', 'g126', 'g093', 'g015', 'g089', 'g113', 'g047', 'g029', 'g064', 'g046', 'g000', 'g008', 'g012', 'g016', 'g026', 'g087', 'g024', 'g080', 'g014', 'g045', 'g038', 'g063', 'g055', 'g035'}","{'g108', 'g053', 'g003', 'g107', 'g028', 'g067', 'g065', 'g114', 'g112', 'g096', 'g079', 'g001', 'g051', 'g082', 'g037', 'g027', 'g086', 'g033', 'g066', 'g101', 'g098', 'g034', 'g123', 'g111', 'g022', 'g092', 'g044', 'g036', 'g124', 'g091', 'g119', 'g054', 'g105', 'g109', 'g032', 'g099', 'g007', 'g094', 'g057', 'g090', 'g081', 'g095', 'g120', 'g110', 'g056', 'g122', 'g025', 'g088', 'g076', 'g126', 'g093', 'g015', 'g089', 'g113', 'g047', 'g029', 'g064', 'g046', 'g000', 'g008', 'g024', 'g016', 'g026', 'g087', 'g012', 'g080', 'g045', 'g038', 'g063', 'g055', 'g035'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g065', 'g114', 'g006', 'g112', 'g096', 'g001', 'g037', 'g027', 'g118', 'g086', 'g033', 'g101', 'g066', 'g034', 'g123', 'g111', 'g055', 'g022', 'g092', 'g044', 'g036', 'g124', 'g091', 'g119', 'g054', 'g099', 'g094', 'g032', 'g109', 'g121', 'g007', 'g057', 'g090', 'g085', 'g081', 'g095', 'g120', 'g110', 'g122', 'g056', 'g025', 'g088', 'g126', 'g093', 'g015', 'g089', 'g113', 'g047', 'g029', 'g064', 'g046', 'g000', 'g008', 'g012', 'g052', 'g016', 'g087', 'g026', 'g024', 'g014', 'g009', 'g038', 'g063', 'g100', 'g098', 'g035'}",85,9,3522,180,3513,189,3437,265
7,0.7,83,"{'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g101', 'g066', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g024', 'g052', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g076', 'g064', 'g000', 'g016', 'g084', 'g100', 'g005', 'g053', 'g051', 'g036', 'g083', 'g109', 'g057', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g038', 'g098', 'g006', 'g112', 'g096', 'g001', 'g082', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g093', 'g014', 'g055'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g066', 'g101', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g010', 'g024', 'g052', 'g026', 'g080', 'g045', 'g106', 'g063', 'g035', 'g065', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g076', 'g064', 'g000', 'g016', 'g100', 'g053', 'g003', 'g051', 'g036', 'g109', 'g057', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g038', 'g098', 'g031', 'g112', 'g096', 'g001', 'g082', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g093', 'g014', 'g055'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g027', 'g033', 'g101', 'g066', 'g044', 'g124', 'g105', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g052', 'g024', 'g026', 'g009', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g122', 'g103', 'g064', 'g000', 'g016', 'g017', 'g084', 'g100', 'g036', 'g109', 'g121', 'g057', 'g104', 'g023', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g038', 'g098', 'g031', 'g006', 'g112', 'g096', 'g001', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g060', 'g093', 'g014', 'g055'}",108,20,3603,99,3583,119,3495,207
8,0.8,95,"{'g018', 'g108', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g101', 'g066', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g010', 'g024', 'g052', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g103', 'g076', 'g064', 'g000', 'g002', 'g016', 'g084', 'g100', 'g005', 'g053', 'g003', 'g051', 'g036', 'g083', 'g109', 'g057', 'g104', 'g042', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g038', 'g098', 'g006', 'g112', 'g096', 'g001', 'g082', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g093', 'g011', 'g014', 'g055'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g066', 'g101', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g010', 'g024', 'g052', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g103', 'g076', 'g064', 'g000', 'g016', 'g100', 'g005', 'g053', 'g003', 'g051', 'g036', 'g083', 'g061', 'g109', 'g057', 'g104', 'g042', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g074', 'g038', 'g098', 'g058', 'g031', 'g006', 'g112', 'g096', 'g001', 'g082', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g093', 'g014', 'g055'}","{'g117', 'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g101', 'g066', 'g039', 'g044', 'g124', 'g105', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g052', 'g024', 'g026', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g122', 'g103', 'g076', 'g064', 'g000', 'g016', 'g017', 'g084', 'g100', 'g059', 'g053', 'g051', 'g036', 'g083', 'g109', 'g121', 'g057', 'g104', 'g023', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g038', 'g098', 'g058', 'g031', 'g006', 'g112', 'g096', 'g001', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g060', 'g093', 'g021', 'g014', 'g055'}",36,4,3654,48,3650,52,3618,84
9,0.9,107,"{'g018', 'g108', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g101', 'g066', 'g073', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g010', 'g024', 'g052', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g103', 'g076', 'g064', 'g000', 'g002', 'g016', 'g084', 'g100', 'g005', 'g053', 'g003', 'g051', 'g004', 'g036', 'g083', 'g061', 'g109', 'g057', 'g104', 'g042', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g074', 'g038', 'g072', 'g098', 'g058', 'g031', 'g006', 'g102', 'g112', 'g096', 'g001', 'g082', 'g030', 'g037', 'g075', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g060', 'g093', 'g011', 'g070', 'g021', 'g014', 'g055'}","{'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g066', 'g101', 'g039', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g010', 'g024', 'g052', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g103', 'g076', 'g064', 'g000', 'g002', 'g016', 'g017', 'g084', 'g100', 'g005', 'g053', 'g003', 'g051', 'g048', 'g036', 'g083', 'g061', 'g109', 'g121', 'g057', 'g104', 'g042', 'g023', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g074', 'g038', 'g098', 'g058', 'g031', 'g006', 'g102', 'g112', 'g096', 'g001', 'g082', 'g030', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g060', 'g093', 'g011', 'g021', 'g014', 'g055'}","{'g117', 'g108', 'g018', 'g107', 'g028', 'g067', 'g114', 'g079', 'g027', 'g033', 'g101', 'g066', 'g039', 'g044', 'g124', 'g105', 'g050', 'g032', 'g007', 'g090', 'g081', 'g110', 'g088', 'g015', 'g089', 'g113', 'g047', 'g046', 'g040', 'g010', 'g052', 'g024', 'g026', 'g062', 'g080', 'g009', 'g045', 'g106', 'g063', 'g035', 'g065', 'g043', 'g118', 'g086', 'g034', 'g123', 'g111', 'g022', 'g091', 'g054', 'g094', 'g013', 'g122', 'g103', 'g076', 'g064', 'g000', 'g002', 'g016', 'g017', 'g084', 'g100', 'g059', 'g005', 'g053', 'g003', 'g051', 'g036', 'g083', 'g109', 'g121', 'g057', 'g104', 'g023', 'g042', 'g056', 'g025', 'g126', 'g029', 'g008', 'g012', 'g087', 'g116', 'g038', 'g098', 'g058', 'g031', 'g006', 'g102', 'g112', 'g096', 'g001', 'g030', 'g082', 'g037', 'g092', 'g119', 'g099', 'g085', 'g095', 'g120', 'g060', 'g093', 'g011', 'g021', 'g014', 'g055'}",9,2,3686,16,3684,18,3677,25
