,percentage,selected_gates,gates_max,gates_sum,gates_deep_fanout,deep_fanout_difference,max_sum_difference,sum_total_vectors_for_selected_gates,sum_total_vectors_remaining_gates,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.0,0,set(),set(),set(),0,0,0,1552,0,1552,0,1552
1,0.1,3,"{'g083', 'g169', 'g082'}","{'g083', 'g082', 'g067'}","{'g083', 'g167', 'g169'}",271,175,780,772,605,947,509,1043
2,0.2,5,"{'g082', 'g167', 'g068', 'g169', 'g083'}","{'g067', 'g082', 'g169', 'g083', 'g069'}","{'g082', 'g167', 'g169', 'g083', 'g069'}",182,271,1085,467,814,738,903,649
3,0.3,7,"{'g067', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g067', 'g166', 'g082', 'g068', 'g169', 'g083', 'g069'}","{'g166', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}",182,5,1299,253,1294,258,1117,435
4,0.4,9,"{'g067', 'g166', 'g020', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g067', 'g166', 'g020', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g081', 'g166', 'g067', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}",63,0,1466,86,1466,86,1403,149
5,0.5,11,"{'g066', 'g002', 'g067', 'g166', 'g020', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g066', 'g019', 'g067', 'g166', 'g020', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g002', 'g081', 'g166', 'g067', 'g020', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}",27,6,1504,48,1498,54,1477,75
6,0.6,14,"{'g066', 'g002', 'g019', 'g067', 'g166', 'g020', 'g082', 'g001', 'g000', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g066', 'g002', 'g019', 'g067', 'g166', 'g065', 'g020', 'g080', 'g082', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g002', 'g066', 'g081', 'g166', 'g067', 'g020', 'g080', 'g082', 'g001', 'g167', 'g068', 'g169', 'g083', 'g069'}",13,1,1527,25,1526,26,1514,38
7,0.7,16,"{'g066', 'g002', 'g019', 'g067', 'g166', 'g065', 'g020', 'g082', 'g001', 'g000', 'g167', 'g004', 'g068', 'g169', 'g083', 'g069'}","{'g066', 'g002', 'g019', 'g067', 'g166', 'g065', 'g020', 'g080', 'g082', 'g001', 'g000', 'g167', 'g068', 'g169', 'g083', 'g069'}","{'g002', 'g066', 'g081', 'g019', 'g166', 'g067', 'g020', 'g080', 'g082', 'g001', 'g000', 'g167', 'g068', 'g169', 'g083', 'g069'}",5,3,1540,12,1537,15,1535,17
8,0.8,18,"{'g066', 'g002', 'g019', 'g081', 'g067', 'g166', 'g065', 'g020', 'g080', 'g082', 'g001', 'g000', 'g167', 'g004', 'g068', 'g169', 'g083', 'g069'}","{'g066', 'g002', 'g019', 'g081', 'g067', 'g166', 'g065', 'g020', 'g080', 'g082', 'g001', 'g000', 'g167', 'g004', 'g068', 'g169', 'g083', 'g069'}","{'g002', 'g066', 'g081', 'g019', 'g166', 'g067', 'g065', 'g020', 'g080', 'g079', 'g082', 'g001', 'g000', 'g167', 'g068', 'g169', 'g083', 'g069'}",2,0,1546,6,1546,6,1544,8
9,0.9,20,"{'g018', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}","{'g018', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}","{'g018', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}",0,0,1550,2,1550,2,1550,2
10,1.0,22,"{'g018', 'g005', 'g003', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}","{'g018', 'g005', 'g003', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}","{'g018', 'g005', 'g003', 'g019', 'g067', 'g065', 'g020', 'g079', 'g082', 'g001', 'g066', 'g166', 'g004', 'g068', 'g083', 'g081', 'g167', 'g169', 'g000', 'g069', 'g002', 'g080'}",0,0,1552,0,1552,0,1552,0
