Nome do arquivo avaliado: router 
Quantidade de vetores testados: 100 - 8.673617379884035e-17 
total_evaluated_nodes: 634 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
010101100111000100100011010001111001111100010011001100000101 | ['n110', 'ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 323 | 14 | 1.1843153999998322
111011001001011000011110011100011001111111011011011010011101 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 321 | 13 | 1.117295799999738
011011110000001100000110100010101001110010000010101010111011 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 320 | 13 | 1.1564964999997756
110111011001110001100110001100100100110001111001101001100010 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 314 | 13 | 1.1249149000000216
100001110010001010011011000100000111000011111001111001000010 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 315 | 14 | 1.0993493000000853
001101111110011100100001111010000101001011111100100000111111 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', 'net_2_g166', 'net_1_g169', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 326 | 17 | 1.1806106000003638
110101000001101111010110111000011000001100001100101010011000 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 322 | 14 | 1.1716584999999213
100111110001001101000110110000111101001110000001010100110110 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 323 | 13 | 1.1431507000002057
010110001001111010001111001000100010000011101010001011111101 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 315 | 14 | 1.0991930999998658
000001111010111011101000000001111010000000101101000111111110 | ['n110', 'ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 325 | 14 | 1.1598092999997789
000100001101001101010101111110100110000100100110100111001010 | ['ZN_neg_g067', 'n157', 'net_0_g068', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 326 | 14 | 1.1542132999998103
010001010001010111111100011011110010000101101010111110101001 | ['n91', 'n110', 'net_1_g020', 'n156', 'ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'net_2_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 326 | 20 | 1.1455716999998913
110111100001101110010011100010101100100010111010010001111010 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 312 | 13 | 1.0974056000000019
010000110100000001110011110111110110101111010101000001011011 | ['n91', 'n92', 'n93', 'n94', 'n95', 'n108', 'net_0_g018', 'ZN_neg_g019', 'n109', 'net_0_g020', 'n110', 'n158', 'ZN_neg_g079', 'n169', 'ZN_neg_g080', 'n170', 'net_0_g080', 'net_1_g080', 'net_2_g080', 'n171', 'n172', 'ZN_neg_g083', 'net_0_g167', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 316 | 26 | 1.126807899999676
010100110100100011001100100000000000110000100001110010101000 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 329 | 13 | 1.2483690999997634
000100001011111001010101010110011111100011111001110011001001 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 323 | 15 | 1.1516172000001461
100111011000011101011110001010110110100101001010110101101011 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 329 | 15 | 1.2200351999999839
010110110010011100001001010010011111000011100111000000110101 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 313 | 13 | 1.1087948999997934
100000101011001010011110101100111110010100111110110010010000 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 324 | 13 | 1.1771087000001899
101010000001000100000100111100110011111010001000011000010100 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 320 | 13 | 1.1302255000000514
100111100011001101001111011010011100111010111000110110001011 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 330 | 15 | 1.1604953000000933
000011010001111011001110000011100110110001011111001011000101 | ['n110', 'ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 317 | 14 | 1.1484025999998266
000111010011011010111001000011100100111000011110011100111111 | ['n110', 'ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', 'net_2_g166', 'net_1_g169', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 327 | 16 | 1.1656357999995635
000101001001100010001101000000101111011010010100001010000001 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 311 | 13 | 1.116307499999948
110011110000010111100101011010110100101000111010110000010101 | ['ZN_neg_g067', 'n157', 'net_0_g067', 'net_1_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 338 | 15 | 1.230514100000164
101101000111000100001001111101000000010000111010000001101011 | ['n92', 'n110', 'net_1_g020', 'net_2_g020', 'ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 321 | 17 | 1.1342411999999058
010001001111100101111101000101000101110100010101111100110000 | ['n110', 'ZN_neg_g067', 'n157', 'net_0_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 320 | 15 | 1.1608813000002556
110010011100100011001111101001100000111010100100111001110111 | ['n110', 'net_1_g020', 'ZN_neg_g067', 'n157', 'net_0_g067', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', 'net_2_g166', 'net_1_g169', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 335 | 18 | 1.2632724000000053
000001101011001110001010110000101010111101011010110111000101 | ['ZN_neg_g067', 'n157', 'n158', 'ZN_neg_g069', 'n159', 'n172', 'net_1_g082', 'ZN_neg_g083', 'net_0_g083', 'n256', '\\outport[0]', '\\outport[1]', '\\outport[2]'] | 316 | 13 | 1.1174567999996725
