,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g2668,100,[100  55  34  15  14],218,118,0,1
1,g1993,100,[100  54  32  17  13],216,116,0,1
2,g2578,100,[100  48  37  18   8],211,111,0,1
3,g4198,100,[100  49  36  19   7],211,111,0,1
4,g4063,100,[100  51  31  15  13],210,110,0,1
5,g2308,100,[100  54  29  17   9],209,109,0,1
6,g0949,100,[100  55  29  12],208,108,0,1
7,g2893,100,[100  55  25  17  11],208,108,0,1
8,g3343,100,[100  54  27  16  11],208,108,0,1
9,g3388,100,[100  62  25  11  10],208,108,0,1
10,g3928,100,[100  52  24  17  15],208,108,0,1
11,g5143,100,[100  50  36  13   9],208,108,0,1
12,g1181,100,[100  61  21  13  12],207,107,0,1
13,g2533,100,[100  54  30  16   7],207,107,0,1
14,g3478,100,[100  51  29  14  13],207,107,0,1
15,g5413,100,[100  42  35  24   6],207,107,0,1
16,g5593,100,[100  51  29  13],206,106,0,1
17,g1948,100,[100  51  28  13],205,105,0,1
18,g2983,100,[100  56  27  12  10],205,105,0,1
19,g4243,100,[100  51  27  15  12],205,105,0,1
20,g4378,100,[100  59  21  15  10],205,105,0,1
21,g5503,100,[100  56  29  11   9],205,105,0,1
22,g5861,100,[100  66  20  14   5],205,105,0,1
23,g0997,100,[100  55  24  13  12],204,104,0,1
24,g5188,100,[100  51  30  16   7],204,104,0,1
25,g5233,100,[100  49  29  13],204,104,0,1
26,g5996,100,[100  61  24  15   4],204,104,0,1
27,g1678,100,[100  50  28  16   9],203,103,0,1
28,g3163,100,[100  53  28  13   9],203,103,0,1
29,g4108,100,[100  45  31  15  12],203,103,0,1
30,g4153,100,[100  51  26  14  12],203,103,0,1
31,g4648,100,[100  49  32  11],203,103,0,1
32,g5638,100,[100  58  25  11   9],203,103,0,1
33,g2128,100,[100  44  32  14  12],202,102,0,1
34,g2353,100,[100  56  26  11   9],202,102,0,1
35,g3658,100,[100  52  27  15   8],202,102,0,1
36,g3703,100,[100  44  31  18   9],202,102,0,1
37,g3883,100,[100  51  29  12  10],202,102,0,1
38,g4288,100,[100  57  26  12   7],202,102,0,1
39,g4783,100,[100  50  29  15   8],202,102,0,1
40,g6131,100,[100  47  33  15   7],202,102,0,1
41,g6356,100,[100  56  23  16   7],202,102,0,1
42,g1453,100,[100  59  21  11  10],201,101,0,1
43,g1543,100,[100  54  24  12  11],201,101,0,1
44,g1588,100,[100  57  25  10   9],201,101,0,1
45,g2218,100,[100  50  26  16   9],201,101,0,1
46,g5951,100,[100  59  20  11],201,101,0,1
47,g1723,100,[100  56  23  11  10],200,100,0,1
48,g1768,100,[100  53  32  13   2],200,100,0,1
49,g2173,100,[100  43  29  18  10],200,100,0,1
50,g2443,100,[100  54  23  13  10],200,100,0,1
51,g3613,100,[100  52  29  11   8],200,100,0,1
52,g4603,100,[100  50  31  15   4],200,100,0,1
53,g5817,100,[100  47  34  15   4],200,100,0,1
54,g2398,100,[100  47  31  16   5],199,99,0,1
55,g2623,100,[100  45  31  13  10],199,99,0,1
56,g2713,100,[100  50  29  12   8],199,99,0,1
57,g3298,100,[100  46  33  13   7],199,99,0,1
58,g5729,100,[100  47  27  15  10],199,99,0,1
59,g2938,100,[100  48  31  16   3],198,98,0,1
60,g3118,100,[100  47  28  19   4],198,98,0,1
61,g3253,100,[100  55  25  10   8],198,98,0,1
62,g3523,100,[100  48  25  16   9],198,98,0,1
63,g4828,100,[100  55  23  13   7],198,98,0,1
64,g4963,100,[100  54  23  11  10],198,98,0,1
65,g5368,100,[100  46  31  13   8],198,98,0,1
66,g6311,100,[100  49  32  12   5],198,98,0,1
67,g1135,100,[100  50  28  11   8],197,97,0,1
68,g1498,100,[100  52  29   9   7],197,97,0,1
69,g1813,100,[100  53  29   9   6],197,97,0,1
70,g1858,100,[100  52  26  13   6],197,97,0,1
71,g3793,100,[100  61  16  12   8],197,97,0,1
72,g4468,100,[100  55  22  11   9],197,97,0,1
73,g4558,100,[100  47  33  12   5],197,97,0,1
74,g4693,100,[100  53  21  14   9],197,97,0,1
75,g5278,100,[100  59  18  11   9],197,97,0,1
76,g5458,100,[100  54  19  15   9],197,97,0,1
77,g6266,100,[100  57  23  10   7],197,97,0,1
78,g6400,100,[100  52  22  13  10],197,97,0,1
79,g1318,100,[100  49  26  13   8],196,96,0,1
80,g1363,100,[100  57  21  10   8],196,96,0,1
81,g3073,100,[100  50  23  12  11],196,96,0,1
82,g5053,100,[100  56  20  10],196,96,0,1
83,g1408,100,[100  45  33  14   3],195,95,0,1
84,g3028,100,[100  44  27  15   9],195,95,0,1
85,g4513,100,[100  52  23  12   8],195,95,0,1
86,g5008,100,[100  37  35  16   7],195,95,0,1
87,g1903,100,[100  43  31  13   7],194,94,0,1
88,g2263,100,[100  43  31  14   6],194,94,0,1
89,g3208,100,[100  49  26  12   7],194,94,0,1
90,g4018,100,[100  43  29  15   7],194,94,0,1
91,g5773,100,[100  53  26  11   4],194,94,0,1
92,g1043,100,[100  45  28  15   5],193,93,0,1
93,g2038,100,[100  47  25  11  10],193,93,0,1
94,g2488,100,[100  51  22  10],193,93,0,1
95,g3433,100,[100  40  32  14   7],193,93,0,1
96,g3568,100,[100  47  27  14   5],193,93,0,1
97,g3838,100,[100  52  28   9   4],193,93,0,1
98,g3973,100,[100  44  28  16   5],193,93,0,1
99,g4333,100,[100  48  29  10   6],193,93,0,1
100,g6041,100,[100  45  31  10   7],193,93,0,1
101,g0901,100,[100  42  32  12   6],192,92,0,1
102,g2848,100,[100  46  28  11   7],192,92,0,1
103,g1273,100,[100  46  22  14   9],191,91,0,1
104,g1633,100,[100  46  24  12   9],191,91,0,1
105,g3748,100,[100  41  28  16   6],191,91,0,1
106,g4423,100,[100  43  26  14   8],191,91,0,1
107,g4873,100,[100  47  27  12   5],191,91,0,1
108,g5548,100,[100  45  34   9   3],191,91,0,1
109,g6086,100,[100  43  28  15   5],191,91,0,1
110,g6176,100,[100  53  21   9   8],191,91,0,1
