,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,100,[  8  26  23   9   7 100  36  18  16  15   4],380,-4,1
1,g001,100,[  8   3  26  20   9   6   5 100  39  16  10   2],360,-4,1
2,g002,100,[ 19  26  23  11   8   4 100  44  17  16  10   5   3   2],388,-3,2
3,g003,100,[ 17  26   8 100  29  16   4],300,-4,1
4,g004,100,[  7   4   2  24  19   8   6   5 100  45  18  15  13   3],385,-6,1
5,g005,100,[ 13   3  24  19   8   6   5 100  46   7  15  11   4   2],387,-6,1
6,g006,87,[29 24 18  7  6  5 87 15 11  3  2],213,-5,2
7,g007,100,[ 30  20  12   5   4   3 100   1  15   6],314,-6,1
8,g008,100,[ 15   4   2  20  12   5   3 100  40  14],258,-6,1
9,g009,100,[  6  20  16   8   5   3 100  40  11  15],246,-5,2
10,g010,100,[ 19  13  26  15   8   4   3 100  35  16  14   6   5],283,-4,1
11,g011,83,[ 8 26 25 18  6  1 83 19 16 14  9  4],313,-3,2
12,g012,100,[ 14   3  12  10   5   2 100  33   7],306,-2,7
13,g013,100,[  7  15  12   2   1 100   5  10   4   3],181,-3,5
14,g014,100,[  6  22  17   7   4 100  35  12  20  15],359,-4,1
15,g015,33,[10  3  1 22 16  8  5 33  2 20 12  4],205,-4,1
16,g016,100,[ 48  29  27   5  22  18   7   4 100   1  20  13   2],414,-3,2
17,g017,100,[100   8  22   6  48  28  15  20],553,-4,1
18,g018,100,[100  20  15   5  35  18  13   3],429,-6,1
19,g019,100,[  7  20  17   9   6   2 100  73  27  19  18  13   5   3],351,-6,1
20,g020,100,[  5   2   1  20  16   6   4 100  74  34  18  14],360,-5,2
21,g021,100,[ 12   7   4   2  22  18  11   6   1 100  78  32  24  20  17   8   3],393,-4,1
22,g022,100,[ 24   3  22  21  16   4   1 100  76  32  23  20  10   2],395,-3,2
23,g023,100,[ 17   6   9   2   1 100  72  27  24  21   4   3],304,-4,3
24,g024,100,[ 17  11  21  16   6   4 100  76  29  25  22  15   8   5   2],395,-4,1
25,g025,100,[ 15  21  17   8   5   4 100  73  28  24],371,-4,1
26,g026,100,[ 15  21  18   7   6   5 100  74  27  25  22  14   2],369,-3,2
27,g027,100,[ 12   6  21   3 100  73  27  26  20],315,-4,1
28,g028,100,[  8   6   5   1  24  17   7   4 100  74  34  31   9  18  15],374,-6,1
29,g029,100,[ 13  24  19  11   5   3 100  71  23  18  15   6   4],365,-6,1
30,g030,100,[ 13  24  15   6   5   4 100  80  32  25  23  18  14],373,-5,2
31,g031,100,[ 39  14   9   4   2  21  12   6 100  78  33  23  22  16  10],422,-4,1
32,g032,100,[ 18   8  21  20  12   5   3 100  78  32  26  17  10   4],398,-3,2
33,g033,100,[ 18  10   8   9   7   1 100  76  27  25  24  12   5   2],362,-3,4
34,g034,100,[ 18  25   9   6   3 100  82  31  27  24  17  15   7   2],390,-4,1
35,g035,100,[ 29   3  25  19   8   6   5 100  76  28  27  21  17  14   4   2],421,-4,1
36,g036,100,[ 13   5  25  18   8   7   3 100  72  28  24  20  17  12   4   1],364,-3,2
37,g037,31,[13  8  5 25 31 17  4],124,-4,1
38,g038,25,[13 25 20  8  7  5 17  6  2],126,-4,1
39,g039,30,[29  2 25 22 12 10 30  7 17  6  4],219,-3,2
40,g040,17,[15 17 11  4  3  7  9  5  1],100,-2,7
41,g041,34,[17 23  7  3 34 24  1 15  2],163,-3,1
42,g042,47,[25  3 10  9  6  2  1 47 14  7],157,-3,5
43,g043,24,[20 24  7  3 14  2],92,-3,1
44,g044,18,[15  9  5  4  3 18  7],102,-2,14
45,g045,70,[27  6  5 23  7  4  3 70 10  2 16  1],252,-3,1
46,g046,15,[15 12  7  4  2  1  3  9  5],74,-2,7
47,g047,24,[16 24  7  1 15 11  2],94,-3,1
48,g048,25,[11  4 25  2  1 18],70,-2,16
49,g049,80,[11  4 20 16  6  5 80 63 18  1 17  3],268,-4,1
50,g050,30,[30  7  3 20 13  5  1  2 17 15  4],138,-4,1
51,g051,68,[18 20 15  6  3 68 33 16  7 17 11  5  4  2],231,-3,2
52,g052,81,[19 20  6 81 17  7],231,-4,1
53,g053,35,[15  5 22 14  4 35  1  8  2],138,-6,1
54,g054,41,[15  5 22 16  8  3 41 12  6],178,-6,1
55,g055,28,[28  8  4 22 16  7  5 27 21 11  9  1 15 13  2],204,-5,2
56,g056,44,[44 15  9  6 21 14  7  4  3 16 11 12  1],190,-6,1
57,g057,100,[100  64  53  24  21  18   8   6   4   3  16  12   2],359,-6,1
58,g058,100,[100  21  15   8   4   3  28   9  16  12   6   5   1],228,-5,2
59,g059,20,[ 6  4  1 20 16  8  5  3 17  9],109,-4,1
60,g060,20,[ 4 20 18 11  6  1 17 14  7  5  2],126,-3,2
61,g061,24,[ 4 10  7  3  2 24  5  1],76,-3,5
62,g062,21,[ 8 21 15  6  5  4 16 12  2],99,-4,1
63,g063,42,[42 11  6  1 21 15  5  4 35 16  8  3],194,-4,1
64,g064,34,[11 21 16  6  4 34  7  3  9  5  1],146,-3,2
65,g065,41,[11  7 21  4 41  2 16  8],149,-4,1
66,g066,68,[21  8 20 15  7  5  3 68 27  1 14 12  4],238,-6,1
67,g067,100,[  8  20  15   7   4 100  48   2  14  11   5   1],244,-6,1
68,g068,21,[ 8  5  4  1 20 16  6 21 14 10  3  2],126,-5,2
69,g069,32,[11 19 16  7  5  4 32 15 12  1],133,-6,1
70,g070,62,[15  5 19  6  4 62 16 12 11  3  2],196,-6,1
71,g071,64,[55  9  7  4  3 19 15  8  5  2 64 14 12],244,-5,2
72,g072,42,[ 7  6  4  2 21 13  5 42 40 25 15 16],230,-4,1
73,g073,31,[15 21 20  9  8  3 31 16 14  7  6  1],151,-3,2
74,g074,57,[17  1 16 10  4  2 57 18  8  6  3],159,-2,7
75,g075,8,[8 5 3 2 4],31,-2,4
76,g076,40,[18 22 16  9  4  3 40  1 23 14  5],164,-4,1
77,g077,23,[17  6 22 16  5  8  4  1 23 18  9],153,-4,1
78,g078,52,[52 12  6  1 22 16  5 21 23 20 10  4],209,-3,2
79,g079,41,[ 5  4  3  1 22 41 14 23],125,-4,1
80,g080,23,[12 22 13  7  4  2 23 14  3],113,-4,1
81,g081,36,[12  3  2 22 20 14  4 36  1 23 21  5],181,-3,2
82,g082,19,[ 7  5  3  2 16 14  6  1 12 19],129,-2,14
83,g083,30,[16 21 11  6  3  2 30 20 22  8  7],177,-4,1
84,g084,22,[17  6  5 21 15  3 20 22  7],155,-4,1
85,g085,49,[49 12  4  1 21 18 10  6  2 19  8 22],220,-3,2
86,g086,33,[ 6  4  2 21  5 33 20  9 22],135,-4,1
87,g087,22,[11 21 14  7  4  3  9 22 15  6  2],121,-4,1
88,g088,56,[17  7  1 21 11  6 56 22 20  3],215,-3,2
89,g089,44,[ 8  6 16  7  3  1 44  5 13 12],136,-3,4
90,g090,16,[16  5  2  4 14],46,-2,8
91,g091,100,[ 16   8   3 100  28   2  37   6  20   7],529,-1,1
92,g092,100,[ 52   8   4   2 100  50  49   1  31  60  40],697,0,1
93,g093,100,[100  45  29  12   3   1  30  20   7],812,-1,1
94,g094,100,[  8   3 100  56  44  24   5  52  48],640,0,1
95,g095,100,[ 58  26   8   3 100  29   1   6  20   7   2],563,-1,1
96,g096,100,[ 51  15   4 100  61  39  20   5  59  41],699,0,1
97,g097,100,[ 10   8 100  29   3  23  11   4  20   7   2],517,-1,1
98,g098,100,[ 56  20   7   1 100  52  48  11  51  49],696,0,1
99,g099,50,[50 32  5 14 11  9  2 47 12  7  4  1],245,-2,7
100,g100,38,[12  7  2 38 10  3  1],73,-2,4
101,g101,100,[ 23   9   6 100  57   7   2  47   8  52  10],621,-1,1
102,g102,100,[ 35  13   8 100  53  47  57  16  10  55  45],739,0,1
103,g103,100,[ 42  25   6 100  57   7   2  76  24  18   1  51   9],719,-1,1
104,g104,100,[ 41  17   3   1 100  63  37  39  15  51  48],816,0,1
105,g105,100,[ 51  32   5 100  57   7   3  21  52  10],641,-1,1
106,g106,100,[ 32  23  18   8 100  51  49  37  35  14   3  55  45],788,0,1
107,g107,100,[ 19 100  57   7  15   6   5  52  10],576,-1,1
108,g108,100,[ 48  15  13 100  51  49   6   1  55  45],696,0,1
109,g109,49,[49 20 10 16 11  5  4  2  9  1  6],165,-2,7
110,g110,69,[69 35  9 12  8  3  2  4  6  1],165,-3,5
111,g111,59,[59 21  6  2  4  3  9  1  5],112,-2,4
112,g112,100,[  7   5 100  21   4   1   8   3  19],494,-1,1
113,g113,100,[  6   5 100  50  42  12   9   8  52  48],682,0,1
114,g114,100,[  6   4 100  21   1  48  15  13  19   5   3],539,-1,1
115,g115,100,[  6   2 100  52  48  68  28  11   1  51  49],717,0,1
116,g116,100,[ 16 100  21   4  41   5  18],609,-1,1
117,g117,100,[ 26  13   6 100  53  47  18   4  99  50  49],665,0,1
118,g118,100,[ 46  20  13   6   3 100  21   4   2  30  29  14  18],625,-1,1
119,g119,100,[ 37  30  19  11 100  55  45  20  10   2  99  53  46],727,0,1
120,g120,100,[100  37   5   3   7   1  17  10],195,-2,4
121,g121,100,[ 27  11   9   3 100  57   7   2  24   5  52  10],607,-1,1
122,g122,100,[ 51 100  53  47   9   4  50],720,0,1
123,g123,100,[ 65  37  11 100  57   7   2  51  24  52  10],729,-1,1
124,g124,100,[ 48 100  52  67  32   9   2   1  50],759,0,1
125,g125,100,[ 58  41   5 100  56   6   2  44  52  10   3],782,-1,1
126,g126,100,[ 84  46   9   6   4 100  53   1  52  51  49],801,0,1
127,g127,100,[ 59 100  57   7  22  51   9   4],609,-1,1
128,g128,100,[ 84  47   8 100  51  49  59   1  99  52],797,0,1
129,g129,100,[100  33  26  10   5   4   1],184,-2,4
130,g130,84,[84  2 12 67 43 14  5],300,-2,8
131,g131,74,[63  2 11  7  3  1 74 15  6],198,-4,3
132,g132,100,[100  36  20  10  23   4   1  86   8   5   2  18],321,-3,1
133,g133,77,[15 11  3  2  1 24  4 77],179,-3,1
134,g134,68,[68 43 33 25 17  6  2 65 15 11  5  3],326,-3,1
135,g135,79,[76 43 14 21  4  3 79  6 15],265,-3,1
136,g136,100,[100  22   8  30   5   2  78  18   3],269,-2,16
137,g137,100,[100  49  18   6  11   3  47   9   1],555,-1,1
138,g138,100,[100  56  44  24   1  60  40],625,0,1
139,g139,100,[100  47  13   7  19  53   8   1],548,-1,1
140,g140,100,[100  56  43   1  63  44],663,0,1
141,g141,100,[100  52  14   6  71  17  47  11   3],621,-1,1
142,g142,100,[100  53  47  74   9   2  54  46],694,0,1
143,g143,100,[100  56  18   9  59  52   2],641,-1,1
144,g144,100,[100  51  48   1  52],601,0,1
145,g145,50,[15  1 50 13],82,-2,4
146,g146,100,[100  48   3   1  62  10  47   6],580,-1,1
147,g147,100,[100  99  59  40  64  13  52  48],688,0,1
148,g148,100,[100  47   4   2  13   8   7  51   3],537,-1,1
149,g149,100,[100  53  46   1  99  45],598,0,1
150,g150,100,[100  52   5   2  50  47],560,-1,1
151,g151,100,[100  57  43  65  15  50],680,0,1
152,g152,100,[100  54   5   3  66  15  52],619,-1,1
153,g153,100,[100  99  54  43   2  14   6  46],624,0,1
154,g154,18,[ 5  3 18  9  4],46,-2,4
155,g155,100,[100  49  18   3  51  47   9   4],581,-1,1
156,g156,100,[100  54  46  64  50],664,0,1
