,logic_gate,max,unique,sum
0,g000,100,[  8  26  23   9   7 100  36  18  16  15   4],580
1,g001,100,[  8   3  26  20   9   6   5 100  39  16  10   2  11],471
2,g002,100,[ 19  26  23  11   8   4 100  44  17  16  10   5   3   2],588
3,g003,100,[ 17  26   8 100  29  16   4  88  64  23  18],616
4,g004,100,[  7   4   2  24  19   8   6   5 100  45  18  15  13   3  82  62  21  17],691
5,g005,100,"[ 13   3  24  19   8   6   5 100  46   7  15  11   4   2  82  61  27  20  14]",691
6,g006,100,[ 29  24  18   7   6   5  87  15  11   3   2  82  57  22  21  14 100],509
7,g007,100,[ 30  20  12   5   4   3 100   1  15   6  82  65  25  21  19],626
8,g008,100,[ 15   4   2  20  12   5   3 100  40  14  45],527
9,g009,100,[  6  20  16   8   5   3 100  40  11  15  28  36],421
10,g010,100,[ 19  13  26  15   8   4   3 100  35  16  14   6   5  45  28],556
11,g011,100,[  8  26  25  18   6   1  83  19  16  14   9   4  82  43 100  22],569
12,g012,100,[ 14   3  12  10   5   2 100  33   7  82  48  34   8   6  38  13],635
13,g013,100,[  7  15  12   2   1 100   5  10   4   3  82  61  21  19  33],528
14,g014,100,[  6  22  17   7   4 100  35  12  20  15  10   3  33   5],465
15,g015,33,[10  3  1 22 16  8  5 33  2 20 12  4 29 25],300
16,g016,100,[ 48  29  27   5  22  18   7   4 100   1  20  13   2  10],631
17,g017,100,[100   8  22   6  48  28  15  20   5],658
18,g018,100,[100  20  15   5  35  18  13   3   2   1  45],481
19,g019,100,[  7  20  17   9   6   2 100  73  27  19  18  13   5   3  34  48  25],458
20,g020,100,[  5   2   1  20  16   6   4 100  74  34  18  14  46  19  51],522
21,g021,100,"[ 12   7   4   2  22  18  11   6   1 100  78  32  24  20  17   8   3  82  16  55]",570
22,g022,100,"[ 24   3  22  21  16   4   1 100  76  32  23  20  10   2  82  42  30   7   5]",681
23,g023,100,[ 17   6   9   2   1 100  72  27  24  21   4   3  52  18   7],481
24,g024,100,"[ 17  11  21  16   6   4 100  76  29  25  22  15   8   5   2  91  67  26  20  71]",691
25,g025,100,[ 15  21  17   8   5   4 100  73  28  24  91  69  26  19  56   6],683
26,g026,100,[ 15  21  18   7   6   5 100  74  27  25  22  14   2  88  65  48],635
27,g027,100,[ 12   6  21   3 100  73  27  26  20  88  68  24  23  53  18  11],621
28,g028,100,"[  8   6   5   1  24  17   7   4 100  74  34  31   9  18  15  88  69  25  20  81]",699
29,g029,100,[ 13  24  19  11   5   3 100  71  23  18  15   6   4  88  63  21  56],650
30,g030,100,"[ 13  24  15   6   5   4 100  80  32  25  23  18  14  88  66  19  47  30  17]",887
31,g031,100,"[ 39  14   9   4   2  21  12   6 100  78  33  23  22  16  10  82  60  20  18  58]",713
32,g032,100,[ 18   8  21  20  12   5   3 100  78  32  26  17  10   4   1  61  27],505
33,g033,100,[ 18  10   8   9   7   1 100  76  27  25  24  12   5   2   6  57],440
34,g034,100,[ 18  25   9   6   3 100  82  31  27  24  17  15   7   2  77  11],514
35,g035,100,[ 29   3  25  19   8   6   5 100  76  28  27  21  17  14   4   2  23  10],659
36,g036,100,"[ 13   5  25  18   8   7   3 100  72  28  24  20  17  12   4   1  22  61  27  10]",545
37,g037,62,[13  8  5 25 31 17  4  1 62 24 12],285
38,g038,59,[13 25 20  8  7  5 17  6  2 10  1 59 27],305
39,g039,71,[29  2 25 22 12 10 30  7 17  6  4 71],383
40,g040,100,[ 15  17  11   4   3   7   9   5   1 100  41  30  20],391
41,g041,82,[17 23  7  3 34 24  1 15  2 82 64 27 20 62 26 14],475
42,g042,97,[25  3 10  9  6  2  1 47 14  7 95 97],349
43,g043,82,[20 24  7  3 14  2 82 28 54],365
44,g044,94,[15  9  5  4  3 18  7 82 51 22 16 13 94 29],409
45,g045,95,[27  6  5 23  7  4  3 70 10  2 16  1 91 67 25 19 95 13],585
46,g046,91,[15 12  7  4  2  1  3  9  5 91 69 29 22 18 76 19],428
47,g047,100,[ 16  24   7   1  15  11   2  91  65  25  22  18 100],555
48,g048,91,[11  4 25  2  1 18 91 70 26 23 21 43],398
49,g049,91,[11  4 20 16  6  5 80 63 18  1 17  3 91 73 26 21 68 27 15],683
50,g050,76,[30  7  3 20 13  5  1  2 17 15  4  8 76],251
51,g051,77,[18 20 15  6  3 68 33 16  7 17 11  5  4  2  9 77 12],364
52,g052,100,[ 19  20   6  81  17   7   9   4 100  23],367
53,g053,100,[ 15   5  22  14   4  35   1   8   2   7 100],245
54,g054,66,[15  5 22 16  8  3 41 12  6  7  4  2 66 35 21],315
55,g055,65,[28  8  4 22 16  7  5 27 21 11  9  1 15 13  2  6 65],313
56,g056,83,[44 15  9  6 21 14  7  4  3 16 11 12  1 82 62 23 18 83 19],528
57,g057,100,[100  64  53  24  21  18   8   6   4   3  16  12   2  82  26  17   9],775
58,g058,100,"[100  21  15   8   4   3  28   9  16  12   6   5   1  82  64  26  25  13  66  31  17]",552
59,g059,82,[ 6  4  1 20 16  8  5  3 17  9 82 61 24 21 63 22],403
60,g060,82,[ 4 20 18 11  6  1 17 14  7  5  2 82 62 25 77],457
61,g061,100,[  4  10   7   3   2  24   5   1 100  67  54   9],309
62,g062,24,[ 8 21 15  6  5  4 16 12  2  1 24],160
63,g063,100,[ 42  11   6   1  21  15   5   4  35  16   8   3 100  27   7],333
64,g064,82,[11 21 16  6  4 34  7  3  9  5  1 82 61 24 19 18 12  2],364
65,g065,100,[ 11   7  21   4  41   2  16   8   5   3   1 100  64  15],337
66,g066,68,[21  8 20 15  7  5  3 68 27  1 14 12  4  6 64 18  9],338
67,g067,100,[  8  20  15   7   4 100  48   2  14  11   5   1  10   3  50  25],344
68,g068,72,[ 8  5  4  1 20 16  6 21 14 10  3  2 72  9],248
69,g069,100,[ 11  19  16   7   5   4  32  15  12   1   8   3 100  28  21],294
70,g070,100,[ 15   5  19   6   4  62  16  12  11   3   2  52 100],348
71,g071,100,[ 55   9   7   4   3  19  15   8   5   2  64  14  12  13 100],373
72,g072,42,[ 7  6  4  2 21 13  5 42 40 25 15 16  9  1 30],270
73,g073,79,[15 21 20  9  8  3 31 16 14  7  6  1  4 79 22],270
74,g074,100,[ 17   1  16  10   4   2  57  18   8   6   3 100  44  12   9],430
75,g075,100,[  8   5   3   2   4  82  63  26  19  18 100],339
76,g076,82,[18 22 16  9  4  3 40  1 23 14  5 82 64 27 19 65 26 15],480
77,g077,82,[17  6 22 16  5  8  4  1 23 18  9 82 60 19 57 24],444
78,g078,82,[52 12  6  1 22 16  5 21 23 20 10  4 82 64 25 19 78 15 11],543
79,g079,100,[  5   4   3   1  22  41  14  23  82  66  21 100  15],576
80,g080,100,[ 12  22  13   7   4   2  23  14   3  82  46 100],353
81,g081,82,[12  3  2 22 20 14  4 36  1 23 21  5 82 44 33  6 71 27 11],460
82,g082,60,[ 7  5  3  2 16 14  6  1 12 19  9 60 25],231
83,g083,73,[16 21 11  6  3  2 30 20 22  8  7  9  5  1 73 13],314
84,g084,100,[ 17   6   5  21  15   3  20  22   7  26   8 100  27  19],435
85,g085,100,[ 49  12   4   1  21  18  10   6   2  19   8  22  78  37 100],441
86,g086,100,[  6   4   2  21   5  33  20   9  22 100  65],300
87,g087,66,[11 21 14  7  4  3  9 22 15  6  2 48 18 66 28 16],304
88,g088,63,[17  7  1 21 11  6 56 22 20  3 63 25 58 24  9],405
89,g089,80,[ 8  6 16  7  3  1 44  5 13 12 69 48 25 80 18],473
