,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
7,g2053,400,[400 365 179 145  41],1130,730,0,1
9,g1625,400,[400 361 179 146  36],1122,722,0,1
10,g1887,400,[400 361 159 145  57],1122,722,0,1
13,g0335,400,[400 358 158 135  65],1116,716,0,1
23,g1768,400,[400 354 157 153  44],1108,708,0,1
25,g1118,400,[400 353 157 141  55],1106,706,0,1
32,g2100,400,[400 352 178 120  54],1104,704,0,1
34,g0668,400,[400 351 155 149  47],1102,702,0,1
35,g0955,400,[400 351 154 137  60],1102,702,0,1
42,g0805,400,[400 348 155 143  50],1096,696,0,1
45,g2126,400,[400 347 262  58  27],1094,694,0,1
46,g0178,400,[400 346 164 132  50],1092,692,0,1
48,g1289,400,[400 346 152 130  64],1092,692,0,1
53,g0073,400,[400 344 144  56],1088,688,0,1
54,g1982,400,[400 344 166 138  40],1088,688,0,1
56,g0433,400,[400 343 158 133  52],1086,686,0,1
59,g0009,400,[400 341 185 119  37],1082,682,0,1
60,g0250,400,[400 341 153 142  46],1082,682,0,1
62,g0119,400,[400 340 145 143  52],1080,680,0,1
70,g0020,400,[400 335 168 126  41],1070,670,0,1
71,g0544,400,[400 335 145 144  46],1070,670,0,1
79,g0040,400,[400 327 158 125  44],1054,654,0,1
84,g2114,400,[400 322 223  65  34],1044,644,0,1
112,g2079,400,[400 286 198  52  36],972,572,0,1
175,g1937,400,[400 263 161  58  44],926,526,0,1
303,g1830,400,[400 253 155  58  40],906,506,0,1
305,g0000,400,[400 105],905,505,0,1
601,g2020,400,[400 232 138  52  42],864,464,0,1
608,g1459,400,[400 227 173  28  26],854,454,0,1
613,g1699,400,[400 225 150  41  34],850,450,0,1
685,g2125,400,[400 284  12],696,296,0,1
919,g0003,400,[400  25],425,25,0,1
52,g0001,400,[400 190  71  28],1089,689,-1,3
593,g1286,400,[400 233 149  45  39],866,466,-1,3
804,g1288,400,[400 125  40],565,165,-1,3
0,g0007,400,[400 388 232 143  13],1176,776,-1,2
2,g0018,400,[400 374 207 144  23],1148,748,-1,2
3,g0037,400,[400 370 168 165  37],1140,740,-1,2
4,g0070,400,[400 366 166 160  40],1132,732,-1,2
8,g1615,400,[400 361 168 146  47],1122,722,-1,2
14,g0116,400,[400 357 162 148  47],1114,714,-1,2
18,g0175,400,[400 355 164 141  50],1110,710,-1,2
20,g1883,400,[400 355 168 139  48],1110,710,-1,2
21,g2096,400,[400 355 181 134  40],1110,710,-1,2
26,g2049,400,[400 353 167 144  42],1106,706,-1,2
31,g0332,400,[400 352 173 129  50],1104,704,-1,2
38,g0952,400,[400 350 160 136  54],1100,700,-1,2
41,g0247,400,[400 348 160 145  43],1096,696,-1,2
47,g0802,400,[400 346 153 141  52],1092,692,-1,2
49,g1764,400,[400 346 151 149  46],1092,692,-1,2
50,g1978,400,[400 346 144 140  62],1092,692,-1,2
58,g0541,400,[400 342 152 135  55],1084,684,-1,2
61,g0665,400,[400 341 157 139  45],1082,682,-1,2
65,g0430,400,[400 339 158 129  52],1078,678,-1,2
67,g1115,400,[400 337 165 125  47],1074,674,-1,2
69,g2121,400,[400 336 284  31  21],1072,672,-1,2
