,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g380,100,[100  67   2],169,69,0,1
1,g073,100,[100  28  14   9],151,51,0,1
2,g243,100,[100  30  13   1],144,44,0,1
3,g189,100,[100  15  14  13],142,42,0,1
4,g239,100,[100  28  13   1],142,42,0,1
5,g134,100,[100  16  14  10],140,40,0,1
6,g327,100,[100  12   9],133,33,0,1
7,g234,100,[100  18   6],124,24,0,1
8,g284,100,[100  13   6],119,19,0,1
9,g384,100,[100  14   1],115,15,0,1
10,g361,100,[100   8   3],111,11,0,1
46,g004,20,[20],20,0,-1,31
19,g074,50,[50],50,0,-1,17
20,g235,50,[50],50,0,-1,3
23,g240,46,[46 25 14  5],90,44,-1,3
11,g360,89,[89 24 10  7],219,130,-1,1
12,g283,89,[89 15  2],106,17,-1,1
13,g379,82,[82 37  5  4  2],130,48,-1,1
14,g182,53,[53 11  8  4],76,23,-1,1
15,g126,51,[51 10  8  2],71,20,-1,1
17,g359,50,[50  8  7  6],71,21,-1,1
18,g324,50,[50 10  2],62,12,-1,1
21,g064,48,[48 14  6  1],69,21,-1,1
22,g282,47,[47 13  5  3],68,21,-1,1
24,g233,45,[45 12  2],59,14,-1,1
25,g208,43,[43  2],45,2,-1,1
32,g072,29,[29  4],33,4,-1,1
51,g133,17,[17  9  8  2],53,36,-1,1
52,g383,17,[17  5  1],40,23,-1,1
56,g367,15,[15  4  3  1],23,8,-1,1
60,g382,14,[14  8  3],25,11,-1,1
62,g188,14,[14  3],17,3,-1,1
78,g326,10,[10  5  2],19,9,-1,1
110,g325,7,[7 2],9,2,-1,1
135,g238,5,[5 2],12,7,-1,1
138,g070,5,[5 3 1],9,4,-1,1
156,g242,4,[4 3 2],13,9,-1,1
163,g236,4,[4],8,4,-1,1
223,g132,3,[3],3,0,-1,1
275,g186,2,[2],2,0,-1,1
37,g002,24,[24],24,0,-2,39
30,g018,31,[31],31,0,-2,27
41,g000,22,[22],22,0,-2,27
42,g003,21,[21],21,0,-2,25
26,g001,42,[42],42,0,-2,9
129,g012,6,[6],6,0,-2,6
86,g119,9,[9 2],20,11,-2,4
112,g187,7,[7],7,0,-2,4
50,g071,18,[18  5  1],24,6,-2,3
66,g007,13,[13  4],17,4,-2,3
16,g193,50,[50 15],115,65,-2,2
74,g241,11,[11  4],15,4,-2,2
95,g029,9,[9],9,0,-2,2
114,g365,6,[6 3],15,9,-2,2
193,g016,3,[3],6,3,-2,2
194,g030,3,[3],6,3,-2,2
195,g128,3,[3],6,3,-2,2
27,g323,40,[40  6  1],47,7,-2,1
28,g378,39,[39 17  3  2],61,22,-2,1
31,g155,29,[29 13 10  5],57,28,-2,1
33,g207,26,[26  3],32,6,-2,1
34,g032,25,[25 10  9],44,19,-2,1
35,g098,25,[25  5  1],32,7,-2,1
36,g197,24,[24  2],26,2,-2,1
38,g320,22,[22  6  4  3],35,13,-2,1
39,g260,22,[22  5  3  1],31,9,-2,1
40,g351,22,[22  3  2],27,5,-2,1
45,g063,20,[20  8  3  2  1],34,14,-2,1
47,g181,19,[19  1],22,3,-2,1
48,g125,18,[18 13  8  5],67,49,-2,1
49,g281,18,[18  5  4  3],33,15,-2,1
53,g232,16,[16  3  2],23,7,-2,1
69,g220,12,[12  2],16,4,-2,1
84,g364,9,[9 7 4 3 2],34,25,-2,1
85,g358,9,[9 3],24,15,-2,1
97,g373,8,[8 2 1],13,5,-2,1
155,g374,5,[5 1],6,1,-2,1
