,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g63,100,[100  56  35  32  21  12],356,256,0,1
1,g35,100,[100  51  46  42   7   5],351,251,0,1
2,g38,100,[100  51  42  38  11   9],351,251,0,1
3,g06,100,[100  42  38  33  20   9],342,242,0,1
4,g26,100,[100  41  38  26  21  12],338,238,0,1
5,g45,100,[100  37  35  28  19  16],335,235,0,1
6,g69,100,[100  50  27  12],289,189,0,1
7,g68,100,[100  49  19   9],277,177,0,1
9,g86,100,[100  12   5],217,117,0,1
10,g70,100,[100  50  27  12],189,89,0,1
11,g66,100,[100  53  23  10],186,86,0,1
12,g20,100,[100  51  17   9],177,77,0,1
13,g60,100,[100  43  16   7],166,66,0,1
14,g80,100,[100  44  20   2],166,66,0,1
15,g85,100,[100  52   6   5],163,63,0,1
16,g14,100,[100  49   4],153,53,0,1
17,g55,100,[100  49   4],153,53,0,1
18,g82,100,[100  41  12],153,53,0,1
20,g59,100,[100  41],141,41,0,1
21,g77,100,[100  41],141,41,0,1
23,g64,100,[100  19   8],127,27,0,1
24,g65,100,[100  18   7],125,25,0,1
25,g49,100,[100   8   3],111,11,0,1
26,g71,100,[100  11],111,11,0,1
27,g53,100,[100   3],103,3,0,1
30,g01,96,[96],96,0,-1,19
28,g07,100,[100],100,0,-1,16
8,g04,100,[100  19],219,119,-1,9
37,g00,74,[74],74,0,-1,9
64,g67,37,[37 10],47,10,-1,4
19,g34,100,[100  37   9],146,46,-1,3
52,g50,47,[47 23 11],81,34,-1,3
63,g18,39,[39  9],48,9,-1,3
36,g10,80,[80 25],105,25,-1,2
38,g13,64,[64 23 11],98,34,-1,2
41,g76,59,[59  6],65,6,-1,2
47,g39,53,[53],53,0,-1,2
29,g52,97,[97 41 18],253,156,-1,1
31,g46,89,[89 44 17  8],247,158,-1,1
32,g51,87,[87  6  1],181,94,-1,1
33,g56,83,[83 18 16],117,34,-1,1
39,g74,59,[59 24 12  8],103,44,-1,1
40,g58,59,[59 16 10  7  6],98,39,-1,1
42,g48,53,[53 22  9  8],92,39,-1,1
44,g62,53,[53 17 11],81,28,-1,1
45,g05,53,[53 16 11],80,27,-1,1
46,g37,53,[53 17  1],71,18,-1,1
50,g61,47,[47 31 23 12  8  4],172,125,-1,1
51,g54,47,[47 24 20 17  3],161,114,-1,1
53,g36,47,[47 22  7  3],79,32,-1,1
54,g03,47,[47 27],74,27,-1,1
56,g11,47,[47 17  3],67,20,-1,1
57,g25,47,[47 19],66,19,-1,1
58,g44,47,[47 10],57,10,-1,1
59,g81,47,[47  5  3],55,8,-1,1
60,g33,47,[47  1],48,1,-1,1
69,g15,29,[29],29,0,-1,1
70,g84,28,[28  1],29,1,-1,1
71,g19,27,[27 12 10  8  5  4],93,66,-1,1
72,g79,27,[27 14  6  4],78,51,-1,1
76,g78,22,[22 11  2],35,13,-1,1
34,g21,83,[83],83,0,-2,9
22,g02,100,[100  27],127,27,-2,8
35,g09,82,[82],82,0,-2,6
48,g16,52,[52 38 20 10  8],128,76,-2,3
85,g29,4,[4],4,0,-2,3
49,g24,50,[50  8  6],64,14,-2,2
55,g57,47,[47 17  4],68,21,-2,2
65,g47,36,[36 15],51,15,-2,2
66,g08,34,[34 14],48,14,-2,2
77,g40,21,[21  7  3],31,10,-2,2
79,g28,13,[13  8  1],22,9,-2,2
81,g73,12,[12  3],27,15,-2,2
82,g31,11,[11  6],17,6,-2,2
84,g30,10,[10],10,0,-2,2
43,g75,53,[53 26  5],84,31,-2,1
62,g22,40,[40  9  6],55,15,-2,1
67,g12,30,[30  6],36,6,-2,1
68,g41,29,[29  7],36,7,-2,1
73,g43,27,[27 13  3  1],44,17,-2,1
74,g32,26,[26  3  2],31,5,-2,1
75,g27,23,[23 16  8  4],51,28,-2,1
78,g72,14,[14  4  2],20,6,-2,1
80,g17,13,[13],13,0,-2,1
61,g23,41,[41  9],91,50,-3,1
83,g42,10,[10  3],13,3,-3,1
