,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
32,g212,100,[100  11],111,11,0,1
33,g213,100,[100  11],111,11,0,1
34,g215,100,[100  11],111,11,0,1
35,g217,100,[100  11],111,11,0,1
36,g220,100,[100  11],111,11,0,1
37,g221,100,[100  11],111,11,0,1
38,g224,100,[100  11],111,11,0,1
39,g225,100,[100  11],111,11,0,1
40,g227,100,[100  11],111,11,0,1
41,g017,100,[100  10],110,10,0,1
42,g178,100,[100  10],110,10,0,1
43,g179,100,[100  10],110,10,0,1
44,g181,100,[100  10],110,10,0,1
45,g183,100,[100  10],110,10,0,1
46,g185,100,[100  10],110,10,0,1
47,g187,100,[100  10],110,10,0,1
48,g188,100,[100  10],110,10,0,1
49,g189,100,[100  10],110,10,0,1
50,g190,100,[100  10],110,10,0,1
51,g218,100,[100  10],110,10,0,1
52,g219,100,[100  10],110,10,0,1
53,g223,100,[100  10],110,10,0,1
54,g226,100,[100  10],110,10,0,1
55,g023,100,[100   9],109,9,0,1
56,g025,100,[100   9],109,9,0,1
57,g096,100,[100   9],109,9,0,1
58,g098,100,[100   9],109,9,0,1
59,g099,100,[100   9],109,9,0,1
60,g100,100,[100   9],109,9,0,1
61,g102,100,[100   9],109,9,0,1
62,g103,100,[100   9],109,9,0,1
63,g104,100,[100   9],109,9,0,1
64,g105,100,[100   9],109,9,0,1
65,g106,100,[100   9],109,9,0,1
66,g107,100,[100   9],109,9,0,1
67,g143,100,[100   9],109,9,0,1
68,g145,100,[100   9],109,9,0,1
69,g147,100,[100   9],109,9,0,1
70,g148,100,[100   9],109,9,0,1
71,g153,100,[100   9],109,9,0,1
72,g156,100,[100   9],109,9,0,1
73,g158,100,[100   9],109,9,0,1
74,g180,100,[100   9],109,9,0,1
75,g184,100,[100   9],109,9,0,1
76,g186,100,[100   9],109,9,0,1
77,g191,100,[100   9],109,9,0,1
78,g193,100,[100   9],109,9,0,1
79,g214,100,[100   9],109,9,0,1
80,g222,100,[100   9],109,9,0,1
81,g280,100,[100   9],109,9,0,1
82,g281,100,[100   9],109,9,0,1
83,g283,100,[100   9],109,9,0,1
84,g284,100,[100   9],109,9,0,1
85,g289,100,[100   9],109,9,0,1
86,g293,100,[100   9],109,9,0,1
87,g294,100,[100   9],109,9,0,1
88,g295,100,[100   9],109,9,0,1
89,g010,100,[100   8],108,8,0,1
90,g021,100,[100   8],108,8,0,1
91,g029,100,[100   8],108,8,0,1
92,g031,100,[100   8],108,8,0,1
93,g094,100,[100   8],108,8,0,1
94,g095,100,[100   8],108,8,0,1
95,g097,100,[100   8],108,8,0,1
96,g101,100,[100   8],108,8,0,1
97,g144,100,[100   8],108,8,0,1
98,g146,100,[100   8],108,8,0,1
99,g149,100,[100   8],108,8,0,1
100,g150,100,[100   8],108,8,0,1
101,g151,100,[100   8],108,8,0,1
102,g152,100,[100   8],108,8,0,1
103,g154,100,[100   8],108,8,0,1
104,g155,100,[100   8],108,8,0,1
105,g157,100,[100   8],108,8,0,1
106,g182,100,[100   8],108,8,0,1
107,g216,100,[100   8],108,8,0,1
108,g285,100,[100   8],108,8,0,1
109,g286,100,[100   8],108,8,0,1
110,g287,100,[100   8],108,8,0,1
111,g288,100,[100   8],108,8,0,1
112,g290,100,[100   8],108,8,0,1
113,g291,100,[100   8],108,8,0,1
114,g292,100,[100   8],108,8,0,1
115,g013,100,[100   7],107,7,0,1
116,g037,100,[100   7],107,7,0,1
117,g092,100,[100   7],107,7,0,1
118,g192,100,[100   7],107,7,0,1
119,g196,100,[100   7],107,7,0,1
120,g197,100,[100   7],107,7,0,1
121,g198,100,[100   7],107,7,0,1
122,g199,100,[100   7],107,7,0,1
123,g200,100,[100   7],107,7,0,1
124,g201,100,[100   7],107,7,0,1
125,g204,100,[100   7],107,7,0,1
126,g207,100,[100   7],107,7,0,1
127,g208,100,[100   7],107,7,0,1
128,g210,100,[100   7],107,7,0,1
129,g282,100,[100   7],107,7,0,1
130,g041,100,[100   6],106,6,0,1
131,g042,100,[100   6],106,6,0,1
132,g043,100,[100   6],106,6,0,1
133,g044,100,[100   6],106,6,0,1
134,g045,100,[100   6],106,6,0,1
135,g046,100,[100   6],106,6,0,1
