,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
25,g514,100,[100  21],221,121,0,2
0,g723,100,[100  65  36  29  22  13],365,265,0,1
1,g638,100,[100  60  32  28  23  17],360,260,0,1
2,g689,100,[100  60  31  29  20],360,260,0,1
3,g732,100,[100  58  32  26  25  17],358,258,0,1
4,g714,100,[100  52  29  28  23  20],352,252,0,1
5,g557,100,[100  50  36  14],350,250,0,1
6,g696,100,[100  39  36  25  14],339,239,0,1
7,g702,100,[100  39  34  27  23  11],334,234,0,1
8,g707,100,[100  36  33  31  19  14],333,233,0,1
9,g386,100,[100  39],239,139,0,1
10,g559,100,[100  26   8],234,134,0,1
11,g354,100,[100  31],231,131,0,1
12,g351,100,[100  29],229,129,0,1
13,g360,100,[100  29],229,129,0,1
14,g363,100,[100  28],228,128,0,1
15,g357,100,[100  27],227,127,0,1
16,g619,100,[100  26],226,126,0,1
17,g677,100,[100  26],226,126,0,1
18,g765,100,[100  26],226,126,0,1
19,g348,100,[100  25],225,125,0,1
20,g661,100,[100  25],225,125,0,1
21,g663,100,[100  25],225,125,0,1
22,g342,100,[100  23],223,123,0,1
23,g621,100,[100  23],223,123,0,1
24,g653,100,[100  23],223,123,0,1
26,g640,100,[100  20],220,120,0,1
27,g764,100,[100  20],220,120,0,1
28,g345,100,[100  19],219,119,0,1
29,g651,100,[100  19],219,119,0,1
30,g288,100,[100   4   1],205,105,0,1
31,g771,100,[100],200,100,0,1
32,g772,100,[100],200,100,0,1
33,g773,100,[100],200,100,0,1
34,g774,100,[100],200,100,0,1
35,g775,100,[100],200,100,0,1
36,g776,100,[100],200,100,0,1
37,g777,100,[100],200,100,0,1
38,g778,100,[100],200,100,0,1
39,g779,100,[100],200,100,0,1
40,g780,100,[100],200,100,0,1
41,g781,100,[100],200,100,0,1
42,g782,100,[100],200,100,0,1
43,g783,100,[100],200,100,0,1
44,g784,100,[100],200,100,0,1
45,g762,100,[100  61  26  11],198,98,0,1
46,g240,100,[100  59  22   6],187,87,0,1
47,g432,100,[100  52  15  11   5],183,83,0,1
48,g255,100,[100  47  13  12],172,72,0,1
49,g455,100,[100  49  12  10],171,71,0,1
50,g428,100,[100  44  15  11],170,70,0,1
51,g476,100,[100  50  14   6],170,70,0,1
52,g418,100,[100  51  10   8],169,69,0,1
53,g498,100,[100  48  16],164,64,0,1
54,g753,100,[100  57   7],164,64,0,1
55,g380,100,[100  45   9],163,63,0,1
56,g396,100,[100  54   8],162,62,0,1
57,g445,100,[100  45   7   5   4],161,61,0,1
58,g464,100,[100  39  14   7],160,60,0,1
59,g763,100,[100  43  14],157,57,0,1
60,g746,100,[100  53   2],155,55,0,1
61,g755,100,[100  37  13   1],151,51,0,1
62,g742,100,[100  43   5],148,48,0,1
63,g749,100,[100  44   4],148,48,0,1
64,g297,100,[100  32  10   5],147,47,0,1
65,g736,100,[100  39   6],145,45,0,1
66,g502,100,[100  37   4],141,41,0,1
67,g760,100,[100  41],141,41,0,1
68,g036,100,[100  22  11   5],138,38,0,1
69,g086,100,[100  29   8],137,37,0,1
70,g058,100,[100  25  10],135,35,0,1
71,g227,100,[100  23  12],135,35,0,1
72,g487,100,[100  24  10],134,34,0,1
73,g504,100,[100  34],134,34,0,1
74,g190,100,[100  22  11],133,33,0,1
75,g512,100,[100  28   5],133,33,0,1
76,g716,100,[100  23  10],133,33,0,1
77,g515,100,[100  24   8],132,32,0,1
78,g738,100,[100  27   5],132,32,0,1
79,g136,100,[100  26   5],131,31,0,1
80,g646,100,[100  31],131,31,0,1
81,g627,100,[100  30],130,30,0,1
82,g129,100,[100  24   5],129,29,0,1
83,g203,100,[100  20   9],129,29,0,1
84,g599,100,[100  29],129,29,0,1
85,g612,100,[100  29],129,29,0,1
86,g616,100,[100  29],129,29,0,1
87,g568,100,[100  28],128,28,0,1
88,g608,100,[100  28],128,28,0,1
89,g161,100,[100  22   5],127,27,0,1
90,g604,100,[100  27],127,27,0,1
91,g606,100,[100  27],127,27,0,1
92,g756,100,[100  27],127,27,0,1
93,g766,100,[100  27],127,27,0,1
94,g095,100,[100  18   8],126,26,0,1
95,g168,100,[100  22   4],126,26,0,1
96,g210,100,[100  22   4],126,26,0,1
97,g768,100,[100  26],126,26,0,1
98,g659,100,[100  25],125,25,0,1
99,g680,100,[100  25],125,25,0,1
100,g408,100,[100  24],124,24,0,1
101,g572,100,[100  24],124,24,0,1
102,g576,100,[100  24],124,24,0,1
103,g584,100,[100  24],124,24,0,1
104,g614,100,[100  24],124,24,0,1
105,g629,100,[100  24],124,24,0,1
106,g648,100,[100  24],124,24,0,1
107,g112,100,[100  15   8],123,23,0,1
108,g143,100,[100  13  10],123,23,0,1
109,g172,100,[100  16   7],123,23,0,1
110,g237,100,[100  15   8],123,23,0,1
111,g510,100,[100  20   3],123,23,0,1
112,g594,100,[100  23],123,23,0,1
113,g610,100,[100  23],123,23,0,1
114,g667,100,[100  23],123,23,0,1
115,g119,100,[100  16   6],122,22,0,1
116,g149,100,[100  15   7],122,22,0,1
117,g206,100,[100  22],122,22,0,1
118,g232,100,[100  22],122,22,0,1
119,g303,100,[100  17   3   2],122,22,0,1
120,g586,100,[100  22],122,22,0,1
121,g656,100,[100  22],122,22,0,1
122,g580,100,[100  21],121,21,0,1
123,g590,100,[100  21],121,21,0,1
124,g624,100,[100  21],121,21,0,1
125,g154,100,[100  16   4],120,20,0,1
126,g643,100,[100  13   4   3],120,20,0,1
127,g102,100,[100  19],119,19,0,1
128,g194,100,[100  15],115,15,0,1
129,g759,100,[100  15],115,15,0,1
130,g770,100,[100  15],115,15,0,1
131,g673,100,[100  13],113,13,0,1
132,g671,100,[100  12],112,12,0,1
133,g682,100,[100  12],112,12,0,1
134,g675,100,[100   9],109,9,0,1
135,g544,100,[100   7],107,7,0,1
136,g540,100,[100   4   2],106,6,0,1
137,g338,100,[100   4],104,4,0,1
138,g320,100,[100   3],103,3,0,1
139,g529,100,[100   3],103,3,0,1
140,g555,100,[100   3],103,3,0,1
141,g002,100,[100],100,0,-1,50
259,g011,43,[43],43,0,-1,31
142,g096,91,[91 23],205,114,-1,26
358,g069,25,[25  6],56,31,-1,21
143,g635,90,[90],90,0,-1,10
220,g561,51,[51 22 10],83,32,-1,10
295,g075,31,[31],31,0,-1,8
263,g001,41,[41],41,0,-1,4
297,g241,31,[31],31,0,-1,4
310,g375,28,[28],28,0,-1,4
373,g376,24,[24],24,0,-1,4
471,g296,12,[12],12,0,-1,4
165,g625,55,[55],55,0,-1,3
228,g322,51,[51 11],62,11,-1,3
293,g072,31,[31],31,0,-1,3
294,g074,31,[31],31,0,-1,3
298,g420,31,[31],31,0,-1,3
353,g289,26,[26],26,0,-1,3
521,g285,4,[4 1],9,5,-1,3
147,g735,66,[66 21  6],93,27,-1,2
230,g530,51,[51],51,0,-1,2
249,g668,48,[48 13],61,13,-1,2
318,g364,27,[27],27,0,-1,2
385,g761,23,[23],23,0,-1,2
414,g500,20,[20],20,0,-1,2
443,g329,15,[15  4],19,4,-1,2
487,g509,8,[8 5 2],23,15,-1,2
145,g497,75,[75 27  5  2],109,34,-1,1
146,g395,74,[74 29  4  2],109,35,-1,1
148,g417,62,[62 23],85,23,-1,1
158,g407,58,[58 18  4],80,22,-1,1
168,g444,54,[54 25],79,25,-1,1
169,g611,51,[51 31 30 20  1],184,133,-1,1
170,g626,51,[51 31 30 20  1],184,133,-1,1
171,g647,51,[51 31 19  1],184,133,-1,1
172,g350,51,[51 30 17 13 11 10],183,132,-1,1
173,g658,51,[51 29 22],182,131,-1,1
174,g344,51,[51 28 17 16 11  7],181,130,-1,1
175,g605,51,[51 28 27 23  1],181,130,-1,1
176,g618,51,[51 28 27 23  1],181,130,-1,1
177,g623,51,[51 28 22  1],181,130,-1,1
178,g650,51,[51 28 23],181,130,-1,1
179,g356,51,[51 27 16 13 11],180,129,-1,1
180,g362,51,[51 27 14 13 11],180,129,-1,1
181,g620,51,[51 27 23  1],180,129,-1,1
182,g639,51,[51 27 23  1],180,129,-1,1
183,g660,51,[51 27 24],180,129,-1,1
184,g662,51,[51 27 24],180,129,-1,1
185,g710,51,[51 27 16 12 11],180,129,-1,1
186,g341,51,[51 26 14 13 11],179,128,-1,1
187,g607,51,[51 26 24  1],179,128,-1,1
188,g645,51,[51 26 25  1],179,128,-1,1
189,g666,51,[51 26 25 24  2],179,128,-1,1
190,g347,51,[51 25 16 15 11  9],178,127,-1,1
191,g585,51,[51 25  1],178,127,-1,1
192,g628,51,[51 25  1],178,127,-1,1
193,g655,51,[51 26 25],178,127,-1,1
194,g676,51,[51 26 25],178,127,-1,1
195,g679,51,[51 26 25],178,127,-1,1
196,g359,51,[51 24 14 13 11],177,126,-1,1
197,g583,51,[51 27 24 23  1],177,126,-1,1
198,g613,51,[51 27 24 23  1],177,126,-1,1
199,g615,51,[51 26 24  1],177,126,-1,1
200,g727,51,[51 24 15 13 12 11],177,126,-1,1
201,g719,51,[51 23 17 12 11],176,125,-1,1
202,g609,51,[51 29 22 21  1],175,124,-1,1
203,g632,51,[51 22 17 12 11],175,124,-1,1
204,g685,51,[51 22 16 15 13  7],175,124,-1,1
205,g353,51,[51 21 17 13 11 10],174,123,-1,1
206,g652,51,[51 31 20],173,122,-1,1
207,g571,51,[51 29 22  2],104,53,-1,1
208,g575,51,[51 26 25  2],104,53,-1,1
209,g593,51,[51 28 23  2],104,53,-1,1
210,g598,51,[51 28 23  2],104,53,-1,1
211,g567,51,[51 28 23  1],103,52,-1,1
212,g589,51,[51 26 25  1],103,52,-1,1
213,g603,51,[51 30 21  1],103,52,-1,1
214,g579,51,[51 26 25],102,51,-1,1
219,g758,51,[51 16 14  5],86,35,-1,1
221,g672,51,[51 23  7  1],82,31,-1,1
222,g681,51,[51 21  8  1],81,30,-1,1
223,g670,51,[51 22  5  2],80,29,-1,1
224,g674,51,[51 19  9  1],80,29,-1,1
225,g767,51,[51 18 10],79,28,-1,1
226,g503,51,[51 20  4],75,24,-1,1
227,g385,51,[51 11 10],72,21,-1,1
231,g706,50,[50 25 18 13 12  7],175,125,-1,1
232,g695,50,[50 23 16 14 11  9],173,123,-1,1
233,g701,50,[50 23 17 13 10],173,123,-1,1
234,g463,50,[50 23],123,73,-1,1
235,g703,50,[50 20 10  5],85,35,-1,1
236,g698,50,[50 16  7  5],78,28,-1,1
237,g379,50,[50 24],74,24,-1,1
238,g475,50,[50 20],70,20,-1,1
239,g769,50,[50 14],64,14,-1,1
240,g692,50,[50  9  4],63,13,-1,1
242,g637,49,[49 14  3],66,17,-1,1
243,g688,49,[49 10  4],63,14,-1,1
244,g713,49,[49  9  5],63,14,-1,1
245,g731,49,[49  9  5],63,14,-1,1
246,g556,49,[49 13],62,13,-1,1
247,g722,49,[49  9  4],62,13,-1,1
248,g454,48,[48 25],73,25,-1,1
251,g427,46,[46 22  4],72,26,-1,1
253,g254,45,[45 24],69,24,-1,1
254,g471,44,[44 17 13],74,30,-1,1
255,g092,43,[43 35  7],128,85,-1,1
256,g085,43,[43 15 14],72,29,-1,1
257,g399,43,[43 19  7],69,26,-1,1
258,g511,43,[43 20],63,20,-1,1
260,g094,42,[42  9],51,9,-1,1
261,g501,41,[41 14  7],62,21,-1,1
262,g486,41,[41 13  3  2],59,18,-1,1
264,g239,41,[41],41,0,-1,1
266,g189,40,[40 10  3  2],55,15,-1,1
267,g483,39,[39 10  7],56,17,-1,1
268,g226,39,[39 10  2],51,12,-1,1
269,g223,38,[38 12  5],55,17,-1,1
274,g415,36,[36 17  4],57,21,-1,1
275,g181,36,[36 11  6],53,17,-1,1
277,g422,35,[35 11  1],47,12,-1,1
278,g458,34,[34 17 13],64,30,-1,1
279,g071,34,[34 15  8  3],60,26,-1,1
283,g245,33,[33 11  1],45,12,-1,1
284,g452,32,[32 12  1],45,13,-1,1
292,g374,31,[31 12],43,12,-1,1
299,g433,31,[31],31,0,-1,1
321,g449,26,[26 16  7],49,23,-1,1
322,g389,26,[26 14  4],44,18,-1,1
326,g042,26,[26 11],37,11,-1,1
327,g193,26,[26  6  5],37,11,-1,1
328,g205,26,[26  6  5],37,11,-1,1
329,g231,26,[26  6  5],37,11,-1,1
330,g150,26,[26  7],33,7,-1,1
331,g162,26,[26  7],33,7,-1,1
332,g207,26,[26  7],33,7,-1,1
333,g528,26,[26  5  1],33,7,-1,1
334,g120,26,[26  6],32,6,-1,1
335,g130,26,[26  6],32,6,-1,1
336,g155,26,[26  6],32,6,-1,1
337,g101,26,[26  5],31,5,-1,1
338,g113,26,[26  5],31,5,-1,1
340,g144,26,[26  4],30,4,-1,1
341,g169,26,[26  4],30,4,-1,1
342,g103,26,[26  3],29,3,-1,1
343,g233,26,[26  3],29,3,-1,1
344,g538,26,[26  2  1],29,3,-1,1
345,g195,26,[26  2],28,2,-1,1
346,g287,26,[26  2],28,2,-1,1
347,g319,26,[26  1],28,2,-1,1
348,g137,26,[26  1],27,1,-1,1
349,g337,26,[26  1],27,1,-1,1
350,g554,26,[26  1],27,1,-1,1
356,g553,26,[26],26,0,-1,1
357,g431,25,[25 13 10  3  2],88,63,-1,1
369,g369,24,[24 14  4],42,18,-1,1
370,g468,24,[24 13],37,13,-1,1
371,g460,24,[24  7  1],32,8,-1,1
372,g539,24,[24  2  1],27,3,-1,1
382,g411,23,[23 10  6],39,16,-1,1
389,g437,22,[22 13],35,13,-1,1
391,g748,22,[22  6  1],29,7,-1,1
392,g167,22,[22  5],27,5,-1,1
393,g153,22,[22  3  1],26,4,-1,1
395,g209,22,[22],22,0,-1,1
396,g160,21,[21  1],43,22,-1,1
398,g010,21,[21  7  4],32,11,-1,1
399,g558,21,[21  8],29,8,-1,1
400,g250,21,[21  3  2],26,5,-1,1
401,g128,21,[21  4],25,4,-1,1
402,g135,21,[21],21,0,-1,1
409,g100,20,[20  2],22,2,-1,1
410,g057,20,[20],20,0,-1,1
411,g118,20,[20],20,0,-1,1
419,g441,19,[19  4  3],26,7,-1,1
420,g035,19,[19  2],21,2,-1,1
422,g148,19,[19],19,0,-1,1
423,g171,19,[19],19,0,-1,1
424,g747,18,[18  5],41,23,-1,1
425,g425,18,[18  3  2],23,5,-1,1
426,g236,18,[18  2],20,2,-1,1
427,g111,18,[18],18,0,-1,1
429,g430,17,[17 12],29,12,-1,1
430,g202,17,[17],17,0,-1,1
435,g715,16,[16  2  1],19,3,-1,1
437,g142,16,[16],16,0,-1,1
441,g754,15,[15  7  1],23,8,-1,1
444,g491,15,[15  2],19,4,-1,1
450,g513,14,[14],14,0,-1,1
456,g466,13,[13  7],20,7,-1,1
464,g435,12,[12  7],19,7,-1,1
465,g733,12,[12  4],16,4,-1,1
