,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g126,100,[100  88  17],205,105,0,1
1,g036,100,[100  36  25  20  10],191,91,0,1
2,g067,100,[100  31  29  15  12],187,87,0,1
3,g124,100,[100  64   3],170,70,0,1
4,g096,100,[100  16  13  12  10],151,51,0,1
5,g113,100,[100  29],129,29,0,1
6,g101,100,[100   3],103,3,0,1
8,g001,90,[90],90,0,-1,16
43,g012,14,[14],14,0,-1,12
10,g000,83,[83],83,0,-1,11
11,g037,63,[63],63,0,-1,8
9,g029,90,[90],90,0,-1,5
72,g052,5,[5 2],7,2,-1,4
29,g022,23,[23  3],26,3,-1,3
7,g123,96,[96 21],117,21,-1,2
12,g093,58,[58 14  2  1],75,17,-1,1
13,g066,52,[52 32 15  8],159,107,-1,1
14,g035,52,[52 19  9],80,28,-1,1
16,g112,47,[47 14 12 11  3],87,40,-1,1
17,g028,47,[47 13 11  7  5],83,36,-1,1
18,g057,47,[47 24  1],72,25,-1,1
19,g034,43,[43  9  5  1],58,15,-1,1
21,g091,39,[39 10  8  2],59,20,-1,1
22,g095,36,[36 14  9],59,23,-1,1
23,g065,34,[34 10  7  4],55,21,-1,1
44,g114,14,[14],14,0,-1,1
48,g099,12,[12  5  3],32,20,-1,1
51,g120,12,[12  1],13,1,-1,1
53,g098,11,[11  1],12,1,-1,1
67,g122,6,[6 4 3 2 1],22,16,-1,1
74,g100,4,[4 3 1],8,4,-1,1
15,g008,52,[52],52,0,-2,13
32,g038,21,[21],21,0,-2,8
26,g044,26,[26  8],34,8,-2,3
58,g094,9,[9 1],10,1,-2,3
78,g006,4,[4 1],5,1,-2,3
38,g033,16,[16  7],39,23,-2,2
20,g056,42,[42 10  7  4],63,21,-2,1
24,g111,29,[29 17],46,17,-2,1
25,g027,26,[26 11  3],40,14,-2,1
27,g016,25,[25 11  7  3],49,24,-2,1
30,g032,21,[21 17  2],40,19,-2,1
31,g087,21,[21  4  2],27,6,-2,1
35,g026,20,[20],20,0,-2,1
36,g090,18,[18  4],22,4,-2,1
39,g109,15,[15 11  6  2],34,19,-2,1
41,g064,14,[14  9  3  2],28,14,-2,1
45,g047,13,[13  5  2],22,9,-2,1
54,g119,10,[10  4  1],16,6,-2,1
55,g092,10,[10  1],11,1,-2,1
57,g107,9,[9 2],11,2,-2,1
61,g024,8,[8 6 1],15,7,-2,1
85,g108,3,[3],12,9,-2,1
93,g118,3,[3],3,0,-2,1
111,g121,1,[1],2,1,-2,1
65,g018,7,[7],7,0,-3,8
80,g009,4,[4],4,0,-3,8
28,g025,23,[23 12],35,12,-3,6
50,g089,12,[12  4],16,4,-3,2
63,g088,7,[7],14,7,-3,2
66,g085,7,[7],7,0,-3,2
33,g054,20,[20  5  4  3],36,16,-3,1
34,g086,20,[20 12],32,12,-3,1
37,g055,17,[17  7  5  4],33,16,-3,1
40,g015,15,[15  8  3],26,11,-3,1
42,g007,14,[14  5  3  1],23,9,-3,1
46,g063,13,[13  7],20,7,-3,1
49,g110,12,[12  5],17,5,-3,1
62,g081,8,[8 1],10,2,-3,1
64,g046,7,[7 3 1],12,5,-3,1
68,g014,6,[6 3],9,3,-3,1
70,g105,6,[6 2 1],9,3,-3,1
75,g106,4,[4 3],7,3,-3,1
82,g084,4,[4],4,0,-3,1
83,g103,4,[4],4,0,-3,1
84,g104,4,[4],4,0,-3,1
87,g116,3,[3 1],8,5,-3,1
90,g043,3,[3 1],4,1,-3,1
94,g030,2,[2],6,4,-3,1
95,g031,2,[2 1],5,3,-3,1
99,g060,2,[2 1],3,1,-3,1
108,g017,1,[1],2,1,-3,1
109,g023,1,[1],2,1,-3,1
114,g059,1,[1],1,0,-3,1
117,g117,1,[1],1,0,-3,1
101,g021,2,[2],2,0,-4,3
110,g039,1,[1],2,1,-4,3
47,g045,13,[13],13,0,-4,2
60,g079,8,[8 2],18,10,-4,2
79,g083,4,[4 1],5,1,-4,2
96,g058,2,[2],4,2,-4,2
52,g053,11,[11  7  3],21,10,-4,1
56,g051,9,[9 3 1],16,7,-4,1
59,g080,8,[8 7 1],31,23,-4,1
69,g076,6,[6 2 1],9,3,-4,1
71,g013,6,[6],6,0,-4,1
73,g082,4,[4 1],9,5,-4,1
77,g005,4,[4 1],5,1,-4,1
81,g062,4,[4],4,0,-4,1
89,g042,3,[3 1],4,1,-4,1
92,g011,3,[3],3,0,-4,1
106,g102,2,[2],2,0,-4,1
112,g040,1,[1],1,0,-4,1
91,g002,3,[3],3,0,-5,2
76,g050,4,[4 2],6,2,-5,1
86,g003,3,[3 2 1],11,8,-5,1
88,g010,3,[3 1],5,2,-5,1
97,g061,2,[2],4,2,-5,1
100,g004,2,[2],2,0,-5,1
104,g073,2,[2],2,0,-5,1
105,g075,2,[2],2,0,-5,1
107,g048,1,[1],4,3,-5,1
113,g049,1,[1],1,0,-5,1
98,g074,2,[2],4,2,-6,1
102,g070,2,[2],2,0,-6,1
103,g072,2,[2],2,0,-6,1
115,g068,1,[1],1,0,-7,1
116,g069,1,[1],1,0,-7,1
