,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
27,g397,100,[100],100,0,0,2
6,g130,100,[100  15],215,115,0,1
12,g392,100,[100],200,100,0,1
14,g396,100,[100],200,100,0,1
15,g400,100,[100],200,100,0,1
16,g366,100,[100  98],198,98,0,1
18,g330,100,[100  89],189,89,0,1
20,g260,100,[100  24  17   9],150,50,0,1
2,g385,100,[100],400,300,-1,2
13,g393,100,[100],200,100,-1,2
45,g323,95,[95 89  6  5  1],291,196,-1,2
143,g254,72,[72 46 42 14 12  4],262,190,-1,2
5,g388,100,[100],300,200,-1,1
26,g391,100,[100],100,0,-1,1
36,g362,98,[98 97],293,195,-1,1
37,g365,98,[98],98,0,-1,1
66,g326,90,[90 84],264,174,-1,1
69,g329,89,[89],89,0,-1,1
70,g127,88,[88 56 33 10  8],195,107,-1,1
80,g129,85,[85 17],102,17,-1,1
254,g256,48,[48  5],101,53,-1,1
258,g259,33,[33 24],57,24,-1,1
266,g361,2,[2],2,0,-1,1
7,g331,100,[100   4],204,104,-2,5
29,g357,99,[99 98  1],395,296,-2,3
4,g383,100,[100],300,200,-2,2
10,g372,100,[100],200,100,-2,2
31,g359,99,[99],99,0,-2,2
39,g319,97,[97 94  3  2  1],294,197,-2,2
46,g321,95,[95 91  4  3  1],289,194,-2,2
77,g250,85,[85 55 51 17 13  4],310,225,-2,2
89,g252,82,[82 57 54 13 12  3],303,221,-2,2
146,g125,72,[72 36 28 22 14  8],252,180,-2,2
268,g360,1,[1],2,1,-2,2
25,g390,100,[100],100,0,-2,1
67,g328,89,[89  5],94,5,-2,1
255,g255,39,[39 13],52,13,-2,1
256,g126,38,[38],76,38,-2,1
259,g001,33,[33],33,0,-2,1
260,g258,33,[33],33,0,-2,1
264,g128,12,[12],12,0,-2,1
270,g325,1,[1],1,0,-2,1
19,g261,100,[100  49  24   6],179,79,-3,3
269,g263,1,[1],1,0,-3,3
1,g353,100,[100],400,300,-3,2
28,g355,99,[99],396,297,-3,2
33,g317,98,[98 91  7  6  1],301,203,-3,2
53,g315,94,[94 89  5  4  1],287,193,-3,2
97,g246,81,[81 55 54 13  1],298,217,-3,2
108,g248,79,[79 56 50 13 10  6],293,214,-3,2
158,g123,70,[70 36 26 23 11 10],246,176,-3,2
250,g124,58,[58 27 24 21  7  6],201,143,-3,2
22,g368,100,[100],100,0,-3,1
23,g373,100,[100],100,0,-3,1
24,g382,100,[100],100,0,-3,1
0,g351,100,[100],400,300,-4,2
3,g349,100,[100  98   2],398,298,-4,2
34,g311,98,[98 92  6  5  1],300,202,-4,2
42,g313,96,[96 93  3  2  1],291,195,-4,2
73,g244,86,[86 57 53 15 14  4],315,229,-4,2
93,g242,82,[82 48 43 23 11  5],294,212,-4,2
195,g121,67,[67 35 28 21 11  7],236,169,-4,2
196,g122,67,[67 35 26 24  9  8],236,169,-4,2
9,g367,100,[100],200,100,-4,1
11,g381,100,[100],200,100,-4,1
32,g347,98,[98 96  2],390,292,-5,2
35,g345,98,[98 97  1],295,197,-5,2
43,g307,95,[95 88  7  6  1],292,197,-5,2
44,g309,95,[95 89  6  5  1],291,196,-5,2
86,g238,83,[83 52 49 18 13  3],301,218,-5,2
142,g240,72,[72 48 44 13 11  4],264,192,-5,2
144,g120,72,[72 40 32 20 12  8],256,184,-5,2
145,g119,72,[72 38 27 26 11  8],254,182,-5,2
21,g341,100,[100],100,0,-6,2
30,g343,99,[99],297,198,-6,2
49,g303,94,[94 86  8  7  1],290,196,-6,2
52,g305,94,[94 87  7  6  1],289,195,-6,2
78,g234,85,[85 53 51 18 14  2],308,223,-6,2
109,g236,79,[79 55 51 13 11  4],292,213,-6,2
160,g117,70,[70 34 29 26  8  7],244,174,-6,2
233,g118,63,[63 41 29 18 12  4],230,167,-6,2
40,g334,97,[97],194,97,-7,2
56,g301,93,[93 85  8  7  1],287,194,-7,2
57,g299,93,[93 86  7  6  1],286,193,-7,2
100,g230,81,[81 53 47 18 10  6],296,215,-7,2
105,g232,80,[80 51 47 15 14  4],291,211,-7,2
235,g115,63,[63 33 25 21  9  8],222,159,-7,2
239,g116,63,[63 27 17 10  9],216,153,-7,2
17,g340,100,[100  97],197,97,-7,1
41,g295,96,[96 87  8  1],375,279,-8,2
47,g297,94,[94 89  4  1],371,277,-8,2
91,g226,82,[82 54 51 14  3],300,218,-8,2
123,g228,76,[76 50 47 15 11  3],278,202,-8,2
152,g114,71,[71 37 28 24 10  9],250,179,-8,2
199,g113,67,[67 33 28 21 13  5],234,167,-8,2
8,g339,100,[100   3],203,103,-8,1
60,g293,92,[92 81 10  1],357,265,-9,2
64,g291,90,[90 84 83  6  1],354,264,-9,2
83,g224,83,[83 58 52 14 11  6],307,224,-9,2
107,g222,80,[80 48 46 20 12  2],288,208,-9,2
134,g112,74,[74 34 31 21 13  9],256,182,-9,2
251,g111,56,[56 33 23 19 10  4],201,145,-9,2
55,g289,93,[93 85  8],287,194,-10,2
61,g287,92,[92 85  7  6  1],283,191,-10,2
116,g220,78,[78 45 39 21 12  6],279,201,-10,2
137,g218,73,[73 45 42 17 11  3],264,191,-10,2
154,g110,71,[71 31 30 24 10  7],244,173,-10,2
236,g109,63,[63 31 24 19 13  7],220,157,-10,2
50,g283,94,[94 87  7  6  1],289,195,-11,2
51,g285,94,[94 87  7  6  1],289,195,-11,2
79,g214,85,[85 48 43 25 12  5],303,218,-11,2
103,g216,80,[80 54 51 14 12  3],294,214,-11,2
130,g108,74,[74 39 29 25 10],261,187,-11,2
225,g107,65,[65 31 25 23  9  8],226,161,-11,2
48,g281,94,[94 86  7  1],368,274,-12,2
54,g279,93,[93 84  8  1],363,270,-12,2
90,g210,82,[82 56 52 14 12  4],302,220,-12,2
139,g105,73,[73 36 29 24 13  7],255,182,-12,2
157,g212,70,[70 45 41 14 11  4],255,185,-12,2
194,g106,67,[67 35 28 20 12  7],236,169,-12,2
38,g275,97,[97 89  8],380,283,-13,2
59,g277,92,[92 90 89  2  1],366,274,-13,2
92,g208,82,[82 51 48 18 13  3],297,215,-13,2
112,g206,79,[79 49 42 20 10  7],286,207,-13,2
166,g104,69,[69 37 26 23 11  9],244,175,-13,2
210,g103,66,[66 33 26 24  9  7],231,165,-13,2
58,g266,93,[93 88  1],182,89,-14,2
63,g273,92,[92  1],93,1,-14,2
102,g202,80,[80 54 51 14 12  3],294,214,-14,2
131,g101,74,[74 37 30 25 12  7],259,185,-14,2
136,g204,73,[73 50 45 15  8  5],269,196,-14,2
219,g102,65,[65 37 29 18 10  8],232,167,-14,2
85,g200,83,[83 52 48 18 13  4],301,218,-15,2
113,g198,78,[78 49 47 15 14  2],283,205,-15,2
170,g099,69,[69 35 27 24 11  7],242,173,-15,2
182,g100,68,[68 35 26 22 11  9],239,171,-15,2
62,g267,92,[92 84],176,84,-15,1
68,g262,89,[89],89,0,-15,1
72,g272,88,[88],88,0,-15,1
88,g196,83,[83 46 44 21 16  2],295,212,-16,2
119,g194,77,[77 46 43 16 15  3],277,200,-16,2
226,g097,65,[65 30 25 22 10  8],225,160,-16,2
245,g098,62,[62 29 26 20  9  7],215,153,-16,2
71,g271,88,[88  7],183,95,-16,1
98,g192,81,[81 54 47 17 10  7],297,216,-17,2
124,g190,76,[76 46 43 20 10  3],274,198,-17,2
174,g095,69,[69 34 28 25 10  6],241,172,-17,2
187,g096,67,[67 39 28 20 11  8],240,173,-17,2
121,g188,77,[77 42 38 22 13  4],273,196,-18,2
127,g186,74,[74 51 46 12 11  5],273,199,-18,2
173,g094,69,[69 34 25 23 12  9],241,172,-18,2
185,g093,68,[68 32 27 23  9],236,168,-18,2
87,g184,83,[83 51 48 20 12  3],300,217,-19,2
118,g182,77,[77 49 45 15 13  4],280,203,-19,2
176,g091,69,[69 31 26 24 12  7],238,169,-19,2
230,g092,64,[64 31 23 10  8],223,159,-19,2
96,g180,81,[81 55 50 15 11  5],298,217,-20,2
101,g178,80,[80 54 51 14 12  3],294,214,-20,2
175,g089,69,[69 33 26 23 10],240,171,-20,2
203,g090,67,[67 30 24 23 13  7],231,164,-20,2
82,g176,83,[83 59 53 13 11  6],308,225,-21,2
99,g174,81,[81 53 48 19  9  5],296,215,-21,2
186,g087,67,[67 39 25 23 14  5],240,173,-21,2
231,g088,64,[64 30 25 22  9  8],222,158,-21,2
110,g170,79,[79 53 52 13  1],290,211,-22,2
122,g172,76,[76 52 46 15  9  6],280,204,-22,2
237,g086,63,[63 30 20 10  3],219,156,-22,2
247,g085,60,[60 37 27 16 10  7],217,157,-22,2
74,g168,86,[86 56 50 17 13  6],314,228,-23,2
120,g166,77,[77 45 44 19 13  1],276,199,-23,2
135,g084,74,[74 34 29 23 11  6],251,177,-23,2
248,g083,60,[60 24 23 15 13  8],203,143,-23,2
104,g161,80,[80 51 50 15 14  1],291,211,-24,2
106,g164,80,[80 49 45 16 15  4],289,209,-24,2
184,g082,68,[68 32 26 23 10  9],236,168,-24,2
223,g081,65,[65 34 27 20 11  7],229,164,-24,2
75,g158,85,[85 56 50 16 13  6],311,226,-25,2
115,g155,78,[78 48 43 21  9  5],282,204,-25,2
140,g080,73,[73 35 28 25 10],254,181,-25,2
244,g079,62,[62 33 24 21  9  8],219,157,-25,2
65,g151,90,[90 58 54 18 14  4],328,238,-26,2
126,g153,74,[74 53 51 13  8  2],275,201,-26,2
162,g078,70,[70 33 27 25 10  8],243,173,-26,2
220,g077,65,[65 36 24 22 12  7],231,166,-26,2
81,g147,84,[84 56 53 16 12  3],308,224,-27,2
114,g149,78,[78 48 47 15  1],282,204,-27,2
215,g076,66,[66 30 28 21  8  7],226,160,-27,2
234,g075,63,[63 37 27 16 10],226,163,-27,2
76,g145,85,[85 55 52 16 14  3],310,225,-28,2
95,g143,81,[81 59 53 11  6],302,221,-28,2
133,g074,74,[74 36 29 28  9  8],258,184,-28,2
238,g073,63,[63 29 25 19 10  9],218,155,-28,2
84,g141,83,[83 56 52 17 10  4],305,222,-29,2
111,g139,79,[79 51 48 15 13  3],288,209,-29,2
198,g071,67,[67 34 25 24  9],235,168,-29,2
224,g072,65,[65 33 24  9  8],228,163,-29,2
94,g137,82,[82 46 39 26 10  7],292,210,-30,2
165,g069,69,[69 37 27 24 10  8],244,175,-30,2
192,g070,67,[67 36 27 22  9],237,170,-30,2
205,g133,67,[67 44  8],119,52,-30,2
191,g067,67,[67 36 25 21 11 10],237,170,-31,2
214,g068,66,[66 28 27 22 11  6],226,160,-31,2
257,g136,33,[33 20  8],61,28,-31,1
263,g132,14,[14  9  5],28,14,-31,1
180,g066,68,[68 39 28 24 11  5],243,175,-32,2
217,g065,65,[65 39 30 19  9  7],234,169,-32,2
267,g131,1,[1],2,1,-32,2
265,g134,7,[7 1],8,1,-32,1
149,g064,72,[72 35 30 24 13  5],251,179,-33,2
153,g063,71,[71 33 27 22 11],246,175,-33,2
117,g061,78,[78 42 31 26 16  5],276,198,-34,2
241,g062,62,[62 36 30 16 10  6],222,160,-34,2
128,g059,74,[74 43 30 24 13  7],265,191,-35,2
253,g060,53,[53 30 23 19  7  4],189,136,-35,2
207,g057,66,[66 35 22 13  9],233,167,-36,2
240,g058,63,[63 29 25 20  9  5],214,151,-36,2
204,g055,67,[67 31 26 19 10  7],227,160,-37,2
218,g056,65,[65 38 28 23 10  4],233,168,-37,2
169,g053,69,[69 35 27 26  8],242,173,-38,2
243,g054,62,[62 33 22 20 11  9],219,157,-38,2
193,g051,67,[67 35 24 11  8],236,169,-39,2
212,g052,66,[66 30 25 22 11  8],228,162,-39,2
221,g050,65,[65 35 26 23 12  4],230,165,-40,2
242,g049,62,[62 34 25 22  9  6],220,158,-40,2
156,g047,70,[70 45 31 19 14  6],255,185,-41,2
168,g048,69,[69 35 28 23 11  7],242,173,-41,2
178,g045,68,[68 41 27 21 14  6],245,177,-42,2
190,g046,67,[67 36 29 25  7  6],237,170,-42,2
129,g043,74,[74 39 27 24 12 11],261,187,-43,2
222,g044,65,[65 34 30 22  9  4],229,164,-43,2
232,g042,64,[64 33 24 16  8  7],216,152,-44,2
249,g041,59,[59 31 20 11  8],208,149,-44,2
172,g040,69,[69 34 29 24 10  6],241,172,-45,2
246,g039,61,[61 37 26 18 11  6],220,159,-45,2
150,g038,71,[71 39 32 23  9  7],252,181,-46,2
161,g037,70,[70 33 25 12  8],243,173,-46,2
201,g036,67,[67 32 30 18 14  5],233,166,-47,2
252,g035,56,[56 30 23 20  7  6],198,142,-47,2
