,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g083,100,[100  98],298,198,0,1
2,g169,100,[100   9],109,9,0,1
4,g167,100,[100   2],102,2,0,1
1,g082,100,[100  98],198,98,-1,3
6,g069,98,[98],196,98,-1,3
7,g166,98,[98  9],107,9,-1,1
3,g068,100,[100   7],107,7,-2,2
5,g067,98,[98 50 28 10],284,186,-2,1
17,g081,2,[2],2,0,-2,1
8,g020,41,[41 16  7  1],65,24,-3,2
10,g002,9,[9],9,0,-3,2
9,g066,10,[10  5  3],23,13,-3,1
16,g080,2,[2 1],7,5,-3,1
11,g001,7,[7],7,0,-4,2
12,g019,6,[6 3],15,9,-4,1
13,g000,6,[6],6,0,-4,1
15,g065,3,[3 1],7,4,-4,1
19,g079,1,[1],2,1,-4,1
18,g018,1,[1],2,1,-5,5
14,g004,4,[4],4,0,-5,4
20,g003,1,[1],1,0,-5,4
21,g005,1,[1],1,0,-5,3
