Nome do arquivo avaliado: c432 
Quantidade de vetores testados: 100 - 1.4551915228366852e-09
Node | #Vectors
430 | 100 
n108 | 100 
329 | 100 
223 | 100 
n60 | 100 
431 | 100 
ZN_neg_g017 | 100 
432 | 100 
370 | 100 
ZN_neg_g093 | 100 
421 | 100 
n186 | 84 
n184 | 84 
n182 | 84 
n191 | 76 
n166 | 69 
n190 | 68 
n179 | 65 
net_0_g057 | 64 
n187 | 63 
n183 | 59 
n167 | 59 
n151 | 58 
n181 | 58 
n154 | 56 
n127 | 55 
net_1_g057 | 53 
n148 | 52 
n134 | 52 
n152 | 51 
n178 | 51 
n161 | 51 
n155 | 50 
n141 | 49 
n165 | 49 
n164 | 48 
n180 | 48 
n59 | 48 
net_0_g128 | 47 
n174 | 46 
net_0_g126 | 46 
net_0_g093 | 45 
n107 | 44 
net_0_g135 | 43 
net_0_g134 | 43 
n119 | 42 
n159 | 42 
n160 | 41 
net_0_g125 | 41 
n74 | 39 
net_0_g120 | 37 
n175 | 37 
net_0_g123 | 37 
net_0_g132 | 36 
n158 | 35 
net_1_g110 | 35 
net_0_g129 | 33 
net_1_g134 | 33 
net_2_g134 | 33 
n162 | 32 
net_1_g099 | 32 
net_1_g105 | 32 
n100 | 30 
n50 | 30 
net_0_g119 | 30 
net_1_g093 | 29 
net_0_g016 | 29 
ZN_neg_g035 | 29 
n82 | 29 
ZN_neg_g039 | 29 
n78 | 29 
n49 | 29 
n106 | 28 
n94 | 27 
net_1_g016 | 27 
n177 | 27 
net_1_g129 | 26 
net_2_g095 | 26 
n173 | 26 
n88 | 25 
net_1_g103 | 25 
n65 | 24 
net_2_g057 | 24 
net_0_g106 | 23 
n157 | 23 
net_0_g136 | 22 
n122 | 21 
net_0_g111 | 21 
ZN_neg_g066 | 21 
net_0_g109 | 20 
net_1_g132 | 20 
n89 | 20 
net_2_g118 | 20 
net_0_g098 | 20 
n53 | 19 
n163 | 19 
net_1_g119 | 19 
n45 | 19 
n102 | 19 
n101 | 18 
n75 | 18 
net_1_g106 | 18 
n132 | 18 
n76 | 18 
net_000_g033 | 18 
n77 | 18 
n144 | 17 
net_0_g104 | 17 
n84 | 17 
n67 | 17 
n133 | 17 
n130 | 17 
n46 | 17 
