Nome do arquivo avaliado: c499 
Quantidade de vetores testados: 100 - 4.547473508864641e-11 
Node | #Vectors 
ZN_neg_g125 | 100 
net_000_g113 | 100 
n219 | 100 
net_000_g171 | 100 
734 | 100 
n166 | 100 
net_000_g158 | 100 
net_000_g167 | 100 
751 | 100 
ZN_neg_g159 | 100 
n191 | 100 
ZN_neg_g095 | 100 
ZN_neg_g146 | 100 
736 | 100 
net_000_g162 | 100 
740 | 100 
n200 | 100 
n174 | 100 
746 | 100 
733 | 100 
730 | 100 
ZN_neg_g127 | 100 
732 | 100 
net_000_g128 | 100 
net_000_g151 | 100 
net_000_g115 | 100 
ZN_neg_g157 | 100 
n225 | 100 
ZN_neg_g168 | 100 
748 | 100 
n210 | 100 
ZN_neg_g139 | 100 
n243 | 100 
n232 | 100 
725 | 100 
ZN_neg_g143 | 100 
ZN_neg_g105 | 100 
ZN_neg_g141 | 100 
727 | 100 
n187 | 100 
net_000_g160 | 100 
728 | 100 
738 | 100 
735 | 100 
ZN_neg_g121 | 100 
net_000_g140 | 100 
741 | 100 
750 | 100 
ZN_neg_g164 | 100 
n214 | 100 
net_000_g102 | 100 
726 | 100 
n170 | 100 
net_000_g098 | 100 
ZN_neg_g123 | 100 
net_000_g106 | 100 
752 | 100 
n164 | 100 
755 | 100 
net_000_g138 | 100 
net_000_g124 | 100 
742 | 100 
net_000_g149 | 100 
743 | 100 
ZN_neg_g107 | 100 
net_000_g169 | 100 
ZN_neg_g152 | 100 
ZN_neg_g118 | 100 
729 | 100 
n176 | 100 
n168 | 100 
n234 | 100 
737 | 100 
753 | 100 
net_000_g122 | 100 
ZN_neg_g137 | 100 
ZN_neg_g116 | 100 
n216 | 100 
n228 | 100 
net_000_g094 | 100 
747 | 100 
ZN_neg_g103 | 100 
net_000_g096 | 100 
ZN_neg_g093 | 100 
ZN_neg_g091 | 100 
749 | 100 
n198 | 100 
n223 | 100 
net_000_g126 | 100 
n241 | 100 
ZN_neg_g161 | 100 
ZN_neg_g155 | 100 
net_000_g108 | 100 
n230 | 100 
745 | 100 
ZN_neg_g150 | 100 
n180 | 100 
net_000_g117 | 100 
n239 | 100 
net_000_g142 | 100 
n196 | 100 
net_000_g156 | 100 
n189 | 100 
ZN_neg_g166 | 100 
n221 | 100 
731 | 100 
n178 | 100 
n212 | 100 
ZN_neg_g112 | 100 
724 | 100 
739 | 100 
n185 | 100 
ZN_neg_g101 | 100 
ZN_neg_g148 | 100 
n194 | 100 
net_000_g144 | 100 
ZN_neg_g114 | 100 
n237 | 100 
744 | 100 
net_000_g119 | 100 
net_000_g092 | 100 
ZN_neg_g170 | 100 
net_000_g104 | 100 
ZN_neg_g097 | 100 
754 | 100 
net_000_g147 | 99 
net_000_g165 | 99 
net_000_g153 | 99 
net_001_g104 | 63 
net_002_g096 | 61 
net_001_g171 | 59 
net_001_g147 | 59 
net_0_g123 | 57 
net_002_g169 | 57 
net_0_g170 | 57 
net_001_g151 | 57 
net_0_g101 | 57 
net_0_g127 | 57 
net_0_g107 | 57 
net_0_g161 | 57 
net_0_g103 | 57 
net_0_g121 | 57 
net_0_g105 | 57 
net_001_g094 | 56 
net_001_g140 | 56 
net_002_g138 | 56 
net_001_g162 | 56 
net_0_g143 | 56 
net_0_g125 | 56 
net_002_g119 | 55 
net_002_g158 | 54 
net_001_g153 | 54 
net_001_g156 | 54 
net_0_g152 | 54 
net_001_g142 | 53 
net_002_g117 | 53 
net_002_g167 | 53 
net_002_g122 | 53 
net_002_g102 | 53 
net_002_g149 | 53 
net_002_g126 | 53 
net_001_g115 | 52 
net_0_g168 | 52 
net_0_g150 | 52 
net_001_g124 | 52 
net_002_g098 | 52 
net_0_g141 | 52 
net_0_g159 | 52 
net_001_g144 | 51 
net_001_g106 | 51 
net_001_g128 | 51 
net_002_g108 | 51 
net_001_g160 | 50 
net_002_g165 | 50 
net_001_g113 | 50 
net_002_g092 | 50 
net_002_g160 | 50 
net_002_g113 | 50 
net_0_g155 | 49 
net_001_g092 | 49 
net_001_g108 | 49 
net_0_g137 | 49 
net_002_g106 | 49 
net_002_g128 | 49 
net_0_g146 | 48 
net_002_g124 | 48 
net_002_g144 | 48 
net_0_g166 | 48 
net_001_g098 | 48 
net_002_g115 | 48 
net_0_g157 | 48 
net_001_g165 | 48 
net_001_g117 | 47 
net_001_g167 | 47 
net_0_g148 | 47 
net_002_g142 | 47 
net_0_g164 | 47 
net_001_g122 | 47 
net_0_g139 | 47 
net_001_g102 | 47 
net_002_g156 | 46 
net_001_g126 | 46 
net_001_g149 | 46 
net_001_g158 | 46 
net_001_g119 | 45 
net_002_g094 | 44 
net_002_g162 | 44 
net_001_g138 | 44 
net_002_g153 | 43 
net_002_g140 | 43 
net_001_g169 | 43 
net_002_g151 | 43 
net_002_g171 | 41 
net_002_g147 | 40 
net_001_g096 | 39 
net_002_g104 | 37 
n209 | 30 
net_0_g097 | 29 
net_0_g095 | 29 
net_0_g093 | 29 
net_0_g091 | 28 
n75 | 26 
n74 | 26 
n83 | 26 
n84 | 26 
n76 | 26 
n73 | 26 
n110 | 25 
n107 | 25 
n108 | 25 
n121 | 25 
n112 | 25 
net_000_g011 | 25 
n109 | 25 
n111 | 25 
n207 | 25 
n78 | 24 
n120 | 24 
n102 | 24 
n101 | 24 
n103 | 24 
n116 | 24 
n206 | 24 
n77 | 24 
n79 | 24 
n114 | 23 
net_000_g000 | 23 
n118 | 23 
net_000_g002 | 23 
n205 | 23 
n152 | 22 
n128 | 22 
n151 | 22 
n94 | 22 
n95 | 22 
n153 | 22 
n150 | 22 
n154 | 22 
n126 | 22 
n89 | 22 
n87 | 22 
n149 | 22 
n90 | 22 
net_000_g039 | 22 
n88 | 22 
n127 | 22 
n99 | 21 
n158 | 21 
n98 | 21 
n129 | 21 
n157 | 21 
n208 | 21 
n100 | 21 
n131 | 21 
n159 | 21 
net_000_g022 | 21 
net_0_g112 | 21 
n156 | 21 
n160 | 21 
net_0_g118 | 21 
n145 | 21 
n135 | 21 
net_0_g116 | 21 
n138 | 21 
n137 | 21 
n161 | 21 
n146 | 21 
n105 | 21 
n130 | 21 
net_0_g114 | 21 
n97 | 21 
n104 | 21 
n136 | 21 
n81 | 20 
net_000_g038 | 20 
net_000_g073 | 20 
n82 | 20 
n123 | 20 
n133 | 20 
n139 | 20 
n91 | 20 
n92 | 20 
n132 | 20 
net_000_g032 | 20 
n125 | 20 
n140 | 20 
net_000_g081 | 20 
n93 | 20 
net_000_g001 | 20 
n122 | 20 
n80 | 20 
n141 | 20 
n124 | 20 
net_000_g005 | 19 
n144 | 19 
n142 | 19 
net_000_g035 | 19 
net_000_g004 | 19 
net_000_g029 | 19 
net_1_g161 | 19 
n143 | 19 
net_1_g137 | 18 
net_000_g085 | 18 
net_000_g006 | 18 
net_000_g034 | 18 
net_000_g021 | 18 
net_1_g155 | 18 
net_002_g011 | 18 
net_000_g016 | 18 
net_000_g036 | 18 
net_000_g060 | 18 
net_000_g026 | 18 
net_1_g143 | 18 
net_000_g057 | 18 
n113 | 17 
net_000_g025 | 17 
net_000_g019 | 17 
net_000_g088 | 17 
net_0_g134 | 17 
net_000_g028 | 17 
net_000_g014 | 17 
net_000_g069 | 16 
n182 | 16 
net_000_g077 | 16 
net_000_g064 | 16 
net_000_g024 | 16 
net_000_g015 | 16 
net_000_g078 | 16 
net_000_g054 | 16 
net_0_g047 | 16 
net_000_g076 | 16 
n147 | 16 
net_000_g055 | 16 
net_000_g068 | 16 
net_000_g020 | 16 
net_000_g059 | 16 
net_000_g049 | 16 
n155 | 16 
net_003_g022 | 16 
net_000_g009 | 16 
n162 | 16 
net_000_g070 | 15 
net_000_g030 | 15 
n236 | 15 
net_000_g084 | 15 
net_000_g062 | 15 
net_000_g063 | 15 
n218 | 15 
net_000_g066 | 15 
net_000_g013 | 15 
net_000_g018 | 15 
net_000_g058 | 15 
net_000_g051 | 15 
net_000_g067 | 15 
net_000_g071 | 15 
n117 | 15 
net_000_g010 | 15 
n86 | 15 
net_000_g087 | 14 
net_000_g056 | 14 
net_002_g081 | 14 
n172 | 14 
net_000_g082 | 14 
net_1_g159 | 14 
net_000_g053 | 14 
net_1_g141 | 14 
net_1_g157 | 14 
net_000_g050 | 13 
net_000_g072 | 13 
net_1_g139 | 13 
net_000_g080 | 13 
net_003_g039 | 12 
n119 | 12 
n183 | 12 
net_000_g031 | 12 
net_000_g007 | 12 
net_002_g032 | 12 
n203 | 12 
net_001_g013 | 12 
net_000_g008 | 12 
n85 | 12 
net_000_g109 | 11 
net_000_g040 | 11 
net_002_g088 | 11 
net_000_g083 | 11 
net_000_g099 | 11 
n204 | 11 
net_003_g029 | 11 
net_001_g002 | 11 
net_003_g021 | 11 
net_003_g060 | 11 
n115 | 10 
net_002_g085 | 10 
net_000_g012 | 10 
n134 | 10 
net_002_g039 | 10 
n106 | 10 
net_000_g074 | 10 
net_000_g023 | 9 
net_002_g001 | 9 
net_002_g099 | 9 
net_2_g143 | 9 
net_003_g034 | 9 
net_000_g044 | 9 
net_002_g073 | 9 
net_002_g019 | 9 
net_002_g000 | 9 
net_000_g042 | 9 
net_000_g033 | 9 
net_003_g076 | 9 
n96 | 9 
net_003_g073 | 8 
net_001_g005 | 8 
net_002_g009 | 8 
net_002_g010 | 8 
net_003_g058 | 8 
net_002_g004 | 8 
net_000_g110 | 8 
net_0_g003 | 8 
net_001_g071 | 8 
net_001_g054 | 8 
net_001_g038 | 8 
net_003_g035 | 8 
net_001_g036 | 8 
net_0_g037 | 8 
net_003_g002 | 8 
net_002_g015 | 8 
net_002_g025 | 8 
net_001_g057 | 8 
net_001_g059 | 8 
net_0_g043 | 7 
net_1_g127 | 7 
net_002_g080 | 7 
net_1_g164 | 7 
net_003_g038 | 7 
net_003_g066 | 7 
net_1_g121 | 7 
net_1_g047 | 7 
net_003_g050 | 7 
net_1_g123 | 7 
net_002_g067 | 7 
net_1_g107 | 7 
net_000_g131 | 7 
net_0_g041 | 7 
net_1_g105 | 7 
n193 | 7 
net_002_g082 | 7 
net_003_g000 | 7 
net_000_g089 | 7 
net_000_g061 | 7 
net_003_g069 | 7 
net_000_g046 | 7 
net_1_g103 | 7 
net_001_g033 | 7 
net_003_g028 | 7 
net_002_g016 | 7 
net_003_g036 | 7 
net_0_g045 | 7 
net_1_g101 | 7 
net_2_g139 | 7 
net_003_g055 | 7 
net_003_g087 | 7 
net_003_g014 | 7 
net_003_g006 | 7 
n173 | 7 
net_001_g016 | 7 
net_001_g000 | 7 
net_001_g026 | 7 
net_003_g056 | 7 
net_0_g163 | 7 
net_001_g064 | 6 
net_002_g006 | 6 
net_001_g078 | 6 
net_002_g068 | 6 
net_2_g141 | 6 
net_002_g070 | 6 
net_001_g077 | 6 
net_003_g063 | 6 
net_003_g011 | 6 
net_002_g005 | 6 
net_002_g083 | 6 
net_001_g019 | 6 
net_002_g024 | 6 
net_002_g030 | 6 
net_002_g031 | 6 
net_003_g024 | 6 
net_001_g062 | 6 
net_003_g057 | 6 
net_003_g026 | 6 
net_002_g020 | 6 
net_001_g051 | 6 
net_2_g137 | 6 
net_002_g023 | 6 
net_0_g017 | 6 
net_001_g082 | 6 
net_001_g020 | 6 
net_002_g051 | 6 
net_003_g088 | 6 
net_1_g168 | 6 
net_1_g134 | 6 
net_001_g042 | 6 
net_001_g021 | 6 
net_001_g068 | 6 
net_003_g004 | 6 
net_1_g125 | 6 
net_0_g052 | 6 
net_003_g085 | 6 
net_001_g035 | 6 
net_003_g064 | 6 
net_002_g084 | 6 
net_001_g028 | 6 
net_001_g034 | 6 
net_002_g014 | 6 
net_002_g060 | 6 
net_001_g084 | 6 
net_003_g001 | 6 
net_003_g049 | 6 
net_003_g054 | 5 
net_001_g004 | 5 
net_002_g078 | 5 
net_003_g005 | 5 
net_002_g018 | 5 
net_001_g063 | 5 
net_1_g150 | 5 
net_002_g008 | 5 
n227 | 5 
net_002_g038 | 5 
net_003_g062 | 5 
net_001_g053 | 5 
net_003_g077 | 5 
net_001_g069 | 5 
net_002_g049 | 5 
net_002_g035 | 5 
net_001_g049 | 5 
n202 | 5 
net_003_g059 | 5 
net_001_g070 | 5 
n163 | 5 
net_001_g001 | 5 
net_001_g012 | 5 
net_0_g086 | 5 
net_002_g029 | 5 
net_003_g032 | 5 
net_002_g055 | 5 
net_003_g030 | 5 
net_003_g015 | 5 
net_001_g009 | 5 
net_003_g025 | 5 
net_001_g007 | 5 
net_003_g053 | 5 
net_003_g078 | 5 
net_001_g018 | 5 
net_001_g072 | 5 
net_001_g006 | 5 
net_0_g136 | 5 
net_002_g026 | 5 
net_003_g018 | 5 
net_003_g109 | 5 
net_002_g050 | 5 
net_1_g152 | 5 
net_002_g066 | 5 
net_003_g044 | 5 
net_1_g170 | 5 
net_003_g071 | 5 
net_002_g077 | 5 
net_002_g062 | 4 
net_2_g168 | 4 
net_1_g118 | 4 
net_003_g067 | 4 
net_1_g045 | 4 
net_002_g053 | 4 
net_001_g074 | 4 
net_003_g040 | 4 
net_003_g008 | 4 
net_003_g070 | 4 
net_003_g020 | 4 
net_001_g024 | 4 
net_0_g065 | 4 
net_003_g016 | 4 
net_002_g022 | 4 
n148 | 4 
net_002_g087 | 4 
net_1_g148 | 4 
net_002_g056 | 4 
net_001_g030 | 4 
net_001_g044 | 4 
net_0_g132 | 4 
net_001_g014 | 4 
net_002_g074 | 4 
net_002_g072 | 4 
net_1_g112 | 4 
net_002_g002 | 4 
net_002_g063 | 4 
net_003_g007 | 4 
n184 | 4 
net_001_g010 | 4 
net_002_g028 | 4 
net_002_g057 | 4 
net_001_g058 | 4 
net_003_g080 | 4 
net_0_g079 | 4 
net_002_g109 | 4 
net_1_g166 | 4 
net_001_g067 | 4 
net_001_g025 | 4 
net_002_g069 | 4 
net_1_g116 | 4 
net_003_g081 | 4 
net_001_g031 | 4 
net_1_g114 | 4 
net_002_g064 | 4 
net_002_g076 | 4 
net_001_g055 | 4 
net_002_g046 | 4 
net_002_g040 | 4 
net_003_g068 | 4 
net_0_g133 | 4 
net_0_g135 | 4 
net_1_g163 | 4 
net_003_g072 | 4 
net_1_g146 | 3 
net_001_g089 | 3 
net_001_g032 | 3 
net_1_g093 | 3 
net_003_g083 | 3 
net_001_g008 | 3 
net_1_g041 | 3 
net_2_g170 | 3 
net_002_g036 | 3 
net_001_g029 | 3 
net_0_g111 | 3 
net_003_g061 | 3 
net_2_g159 | 3 
net_2_g045 | 3 
net_1_g095 | 3 
net_002_g054 | 3 
net_0_g027 | 3 
net_2_g105 | 3 
net_003_g010 | 3 
net_003_g110 | 3 
net_001_g015 | 3 
net_1_g043 | 3 
net_0_g154 | 3 
net_001_g073 | 3 
net_2_g155 | 3 
net_002_g131 | 3 
net_2_g152 | 3 
net_2_g133 | 3 
net_001_g131 | 3 
net_2_g043 | 3 
net_003_g009 | 3 
net_2_g164 | 3 
net_002_g058 | 3 
net_001_g056 | 3 
net_1_g133 | 3 
net_003_g051 | 3 
net_002_g007 | 3 
net_1_g097 | 3 
net_002_g089 | 3 
net_001_g076 | 3 
net_001_g087 | 3 
net_001_g066 | 3 
net_002_g059 | 3 
net_002_g034 | 3 
net_001_g040 | 3 
net_003_g012 | 3 
net_1_g135 | 3 
net_003_g084 | 3 
net_002_g110 | 3 
net_2_g161 | 2 
net_001_g061 | 2 
net_001_g080 | 2 
net_2_g150 | 2 
net_001_g085 | 2 
net_003_g023 | 2 
net_003_g153 | 2 
net_2_g103 | 2 
net_001_g110 | 2 
net_2_g148 | 2 
net_002_g013 | 2 
net_0_g100 | 2 
net_002_g061 | 2 
net_2_g121 | 2 
net_2_g101 | 2 
net_001_g081 | 2 
net_2_g123 | 2 
net_001_g109 | 2 
net_0_g130 | 2 
net_003_g046 | 2 
net_001_g099 | 2 
net_1_g091 | 2 
net_2_g125 | 2 
net_002_g042 | 2 
net_2_g134 | 2 
net_003_g074 | 2 
net_003_g019 | 2 
net_0_g090 | 2 
net_003_g031 | 2 
