Vector | #Nodes count
01111111111111010100100101101011 | 2930
01111111010011100110101010100001 | 2870 
01001110001101101000100110101011 | 2869 
01011111001010101011110001001100 | 2855 
01001000111111111110111100100101 | 2835 
01011110000101111011110110100101 | 2833 
01101001000110001100110101011111 | 2821 
00011001011011011101011110111001 | 2812 
01101011111110100111101101010100 | 2802 
01111101110011111001000100001001 | 2793 
01110010010001100110010101110000 | 2791 
11111001110000000001101000100000 | 2790 
00111011111110010110110001000011 | 2778 
01101011011111001110100010001101 | 2773 
01110101010111011110010100011010 | 2766 
11110101011110101001110110111101 | 2760 
10011111101001111111011101101000 | 2756 
10111110000111011101001011001100 | 2754 
01111101001010111111110101100101 | 2753 
10110110111111010110011100101110 | 2747 
01111001010010001001011110110100 | 2745 
01111001010100001011111110010111 | 2743 
11000110110011011001011000111100 | 2736 
01100101001010001100010010110010 | 2735 
00101111010010001011010010111111 | 2721 
10110110101001100111001100101101 | 2720 
10101101011100011000101010101010 | 2717 
11100110100001111000110010000010 | 2717 
11110010001001101000100100010110 | 2710 
00110100001100011111000000010110 | 2707 
01100101101001110011100100100110 | 2704 
11101110110100011011100111101101 | 2704 
00011111011010101000010101010110 | 2703 
11011111010010000110001001001010 | 2703 
00011001100111011100100100101101 | 2694 
01111100001010101111101001111111 | 2691 
11011001000000101011000010100010 | 2688 
11010110101011001000100011011110 | 2685 
00011110101001001011011110101100 | 2685 
00011110110100011010110010100110 | 2682 
01111111111001111101111111100110 | 2678 
10011111000011111101010110000010 | 2677 
10011010110001001111010000100011 | 2673 
01010101000000111100100000110101 | 2672 
10100111100101111000101101111111 | 2651 
01001100111110101110010110001011 | 2651 
00011110110111100110101111110011 | 2651 
01000011100000111110001010000101 | 2644 
01000101110010000110101000011100 | 2637 
01010000111000110001011000111011 | 2637 
11010111000000010011111111000010 | 2636 
10011101001001101111111010010100 | 2635 
10100101110011001000010010000000 | 2627 
01000110110110001011111010010110 | 2626 
00110010000011001110010110001110 | 2624 
00100110101101110111000101000101 | 2623 
11110100011010110010011110000100 | 2623 
10010001111100000110010010001100 | 2623 
01010110101011101101000100010101 | 2620 
00001011110111000001000101011001 | 2615 
11100100111011100001111000110110 | 2610 
10100110111010100111100101000001 | 2608 
01011100010101000101011100111110 | 2604 
00010001100011001101000001001101 | 2600 
11000001101010001100101000011101 | 2596 
11010010111001000011010110011110 | 2590 
11001110110001101100101111100001 | 2587 
01111001110100110010001001110011 | 2583 
00000011101000000001100011000110 | 2579 
11000000000101001001010011010110 | 2576 
10110001000011000001000110001101 | 2574 
10101000000110111100010110000100 | 2569 
11011001011100010101111010001011 | 2564 
11100101010100010001101001101001 | 2563 
00011101000000101011100000001111 | 2559 
00101010000110011101000110001110 | 2552 
00011100010110000100000110011000 | 2544 
11001000110000111000100100010110 | 2542 
10110000110101110011000100111000 | 2537 
10010000101010001001000111101101 | 2528 
00010101110011100100011100010110 | 2525 
01100100001000000000110011111111 | 2523 
00100110000010101100001100110001 | 2519 
10010100010101001001110001101100 | 2510 
10101000010100111101110001000010 | 2504 
00011010101000011100100001000001 | 2499 
00111000100100010000010001001010 | 2490 
10010100010101011100001111100010 | 2478 
10001001010011011000100000000011 | 2472 
10000010001011100110010011001011 | 2468 
10001101010101010010001110110011 | 2467 
10100000100001000111000101010111 | 2434 
01000000010011011101110100010010 | 2425 
10000101000110000000101001110111 | 2418 
11001101101000110010000000011101 | 2403 
10010000100001000010000100001010 | 2383 
10000000100001001001010011001100 | 2382 
10000000001110100010010001110101 | 2373 
10100000000010111000100000011111 | 2372 
10000000001011010101000110010001 | 2328 
