Vector | #Nodes count 
011000010010011100100001011110010 | 341 
011001001010001010101100001000110 | 336 
011000010011001100100101110001110 | 335 
111000111011010100101010101001110 | 332 
001001111100001100001000001111010 | 331 
100101111101000110101101000011110 | 329 
111110111000001110001001100100010 | 327 
011001111100100000100010011011010 | 325 
011101111110101010101101110011110 | 324 
101101000000101011100110110011010 | 322 
011000000101101010110110010100010 | 322 
010111001010100010000000010110110 | 321 
101011011001011000010110111100010 | 319 
100001010001010100010010000110010 | 318 
100010110011010010100010101111010 | 318 
111110000110101011001100110111010 | 318 
101110001001010110101101101001110 | 316 
111100010000000001001000010001010 | 316 
011001100011001010101010011010010 | 313 
010111010010001111001000001001010 | 311 
101100010001000100001000000110110 | 311 
011111011010001010101110001010111 | 305 
001101111110001000001111000010100 | 305 
000100111100100110001100101001111 | 302 
010000111001111101110010011001000 | 301 
001100010100110100011000001010110 | 296 
010000111011100000011010011001110 | 295 
110111000011010011101100000110010 | 294 
000001001011101000010010011001110 | 292 
001000111010110111110100001000010 | 292 
000100000111110001010010100100110 | 291 
011100111111000011010101100110110 | 290 
100111100000011011010100010000010 | 289 
011101010010001011100101011111010 | 288 
000110110111010111000000000000010 | 287 
010100110110111101110001110110110 | 286 
000010111011011110000000100000010 | 286 
101100111011101100001100111110111 | 285 
110101010011000010010101011001010 | 285 
011000000101110010100010101111110 | 285 
010010101011000100110101110010010 | 284 
100010101111010001000000011000110 | 283 
010100011101111001010110110011110 | 282 
010101011110110100010000111100010 | 282 
110111001110100000010001101010110 | 280 
011101010010010101010101011011110 | 280 
100100011010001100110001111000110 | 280 
001000110101100100010011101010010 | 280 
011010011100110001101110001000110 | 280 
111100111011100110111101010010110 | 279 
101110110010010011111001010000110 | 279 
000110110010111110101011101010010 | 279 
000000000011110001110110000101110 | 279 
101001101001011011011011111011010 | 279 
111000100011110111000010110100110 | 278 
110100011110101111001000001100110 | 278 
010111111000101101011001100101110 | 278 
100110100101100011011010100111010 | 278 
000100110101000110100111101011110 | 277 
110011111101101110000000101011111 | 277 
110000101011101011111000001101010 | 276 
001100101000001000100100001111110 | 275 
110000010110101110001000111101111 | 275 
110100101011001001011110100111110 | 275 
100011111011111001110000010011110 | 274 
110011101011011101110111001110110 | 274 
101110010101001000000001101001111 | 274 
100100111100101101000001010110010 | 273 
111100110011010111001011000110010 | 273 
011001111001000010001010000010111 | 273 
111111010111101101111111100101110 | 272 
100110011111010110111010000111110 | 272 
100101000100100000110011010010010 | 272 
011000111000000111100011111110110 | 272 
001001000111101110011000110000111 | 272 
101100110100110001000011100001010 | 272 
000101110111010111101110010010000 | 271 
101011011000011101101100001110000 | 271 
111101111001110101001010111101110 | 271 
011010011000000001111000101010110 | 271 
110100110010011111111010011001011 | 271 
111000010010101111011101101010110 | 271 
111111000000011100011001110110110 | 270 
000111010010011110101100100001100 | 270 
001011000110011111111010000010110 | 270 
001101001011010111011110001001000 | 270 
001001010011110001100011010010110 | 270 
010001010101011101011110111111000 | 270 
000001001101000100111011101001110 | 270 
101110110110110010001011100110111 | 269 
111010100000010101010100101101110 | 269 
000111100100110010111011101111010 | 269 
010000011000100110001101111000010 | 269 
010000110011100100000110010010000 | 269 
001010010001010110010111001111110 | 268 
010000011011001101101011100011110 | 268 
001111100111101110011111011101000 | 267 
001111100010101101001111000010010 | 267 
111101001010001010100010000101100 | 267 
001010100000000001010110110001110 | 267 
100101110011011001101001011111000 | 267 
111010111000101000011000010110110 | 267 
000111000100010011111001011001000 | 266 
010111011001111111111011100010010 | 266 
101100110000001000000111010111000 | 266 
011101000010010100111110100110110 | 266 
010101010100111111001111000100010 | 266 
111000100001010001000100111010111 | 266 
011010111110101101111010010000000 | 265 
010100101011000101010110100111100 | 265 
100111110011011000101001100001100 | 265 
011101001001011010001000100010000 | 265 
010000010110001000001110100000111 | 265 
100010001011011110100011010100010 | 265 
011100010101100010001011101010000 | 265 
110001111101001011101111011111100 | 264 
001101001101000010100110100101100 | 264 
011110011111111101100001110001111 | 264 
100110010010011000110111010100110 | 264 
010100001101011110100011101010110 | 263 
011101101110000101011000100001100 | 263 
101011111111111101101000101011000 | 263 
110011110000011010000101000000000 | 263 
101110010000100110000011001010000 | 263 
100000100110101001011010110100111 | 263 
111100001000011001010101010001010 | 262 
010111111000000010010000011111111 | 262 
111011010001100101111001010001110 | 262 
100111110111110111111100111011100 | 262 
110001100001001111101111100010110 | 262 
111101110100110111001111101010000 | 262 
010100110011010111010011101011011 | 262 
011000100111111001000111001011000 | 262 
000100001010011011000110100111011 | 261 
000100001110011100101100110101000 | 261 
110100100001110010101111111001100 | 261 
100110000010111100100010110101000 | 261 
000111100101111010101110100100100 | 261 
000101101111010100111000110010000 | 261 
111011010100010100001001111011111 | 261 
110111111101110101110001011110100 | 261 
010011110110110100110010110010111 | 261 
100001100100010010010110111001100 | 261 
010001011000101110111100010101000 | 261 
001000100101100000010001110001111 | 261 
110100000111001110111011010111011 | 260 
010100101010000000111010000000111 | 260 
111101000111010000010010110000100 | 260 
100111110000000101001101101111111 | 260 
011001110011110110001001110110100 | 260 
111000101011011100100110000111100 | 260 
001101100011111000011101010100111 | 260 
100001010010101011101010111011111 | 260 
100000101100000110011111101111010 | 260 
001110000111010000000000011111111 | 260 
110100110010110010110111110110100 | 259 
011101101011000100001001110001000 | 259 
101011000111000111100010001001100 | 259 
010101110101010010010001100111011 | 259 
000011101110000001011010110011100 | 259 
100001010010010011011011101111100 | 259 
111100101111111100101000011110111 | 259 
111101110111111110011001010001100 | 259 
100111000100100111010111111000010 | 259 
000110100111100001010001111010111 | 259 
001111101011010000110000110010000 | 258 
000111000110100010010110101011100 | 258 
010000001001000110010011010100000 | 258 
000111010110110101001111101100100 | 257 
001001010001111111010110100000100 | 257 
111001000011001010011110100010000 | 257 
111011000101100110111011010101100 | 257 
111100010110100000010000111001100 | 257 
000101010000110111110111111011000 | 257 
111110001000010100010010000101000 | 257 
111111111100110010100100000111111 | 257 
000111110111011011010000101000011 | 257 
011000011000000000111100000110000 | 257 
010101001110000011011010001110111 | 257 
011001010010111100101001010100100 | 256 
100011001100110000110010011101000 | 256 
110000010010100011010000001111011 | 256 
000110100000001010110000100110100 | 256 
100101111101010111011111101011111 | 256 
100100110000000011010111000011111 | 256 
001000010011001011100011010100111 | 256 
110100101111111101110011001000000 | 255 
110100111000110001111001001011100 | 255 
000101001001001101000000011101100 | 255 
011011011100101110001000011101000 | 255 
011000100001101111101111001000000 | 255 
111111011001011110110010011101000 | 255 
001000001010100111101100011010111 | 254 
111010001101000010000011110110111 | 254 
001001011110010101111100010101111 | 254 
001100001101100001000111101111111 | 254 
000000011111100001111111010101100 | 254 
101111010001110110110111001001111 | 254 
001001110000011010010100010111000 | 254 
001100011111010000011010110111111 | 254 
010111011011111011110110101011100 | 254 
111000001111000101001001000100111 | 254 
100110011000010010110001011101100 | 254 
010110010001011001011011000000100 | 253 
110000111000111111111000110101111 | 253 
000011000001000110111110110100011 | 253 
001010010000010100111101101100000 | 253 
011000100101110100011111111101100 | 253 
110101000001010011000101011010100 | 253 
000000100000100011100111011010111 | 252 
010011011110111000010100000111100 | 252 
001110111111100111100111111000111 | 252 
011100010111100111101101110001000 | 252 
110000111111011101101100110100011 | 251 
100001011010101100110100101100100 | 251 
001011000101100111010110101110100 | 251 
100101000000001101101000010010111 | 251 
010100110001110001101100011110100 | 251 
101001011000010101110001101001111 | 250 
100100011001100000110011100011100 | 250 
000111101101010101100110011110100 | 250 
100011110111100011010110100000011 | 250 
010100111110111111110110001101011 | 250 
101100001101111000010011100001011 | 250 
001001110010001000011100011000000 | 250 
010111110111100100001101010100100 | 250 
111100000001011110010000011111100 | 249 
001011010000101001101000100010111 | 249 
000101001100111000010011101100011 | 249 
100101101101011011001001010001100 | 249 
111010110101011100011110100000000 | 249 
001110000101111011100101010011111 | 249 
100010010110100010110111010101111 | 249 
110111010001111111000110101010100 | 249 
010011001110000111001010100010011 | 249 
010111001001010010011001011100000 | 249 
100110001001100011001001001110100 | 249 
010101100110111111111000011000011 | 248 
100110110000101011101111000000111 | 248 
100000000000110001001111101001100 | 248 
111011001011111000011101001001000 | 248 
001111110010101111111100110000100 | 248 
000100010000111111110111001110000 | 248 
000111011010110110011011010111111 | 247 
101100110001001110100000011011011 | 247 
111001100101000101000001000111011 | 247 
010011100000011100111101001111000 | 247 
100110110010110001101011101101111 | 247 
100001010100110111010111001100011 | 247 
111010110000000110111000000001100 | 247 
101111100001000010111110110010111 | 247 
010000111011101111100111101100011 | 247 
101011011110111111001110010010011 | 247 
100010101111100001111100011100000 | 247 
011110001011001100110000100010011 | 246 
010101000001100010001000011100011 | 246 
100001000100100010111000000011011 | 246 
001000001110001100001100101001011 | 245 
110111010110110000011101110001011 | 245 
101110001010111010110010011100111 | 245 
100010001101011000000010011101011 | 245 
010101100011011101100101101110011 | 245 
011101101100100111000101110101011 | 244 
110101101010111100000110000011011 | 244 
100010111001000101111010110010111 | 244 
111110111110011001110101011001011 | 244 
100011000001111101001000010111100 | 244 
011111011000011001000101100101000 | 243 
101110000010010111110101000011000 | 243 
100111110100101011010111011000011 | 242 
001001011101101000111101010010011 | 241 
011101001001111001001010011111011 | 241 
011001100100101000011100111000011 | 241 
101111011011111010110010010101011 | 241 
101101100011100101000010011000011 | 241 
111111111000101011000100110010011 | 240 
110010010011100101001100010010111 | 240 
101111101000101101111101100100100 | 240 
111000100000111000001011000000000 | 239 
101000001001010110011000111100011 | 238 
100011101001010101100011110101011 | 237 
100111001000001000110010100101011 | 237 
001010101001000101011000011001011 | 236 
111111001110010100111011001001100 | 236 
100000010011101100001001100111011 | 234 
111010011100110001101111110100011 | 233 
111010111010010101010001111101011 | 231 
110010001010100010111110010011011 | 229 
101010100010111100000101110110011 | 229 
111001100000011000100010101011101 | 151 
101111000010101010001001110000101 | 148 
101001000110110100101000111111001 | 146 
010110000010010101010010010011001 | 145 
110001100111010010101110110011001 | 143 
111000000001001110000010011011101 | 143 
100100011001000000110011001111001 | 141 
011011000010110110100100011011001 | 140 
000101100100011000010100100111001 | 140 
011100010010110000110000001011101 | 139 
011100111101101110111111010111001 | 137 
011011000111101100111111000111001 | 137 
110011110110011011111111001111101 | 135 
000000111100110011111010100111101 | 135 
111101100000000011001010000111001 | 135 
101100010010101101110111100011001 | 135 
001111001111101001110010101011101 | 134 
111010100110111100000001111111001 | 134 
110001011111111110101101011111101 | 133 
010011011110110101011010000111101 | 133 
111000100000100010000110001001101 | 133 
010011101000000011001011010111001 | 132 
101000001101100100101100101011001 | 132 
010100000110010111000100101110001 | 132 
