Nome do arquivo avaliado: c880 
Quantidade de vetores testados: 400 - 3.469446951953614e-16 
Node | #Vectors 
n228 | 400 
n223 | 400 
n201 | 400 
n248 | 400 
n241 | 400 
ZN_neg_g001 | 400 
ZN_neg_g200 | 400 
n242 | 400 
n198 | 400 
n118 | 400 
ZN_neg_g011 | 400 
n161 | 400 
n283 | 400 
n141 | 400 
n115 | 400 
n169 | 400 
n284 | 400 
n137 | 400 
n193 | 400 
n124 | 400 
net_000_g022 | 400 
n235 | 400 
n236 | 400 
450 | 400 
n253 | 400 
n252 | 400 
n125 | 400 
n171 | 400 
n142 | 400 
n154 | 400 
n246 | 400 
n251 | 400 
n238 | 400 
n227 | 400 
net_000_g035 | 400 
n222 | 400 
880 | 400 
n256 | 400 
net_000_g026 | 400 
ZN_neg_g196 | 400 
n177 | 400 
n203 | 400 
n101 | 400 
n199 | 400 
n204 | 400 
n127 | 400 
n135 | 400 
n131 | 400 
n233 | 400 
n234 | 400 
n194 | 400 
ZN_neg_g016 | 400 
n213 | 400 
n147 | 400 
n106 | 400 
net_000_g024 | 400 
n165 | 400 
net_000_g106 | 400 
net_000_g165 | 400 
ZN_neg_g007 | 400 
n172 | 400 
n111 | 400 
n224 | 400 
n274 | 400 
n266 | 400 
n206 | 400 
n259 | 400 
n271 | 400 
n149 | 400 
n275 | 400 
n243 | 400 
448 | 400 
n197 | 400 
n148 | 400 
390 | 400 
n277 | 400 
ZN_neg_g050 | 400 
ZN_neg_g004 | 400 
n140 | 400 
net_000_g175 | 400 
n209 | 400 
449 | 400 
net_000_g118 | 400 
ZN_neg_g040 | 400 
n219 | 400 
n272 | 400 
net_000_g036 | 400 
422 | 400 
768 | 400 
n170 | 400 
n155 | 400 
n285 | 400 
n166 | 400 
ZN_neg_g018 | 400 
ZN_neg_g176 | 400 
n133 | 400 
n187 | 400 
418 | 400 
n265 | 400 
n288 | 400 
n205 | 400 
423 | 400 
n245 | 400 
ZN_neg_g017 | 400 
n267 | 400 
net_000_g055 | 400 
ZN_neg_g184 | 400 
n237 | 400 
n244 | 400 
420 | 400 
n208 | 400 
n110 | 400 
ZN_neg_g168 | 400 
n119 | 400 
n186 | 400 
n91 | 400 
ZN_neg_g047 | 400 
n290 | 400 
net_000_g032 | 400 
446 | 400 
n167 | 400 
n150 | 400 
n178 | 400 
ZN_neg_g000 | 400 
net_000_g072 | 400 
n286 | 400 
n159 | 400 
n282 | 400 
n200 | 400 
388 | 400 
n250 | 400 
n184 | 400 
n136 | 400 
net_000_g033 | 400 
n108 | 400 
n231 | 400 
n270 | 400 
n139 | 400 
n221 | 400 
n143 | 400 
ZN_neg_g012 | 400 
net_000_g197 | 400 
n126 | 400 
net_000_g019 | 400 
866 | 400 
n173 | 400 
n273 | 400 
ZN_neg_g062 | 400 
389 | 400 
n160 | 400 
ZN_neg_g041 | 400 
net_000_g031 | 400 
ZN_neg_g093 | 400 
net_000_g021 | 400 
n182 | 400 
n164 | 400 
n181 | 400 
n225 | 400 
n278 | 400 
net_000_g029 | 400 
n168 | 400 
net_000_g028 | 400 
n279 | 400 
n192 | 400 
n158 | 400 
864 | 400 
n105 | 400 
419 | 400 
n218 | 400 
ZN_neg_g003 | 400 
n210 | 400 
879 | 400 
878 | 400 
n116 | 400 
n196 | 400 
n261 | 400 
n97 | 400 
net_000_g020 | 400 
421 | 400 
n257 | 400 
n217 | 400 
net_000_g023 | 400 
n163 | 400 
850 | 400 
n216 | 400 
n120 | 400 
ZN_neg_g052 | 400 
n189 | 400 
447 | 400 
n207 | 400 
n144 | 400 
n117 | 400 
n289 | 400 
n132 | 400 
n191 | 400 
n258 | 400 
n232 | 400 
ZN_neg_g014 | 400 
n188 | 400 
n123 | 400 
767 | 400 
ZN_neg_g137 | 400 
n145 | 400 
ZN_neg_g002 | 400 
n130 | 400 
ZN_neg_g189 | 400 
n215 | 400 
n134 | 400 
n180 | 400 
n175 | 400 
n220 | 400 
n280 | 400 
ZN_neg_g099 | 400 
n264 | 400 
n162 | 400 
863 | 400 
n129 | 400 
ZN_neg_g015 | 400 
n112 | 400 
n157 | 400 
n128 | 400 
ZN_neg_g130 | 400 
n121 | 400 
n138 | 400 
n269 | 400 
865 | 400 
n214 | 400 
n247 | 400 
n107 | 400 
net_000_g025 | 400 
ZN_neg_g044 | 400 
n114 | 400 
n174 | 400 
ZN_neg_g045 | 400 
n146 | 400 
874 | 400 
n152 | 400 
n185 | 400 
n262 | 400 
n229 | 400 
net_000_g027 | 400 
net_000_g034 | 400 
n226 | 400 
n212 | 400 
n183 | 400 
n109 | 400 
n151 | 400 
n230 | 400 
391 | 400 
n254 | 400 
n239 | 400 
net_000_g030 | 400 
n92 | 400 
ZN_neg_g005 | 400 
n156 | 400 
n240 | 400 
n179 | 400 
n195 | 400 
n176 | 400 
n263 | 360 
n287 | 350 
n276 | 341 
n255 | 340 
net_0_g041 | 287 
net_0_g130 | 284 
net_0_g049 | 283 
net_0_g085 | 252 
net_0_g083 | 216 
net_0_g157 | 211 
net_0_g116 | 210 
net_0_g017 | 204 
net_0_g108 | 202 
net_0_g065 | 202 
net_0_g086 | 201 
net_0_g125 | 199 
net_0_g067 | 194 
net_0_g097 | 192 
net_0_g004 | 190 
net_0_g015 | 185 
net_0_g121 | 182 
net_0_g104 | 180 
net_0_g109 | 179 
net_0_g112 | 178 
net_0_g051 | 173 
net_2_g066 | 169 
net_0_g177 | 169 
net_0_g058 | 168 
net_2_g115 | 166 
net_0_g162 | 166 
net_0_g005 | 164 
net_1_g163 | 163 
net_0_g107 | 163 
net_0_g201 | 161 
net_0_g174 | 161 
net_0_g062 | 161 
net_1_g162 | 160 
net_001_g175 | 160 
net_1_g077 | 159 
net_0_g077 | 159 
net_0_g182 | 158 
net_0_g044 | 156 
net_0_g205 | 155 
net_0_g184 | 155 
net_0_g001 | 154 
net_0_g010 | 154 
net_0_g148 | 154 
net_2_g124 | 153 
net_002_g106 | 152 
net_0_g009 | 152 
net_0_g153 | 151 
net_001_g118 | 150 
net_0_g012 | 150 
net_0_g190 | 150 
net_0_g039 | 150 
net_0_g008 | 150 
net_0_g014 | 150 
net_0_g195 | 149 
net_0_g169 | 149 
net_0_g114 | 148 
net_0_g154 | 148 
net_1_g148 | 147 
net_001_g055 | 147 
net_003_g197 | 147 
net_2_g203 | 147 
net_0_g123 | 147 
net_0_g082 | 146 
net_1_g082 | 146 
