Vector | #Nodes count 
101110101100111110110111100101010010101111001110100001110000 | 375 
111101011100101110010001010101110001010001101101110010100001 | 374 
011101111001001010111011100000101010001111100110110011110100 | 368 
011111011110001011000011011010111010101101010110011111000011 | 367 
001111101010100010001101111010011100111101100101010000000101 | 366 
111110101101000110011001111001001001001000100111100101101011 | 365 
011101010000101010000001011100011111011010001000110001000111 | 364 
000010101111100111001000111110000100011011011100110100100101 | 363 
111100011101100100010100111011101001110111100011101101001000 | 363 
010010001110100100101000111000001011110011101010110001000101 | 362 
111000110010010101001011001011011110101111111101010011000001 | 362 
101000011110110100001110101000010101100010111101110000101001 | 361 
000110101010011110100101110100101010101111000110100101001011 | 361 
100101011000111110110011000100011100000010010111110111101100 | 361 
000100111111111101111100001111000001011011111010001001011001 | 360 
011111111110111010000100111110010100010100101011010100000011 | 360 
011100010010011111100000000101000011011101100101110101101000 | 360 
000110111110010101010001100010111000110101100111110000011000 | 360 
001110100011111110001111000011001010011110101100100010100010 | 360 
101010111100011001101011011110000010011100101111111011100000 | 359 
101101101100100110001001100110011101111001000011110000010111 | 359 
001101001011011001100001110100110010101111101000010010110111 | 359 
101101001011001111101110110011011101010111100101111011011110 | 359 
011000010010111100110101001000000011000011110010110101110101 | 359 
011110001111111100001100110011001111100000110101111100000010 | 359 
011110001001110011001101000000010101010001101000111101101101 | 359 
110111101010100010100010100001111100111110100010010101000000 | 358 
000101111011011100010000001111000110001010011000110010000011 | 358 
010010110110100111110100111110001110011000001100010000010110 | 358 
001011111011111011111010001001111111001110111100010011001011 | 358 
111110111110110001001011011101000100000010001100111110010100 | 358 
000100110110110010100110010001111010110111010101000001111001 | 357 
011010111010110111111010011111100010101000110110111111110010 | 357 
010000111001100011011111000111101110010001111110110000000110 | 357 
010011110001100101110100000111111111111100110010100011101000 | 357 
101101010111011010001100100001110000111000110111010101100001 | 357 
110010111111101111000011111110101010111111011100001000111011 | 356 
011011001100010111101111100010101011010011011011010001110101 | 356 
000111100100010110001000101001000111011110101100000011111000 | 356 
011111101101110010011011101001001111011111111001111001000110 | 356 
011000011011101101101111111010010110010001011111000101011011 | 356 
001110100000110110101011111100010100011101010010010111110101 | 356 
111011011011101001110111100100010100110011101111010110010110 | 356 
001010010000101111101101001001001000010010011100010001110100 | 355 
011101001101011001110000100011110101111100000001001000000110 | 355 
111110000010111001010010110011000001010011110111100111010001 | 355 
010011111101001100110001100100101111110011110011000110011001 | 355 
100010001010010110100100000000110100010011101011100011100000 | 355 
000111101001001111000100101000110110101101111010010100011110 | 355 
010011000000010001110101010110111100111010100100010001110100 | 355 
000000100110000101000001011100011000000010110111010001101011 | 355 
101110001100110100010000011101011101010001010101110001110100 | 355 
011111001101000011001001001100100011011101110001001010000100 | 354 
001010001001001001001011010110110010101010001111010111010001 | 354 
000000111111101001111101001101011010110101101010010101100011 | 354 
010110111000010111111110101010010100101101111011101100100110 | 354 
010000001001000000011100001110000111011000101101110010100010 | 354 
001101010001011000011000000010001100011001101010101001111101 | 354 
011001001001111011010010011010100001101000110010101001111010 | 354 
001001010111101001001111111011111011101110111111110110010000 | 353 
011110111101000000011100111001111110001000110001010000010011 | 353 
001011001110001111100000110010111011000110110001110110100100 | 353 
111000000001111011011101000000110011010010110111110000000010 | 353 
100010011100001110001010111011111010101111101001010010110001 | 353 
001100001100010110001111101101110010010111000110000011101110 | 353 
010010011001001001011011001111110110110100001101010100100111 | 352 
101100111000010010010000001111101101111000110111100011111011 | 352 
100101000001101101001110011111111110101111111111011001010101 | 352 
111010010011011110101001101110011110001111111000100100110100 | 352 
111111111010011000100110001010010101011110010110110110000011 | 352 
100101000011100111001111011110001111000001101011110011010001 | 352 
010000101111101111001011101001110100001001011000110011111000 | 352 
001100100010010110000111000010011011110000011001000010111000 | 352 
111100111010100111100010110110000111111111000110100010010110 | 352 
011010010000100110100100110100101100010011011101011001110001 | 352 
000100011100110110001011111101110010101110111000001010100010 | 352 
100100011111111101010110010110001111100011001011110100010000 | 352 
100100000001110111000110011110001110101111111100010100011101 | 352 
001011001000011000011010111110101101111001011001110101011001 | 352 
110100000000100010011111000110100110100101011110011010101100 | 352 
100110111000101101110110101010011000111010000100110010111001 | 352 
000100101100111100000111011100111111001100010100110100111011 | 352 
111101010111111011111100010010100111110110100111010110000100 | 351 
110101100101101100011100100101011011000011010101100011111111 | 351 
010111011010000000000111110101100001100110101111011010100000 | 351 
110011000001111110110011010000000100010110100100110100111100 | 351 
011110001000111010111010001111001101110011111011101101100111 | 351 
100101100001011111001100001010000010110111110111011111010001 | 351 
110011011000101010110101001011110101001111010110110111111000 | 351 
000000001001101011110011010010111011110011010001101011100110 | 351 
010001010001100001101010000110000110111001011111100110001011 | 351 
010000001000000111011000000010000101110111011000010110000001 | 350 
001000011011011100010010111000101111011000000000011001100001 | 350 
000010100011011001111101101000011100011011100001010100011010 | 350 
100011011011111000101011111100100101001100010001110111101000 | 350 
010000011010001001010101010100011000110001011010110110100010 | 350 
011101001001110010111011111110000010100010111100101000010001 | 350 
001010110000010101111110001001100000001101101111010101010010 | 350 
111100010010110011010010101110110001100111101011000101100010 | 350 
011100010010011001101011011111110111000001001010111111011001 | 350 
101100100001101110110000001110000111011100011010100110101111 | 350 
010000111101101011100011100110001100010010110101110111001101 | 350 
010110100111011001001001101011100011111001011001011000010000 | 350 
011001111101010101000001110001101101110010000101111010011000 | 350 
110011011011111011001111100101000010000001100101110010011111 | 350 
011101011100110000100010001001110110100001101101001011010010 | 349 
101101111101101110010100101010100101001100001111110100000111 | 349 
011001011010011111000111001000000010110100010110111100001101 | 349 
101100000001111000100011111010110001110110111110111001100110 | 349 
110101110001001010110000011111111111111111100001111001000110 | 349 
000101111100011101110010011000010111001101010101101101100001 | 349 
101110010100110010100100011000011110101010010010010000110111 | 349 
011001000010010111110101111101110110011000011000110001001100 | 349 
111100001110101001001101000110001111101000111111011110110010 | 349 
011001011010110110110000001010010111000100011100001011101100 | 348 
001001100110100111110101001111111010110100111111000110111001 | 348 
010101010111000111110001000101100000011111001111111110000000 | 348 
011000100111101001010001101011100011101011110101001010101101 | 348 
011010100101010001101000110001110110011101111101010100011101 | 348 
001011101101110110100010010111101101101100010101101100011011 | 348 
000110000101101101111011001001000001111010011011110011011100 | 348 
110100011110101010111000001000010100100001110100011110100000 | 348 
010101011010011011101101110001010110100110111001011110010101 | 348 
100110000000000001001010101100101011000001111111010010000010 | 348 
011101110111100100110101001111111111010000000111011111101110 | 348 
101000111000100110101100011111101110001110100010010101111000 | 348 
010010110110110111111110010001000101011001011101111110001010 | 348 
111010010110101101101001001110001000001010100001110011001011 | 348 
001001111010000110101010100100111010100100110110010001111111 | 348 
010111001100001100001001001110111101110111110000101100101101 | 348 
111101111111110100110100100101000110010000001111001111010010 | 348 
010011111000100000100110101111010100101001110000010111101010 | 347 
111010110100100011111000000001000100101111011010010010101001 | 347 
101101101100101111010010111010010110110010010110001011110111 | 347 
000100001010010011101000100100001001110010110001011101001110 | 347 
101110011001010000011110100000011100111111001011001100110100 | 347 
000100010110101011010100010101111011010111111101000010000100 | 347 
001111011101001100111011111100010100000011101110000000000111 | 347 
001111011101101100100100101010000111011111000011001101010101 | 347 
111100001100010110000110000111010010111000100100011010000010 | 347 
111101000110010010001100111010001111010000101001001010101110 | 347 
010100011111101011101110110100101011111001010111000010010110 | 347 
001100100010110111111110101110010001011110001011000111110011 | 347 
010111100111110100110011010000001100110001111100111101101010 | 347 
011011110011101011111100111100110010100110110110000110111001 | 346 
100010100100100011100101001111111011010110010111111011100101 | 346 
010110001001110001011110100001111001010111111000001001111000 | 346 
011111000111110001100011000101011000110001100100111111001001 | 346 
010001000111000000100100111101010100101011110110000100111100 | 346 
110010101001111011011011111110000110011100110111011011100101 | 346 
110011111111101101000111101110111110101111100000101101001111 | 346 
000001000110011010001110100001100111001101101000110010010000 | 346 
011110110100010010101001100111110011100011000001011110000001 | 346 
001010111011001110100111100000110000010010011000110100111011 | 346 
101111010000001111011111110100010000111010111010010101000000 | 346 
011000001100111000001010101010110010100011110010101000100110 | 346 
010110001011110100000001101111000101011110111001111011110110 | 346 
010100110000101101000001100101111111010011011011010101010100 | 345 
011110010011110000110111110111011110010000010110101011011011 | 345 
010001100011001110110100111101001011101110100111100111000011 | 345 
000100011101000011111111000110110100011110110110001111010111 | 345 
001011010100100100101011101001111100110010011001011001010011 | 345 
110111100100000001100011010110000110000001010111001000101000 | 345 
010001010000101010011001001100010110001010111000000011111010 | 345 
110010001011101111001100001100011101110001010001010001110101 | 345 
001101001111101100111000101110111101010001111110111111000000 | 345 
011110110000111000111100011001111101110110110110000111000010 | 345 
001100101111101001001001111000110010111010011101111100110110 | 345 
100111111111011110001000001101011011100011101011110101111010 | 345 
011011000011001110010111011111101111001111111010101101001011 | 345 
000010111110011110010010110100110011110110010010000111010001 | 345 
001010100001111011011101110010000010111101010110011000000110 | 345 
011011011110001100111011011111001000111110001101001010101001 | 345 
111111101110101010101100101101101110111010010010110110000110 | 344 
001001011011100100100101101001001110100110110001110111110110 | 344 
001110110111000011101001000000110011000101100010110110101110 | 344 
111010101111000111001011110000001101111001000011011001111111 | 344 
101010110011111011010010101110001110010110001000110000110010 | 344 
000111011110001111000110110100111011100110010111011001010111 | 344 
110100010111001111010111101010011001101110011010011001001110 | 344 
000111000011111100010001011100001010110010110000111100111100 | 344 
010100010001101010100111010110111000011101101111000111000100 | 344 
000101011011111101101110010101011000011111001011110010101111 | 344 
001101001100110001110101010001101101101000111011000101110100 | 344 
010111011010011111000011111001110101011101110100000111000011 | 344 
110110111111110010111111111000101010000010010000000011111011 | 343 
110010110110101111111111101101000101111110011101010011100000 | 343 
100100001001101111000000110110001101010110110000110010100001 | 343 
011000001111001111111011111001000110100000011001101100111110 | 343 
000000111000110001101011001110001100010001000010110111010101 | 343 
000001101011010111000111001110010101100101000110010100100110 | 343 
111000000000011101100101111010011010001010011110110000110001 | 343 
001011010101100011110110110110010000111001010101100101111101 | 343 
100001111110001011100101000101110111011000110101110110100001 | 343 
101010011010011011010000101110100101101010001010010110111000 | 343 
101111010011011111111100100011110100110101000001110100001100 | 343 
000100100010101101001110001100010010001011101001101000100111 | 343 
111000000111111110010100110111111100011000011110101101110000 | 343 
011110110100011100111100100111000011110010101110001001001010 | 343 
011001110001000110011110000111101001011010100010100010100000 | 343 
001110010010110101110011111110110111000101001110000010011010 | 343 
110101100101111110010101110001111111111111010110100010001001 | 343 
011000001100111011100011001011101110001000110111111111000100 | 343 
000011000100010000010000001100101001011111001001100011011001 | 343 
011001100011011001110101000101101100011001001000100001100110 | 343 
000101110101101111000100111110011001111111000001011011000101 | 342 
000111001011010111101111110010100001001111111110101000001101 | 342 
001101110110110100100111100110010101101100101111101101011000 | 342 
011011010110000000110110111001010010101010010100010110011111 | 342 
010010100110011011010111001011000100001001110111101110000101 | 342 
000000111000011101110010011000000001001000101111110011111111 | 342 
000011100100001101010001111110100111110011101100100000110000 | 342 
010011110101101010011000010000111111110010001011110011101111 | 342 
100101010100000001001100001011011100001110111110100101000111 | 342 
010100011001010011000000111001001110011101011010100110110110 | 342 
010000101000010110011101011110110011011010101101101000101110 | 342 
011001100100110000000101011011010101011000111001101001010110 | 342 
011010001110011100010111001000111010000111010100011011011100 | 342 
110011010011010110111110001011101010010111111100000001010011 | 342 
101101010110011000110001110011101001100000100111010100000010 | 342 
011001100110001100100110001101111000010010100110000111110011 | 342 
100100110110111101110000000011011011011111100111100100011000 | 342 
111011000101001101001100011110111000101101011110110010111100 | 341 
010100011100100001111001111100100000010010101001110110100111 | 341 
000111111110011011110100011010001100000110101101100000001001 | 341 
101110000010001001010010110100010110101000110110010010010111 | 341 
000110011010011100001011000010010000100000111000100101110101 | 341 
001000101111001010000010010100010101001100110011101111010110 | 341 
110000001001101010001101000000001100001101101110111011111101 | 341 
100111001111000101001001010110001011001111110100100110011000 | 341 
011010011000010011101111001101100011001010000000111010111111 | 341 
111011100101010101110111100111100011101011100101000111100001 | 341 
101010011010111010011111000001000000110001001011010100100000 | 341 
101110010101010001000011100111011100101110011001111111101101 | 340 
011100000111011001010110011100100000001000100110000000110110 | 340 
110110101100110011110111001101100101101101111001001001101011 | 340 
101110010110010110010010011000011001101101111000111000110100 | 340 
111101000010001100011110101011011000011010100100011101010011 | 340 
