Nome do arquivo avaliado: testC17_nangate 
Quantidade de vetores testados: 32 - 1.0 
total_evaluated_nodes: 17 
vector | sensitive_node | total_reverse_biased | not_mask_reverse_biased | runtime 
00000 | ['N10', 'N16', 'net_0_NAND2_4', 'N19', 'N22', 'N23'] | 7 | 6 | 0.0004552999999999918
00001 | ['N10', 'N11', 'N16', 'N19', 'net_0_NAND2_6', 'N22', 'N23'] | 7 | 7 | 0.00042490000000000583
00010 | ['N10', 'N16', 'net_0_NAND2_4', 'N19', 'N22', 'N23'] | 7 | 6 | 0.0004242999999999886
00011 | ['N10', 'N11', 'N16', 'N19', 'net_0_NAND2_6', 'N22', 'N23'] | 7 | 7 | 0.00040270000000000583
00100 | ['N10', 'N16', 'net_0_NAND2_4', 'N19', 'N22', 'N23'] | 8 | 6 | 0.0004956999999999878
00101 | ['N10', 'net_0_NAND2_2', 'N11', 'N16', 'N19', 'net_0_NAND2_6', 'N22', 'N23'] | 8 | 8 | 0.0004789000000000043
00110 | ['N10', 'N16', 'N19', 'N22', 'N23'] | 6 | 5 | 0.0003564000000000067
00111 | ['N10', 'N11', 'N16', 'N19', 'N22', 'N23'] | 6 | 6 | 0.0003538000000000152
01000 | ['N11', 'N16', 'N22', 'N23'] | 7 | 4 | 0.00039829999999999033
01001 | ['N11', 'N16', 'N22', 'N23'] | 6 | 4 | 0.0003853999999999802
01010 | ['N11', 'N16', 'N22', 'N23'] | 7 | 4 | 0.0003932000000000102
01011 | ['N11', 'N16', 'N22', 'N23'] | 6 | 4 | 0.00033940000000001747
01100 | ['net_0_NAND2_2', 'N11', 'N16', 'N22', 'N23'] | 8 | 5 | 0.0006670000000000009
01101 | ['net_0_NAND2_2', 'N11', 'N16', 'N22', 'N23'] | 7 | 5 | 0.00041679999999999495
01110 | ['N10', 'N11', 'net_0_NAND2_3', 'N16', 'N19', 'N22', 'N23'] | 7 | 7 | 0.0004991000000000023
01111 | ['N10', 'N11', 'net_0_NAND2_3', 'N16', 'N19', 'N22', 'N23'] | 7 | 7 | 0.0004144999999999843
10000 | ['net_0_NAND2_1', 'N10', 'N16', 'net_0_NAND2_4', 'N19', 'N22', 'N23'] | 8 | 7 | 0.0006024000000000029
10001 | ['net_0_NAND2_1', 'N10', 'N11', 'N16', 'N19', 'net_0_NAND2_6', 'N22', 'N23'] | 8 | 8 | 0.0005549999999999999
10010 | ['net_0_NAND2_1', 'N10', 'N16', 'net_0_NAND2_4', 'N19', 'N22', 'N23'] | 8 | 7 | 0.0004814999999999958
10011 | ['net_0_NAND2_1', 'N10', 'N11', 'N16', 'N19', 'net_0_NAND2_6', 'N22', 'N23'] | 8 | 8 | 0.0004821999999999882
10100 | ['N10', 'N16', 'net_0_NAND2_4', 'N19', 'net_0_NAND2_5', 'N22', 'N23'] | 9 | 7 | 0.0005692000000000197
10101 | ['N10', 'net_0_NAND2_2', 'N11', 'N19', 'net_0_NAND2_5', 'net_0_NAND2_6', 'N22', 'N23'] | 9 | 8 | 0.0005660000000000109
10110 | ['N10', 'N16', 'N19', 'net_0_NAND2_5', 'N22', 'N23'] | 7 | 6 | 0.0004332999999999976
10111 | ['N10', 'N11', 'N16', 'N19', 'net_0_NAND2_5', 'N22', 'N23'] | 7 | 7 | 0.00044900000000000495
11000 | ['N11', 'N16', 'N22', 'N23'] | 8 | 4 | 0.0004713000000000078
11001 | ['N11', 'N16', 'N22', 'N23'] | 7 | 4 | 0.0008579999999999977
11010 | ['N11', 'N16', 'N22', 'N23'] | 8 | 4 | 0.0005953000000000208
11011 | ['N11', 'N16', 'N22', 'N23'] | 7 | 4 | 0.0004452999999999818
11100 | ['net_0_NAND2_2', 'N11', 'N16', 'N22', 'N23'] | 8 | 5 | 0.0006692999999999838
11101 | ['net_0_NAND2_2', 'N11', 'N22', 'N23'] | 7 | 4 | 0.0005560000000000009
11110 | ['N10', 'N11', 'net_0_NAND2_3', 'N16', 'N19', 'net_0_NAND2_5', 'N22', 'N23'] | 8 | 8 | 0.0015512999999999777
11111 | ['N10', 'N11', 'net_0_NAND2_3', 'N16', 'N19', 'net_0_NAND2_5', 'N22', 'N23'] | 8 | 8 | 0.0013251999999999986
runtime: 0.018166000000000015
