circuit,percentage,method,spr_reliability
arbiter,0.0,gates_deep,595.178526966743
arbiter,0.1,gates_deep,945.030619573071
arbiter,0.2,gates_deep,1291.403068415666
arbiter,0.3,gates_deep,1405.873294237115
arbiter,0.4,gates_deep,1585.840042942125
arbiter,0.5,gates_deep,1874.937957535415
arbiter,0.6,gates_deep,2198.397343208708
arbiter,0.7,gates_deep,2351.796066725471
arbiter,0.8,gates_deep,3187.236389735295
arbiter,0.9,gates_deep,4933.317383989417
arbiter,1.0,gates_deep,5813.751451045484
arbiter,0.0,gates_max,595.178526966743
arbiter,0.1,gates_max,945.030619573071
arbiter,0.2,gates_max,1339.190607056131
arbiter,0.3,gates_max,1544.331486605746
arbiter,0.4,gates_max,1772.042624759659
arbiter,0.5,gates_max,2149.706498517630
arbiter,0.6,gates_max,2699.502970210456
arbiter,0.7,gates_max,3724.051233463739
arbiter,0.8,gates_max,4290.339292577266
arbiter,0.9,gates_max,4996.704492150853
arbiter,1.0,gates_max,5813.751451045484
arbiter,0.0,gates_sum,595.178526966743
arbiter,0.1,gates_sum,945.030619304863
arbiter,0.2,gates_sum,1352.472666107432
arbiter,0.3,gates_sum,1598.534485354330
arbiter,0.4,gates_sum,1995.368314744372
arbiter,0.5,gates_sum,2497.208763400537
arbiter,0.6,gates_sum,3073.327650480719
arbiter,0.7,gates_sum,3750.691857575914
arbiter,0.8,gates_sum,4294.878640641362
arbiter,0.9,gates_sum,4988.518661765321
arbiter,1.0,gates_sum,5813.751451045484
