percentage,gates_deep,gates_max,gates_sum
0.0,595.178526966743,595.178526966743,595.178526966743
0.1,945.030619573071,945.030619573071,945.030619304863
0.2,1291.403068415666,1339.190607056131,1352.472666107432
0.3,1405.873294237115,1544.331486605746,1598.53448535433
0.4,1585.840042942125,1772.042624759659,1995.368314744372
0.5,1874.937957535415,2149.70649851763,2497.208763400537
0.6,2198.397343208708,2699.502970210456,3073.327650480719
0.7,2351.796066725471,3724.051233463739,3750.691857575914
0.8,3187.236389735295,4290.339292577266,4294.878640641362
0.9,4933.317383989417,4996.704492150853,4988.518661765321
1.0,5813.751451045484,5813.751451045484,5813.751451045484
