circuit,percentage,method,spr_reliability
c6288,0.1,gates_deep,0.533346200869
c6288,0.2,gates_deep,0.534840582935
c6288,0.3,gates_deep,0.537830439869
c6288,0.4,gates_deep,0.543620493893
c6288,0.5,gates_deep,0.554209367093
c6288,0.6,gates_deep,0.572542239434
c6288,0.7,gates_deep,0.601995606601
c6288,0.8,gates_deep,0.665065946301
c6288,0.9,gates_deep,0.827348439848
c6288,1.0,gates_deep,4.742914367079
c6288,0.1,gates_max,0.663729139541
c6288,0.2,gates_max,0.748739424218
c6288,0.3,gates_max,0.819779430615
c6288,0.4,gates_max,1.070059268790
c6288,0.5,gates_max,1.564618571231
c6288,0.6,gates_max,1.758428092710
c6288,0.7,gates_max,2.288125777456
c6288,0.8,gates_max,3.172427355790
c6288,0.9,gates_max,4.231333581632
c6288,1.0,gates_max,4.742914367079
c6288,0.1,gates_sum,0.663981651260
c6288,0.2,gates_sum,0.749930886048
c6288,0.3,gates_sum,0.819779430615
c6288,0.4,gates_sum,1.248860652470
c6288,0.5,gates_sum,1.579887353759
c6288,0.6,gates_sum,1.982498511556
c6288,0.7,gates_sum,2.328737463953
c6288,0.8,gates_sum,3.452568237893
c6288,0.9,gates_sum,4.261907885224
c6288,1.0,gates_sum,4.742914367079
