circuit,percentage,method,spr_reliability
cavlc,0.0,gates_deep,8.912226468783
cavlc,0.1,gates_deep,8.918000212882
cavlc,0.2,gates_deep,8.919864047139
cavlc,0.3,gates_deep,8.920447487381
cavlc,0.4,gates_deep,8.921132390271
cavlc,0.5,gates_deep,8.921456135021
cavlc,0.6,gates_deep,8.921827817136
cavlc,0.7,gates_deep,8.922100012109
cavlc,0.8,gates_deep,8.922294548656
cavlc,0.9,gates_deep,8.922423746581
cavlc,1.0,gates_deep,8.922521605142
cavlc,0.0,gates_max,8.912226468783
cavlc,0.1,gates_max,8.918664135586
cavlc,0.2,gates_max,8.920117774750
cavlc,0.3,gates_max,8.920800737827
cavlc,0.4,gates_max,8.921261055324
cavlc,0.5,gates_max,8.921593172213
cavlc,0.6,gates_max,8.921871178836
cavlc,0.7,gates_max,8.922048653601
cavlc,0.8,gates_max,8.922218254328
cavlc,0.9,gates_max,8.922390490665
cavlc,1.0,gates_max,8.922521605142
cavlc,0.0,gates_sum,8.912226468783
cavlc,0.1,gates_sum,8.918556935595
cavlc,0.2,gates_sum,8.920003351467
cavlc,0.3,gates_sum,8.920821048452
cavlc,0.4,gates_sum,8.921239284229
cavlc,0.5,gates_sum,8.921595456271
cavlc,0.6,gates_sum,8.921858973414
cavlc,0.7,gates_sum,8.922037976552
cavlc,0.8,gates_sum,8.922211601307
cavlc,0.9,gates_sum,8.922385199883
cavlc,1.0,gates_sum,8.922521605142
