circuit,percentage,method,spr_reliability
dec,0.0,gates_deep,1285.527206142019
dec,0.1,gates_deep,1411.233019228099
dec,0.2,gates_deep,1564.187765109727
dec,0.3,gates_deep,1747.248699690422
dec,0.4,gates_deep,1987.922951784142
dec,0.5,gates_deep,2293.280631348918
dec,0.6,gates_deep,2726.535816210856
dec,0.7,gates_deep,3361.626955127195
dec,0.8,gates_deep,4338.509430702631
dec,0.9,gates_deep,6548.495992099368
dec,1.0,gates_deep,12855.331111441987
dec,0.0,gates_max,1285.527206142019
dec,0.1,gates_max,1454.626640473058
dec,0.2,gates_max,1621.165383761395
dec,0.3,gates_max,1818.647115369951
dec,0.4,gates_max,2080.868069419551
dec,0.5,gates_max,2417.866658053233
dec,0.6,gates_max,2904.468092176795
dec,0.7,gates_max,3636.277669182694
dec,0.8,gates_max,4807.101281077456
dec,0.9,gates_max,7207.988711679391
dec,1.0,gates_max,12855.331111441987
dec,0.0,gates_sum,1285.527206142019
dec,0.1,gates_sum,1454.626640473058
dec,0.2,gates_sum,1621.165385865234
dec,0.3,gates_sum,1818.647115369951
dec,0.4,gates_sum,2080.868070285970
dec,0.5,gates_sum,2417.866653959285
dec,0.6,gates_sum,2904.468103147287
dec,0.7,gates_sum,3636.277671827924
dec,0.8,gates_sum,4807.101336548730
dec,0.9,gates_sum,7207.988753249239
dec,1.0,gates_sum,12855.331111441987
