percentage,gates_deep,gates_max,gates_sum
0.0,1285.527206142019,1285.527206142019,1285.527206142019
0.1,1411.233019228099,1454.626640473058,1454.626640473058
0.2,1564.187765109727,1621.165383761395,1621.165385865234
0.3,1747.248699690422,1818.647115369951,1818.647115369951
0.4,1987.922951784142,2080.868069419551,2080.86807028597
0.5,2293.280631348918,2417.866658053233,2417.866653959285
0.6,2726.535816210856,2904.468092176795,2904.468103147287
0.7,3361.626955127195,3636.277669182694,3636.277671827924
0.8,4338.509430702631,4807.101281077456,4807.10133654873
0.9,6548.495992099368,7207.988711679391,7207.988753249239
1.0,12855.331111441988,12855.331111441988,12855.331111441988
