circuit,percentage,method,spr_reliability
i2c,0.0,gates_deep,0.111860961138
i2c,0.1,gates_deep,0.111863405120
i2c,0.2,gates_deep,0.111865794471
i2c,0.3,gates_deep,0.111867794595
i2c,0.4,gates_deep,0.111868722910
i2c,0.5,gates_deep,0.111869466486
i2c,0.6,gates_deep,0.111870378353
i2c,0.7,gates_deep,0.111870788830
i2c,0.8,gates_deep,0.111871114650
i2c,0.9,gates_deep,0.111871267675
i2c,1.0,gates_deep,0.111871353645
i2c,0.0,gates_max,0.111860961138
i2c,0.1,gates_max,0.111863405120
i2c,0.2,gates_max,0.111865794471
i2c,0.3,gates_max,0.111867716334
i2c,0.4,gates_max,0.111869202256
i2c,0.5,gates_max,0.111870034181
i2c,0.6,gates_max,0.111870524516
i2c,0.7,gates_max,0.111870918161
i2c,0.8,gates_max,0.111871186341
i2c,0.9,gates_max,0.111871327612
i2c,1.0,gates_max,0.111871353645
i2c,0.0,gates_sum,0.111860961138
i2c,0.1,gates_sum,0.111862901531
i2c,0.2,gates_sum,0.111864747754
i2c,0.3,gates_sum,0.111866904585
i2c,0.4,gates_sum,0.111868826812
i2c,0.5,gates_sum,0.111869851818
i2c,0.6,gates_sum,0.111870552173
i2c,0.7,gates_sum,0.111870924734
i2c,0.8,gates_sum,0.111871183383
i2c,0.9,gates_sum,0.111871337132
i2c,1.0,gates_sum,0.111871353645
