circuit,percentage,method,spr_reliability
int2float,0.0,gates_deep,18.627920140057
int2float,0.1,gates_deep,18.640861346978
int2float,0.2,gates_deep,18.647701271322
int2float,0.3,gates_deep,18.649392667117
int2float,0.4,gates_deep,18.652172771340
int2float,0.5,gates_deep,18.653026112306
int2float,0.6,gates_deep,18.654183704399
int2float,0.7,gates_deep,18.654602608737
int2float,0.8,gates_deep,18.654957383124
int2float,0.9,gates_deep,18.655197164316
int2float,1.0,gates_deep,18.655246272832
int2float,0.0,gates_max,18.627920140057
int2float,0.1,gates_max,18.641810344198
int2float,0.2,gates_max,18.648461637431
int2float,0.3,gates_max,18.651051727297
int2float,0.4,gates_max,18.652645275562
int2float,0.5,gates_max,18.653879490861
int2float,0.6,gates_max,18.654279290539
int2float,0.7,gates_max,18.654627356530
int2float,0.8,gates_max,18.654956692034
int2float,0.9,gates_max,18.655134001634
int2float,1.0,gates_max,18.655246272832
int2float,0.0,gates_sum,18.627920140057
int2float,0.1,gates_sum,18.642663020800
int2float,0.2,gates_sum,18.648461637431
int2float,0.3,gates_sum,18.650912559462
int2float,0.4,gates_sum,18.652581605799
int2float,0.5,gates_sum,18.653473672128
int2float,0.6,gates_sum,18.654207755632
int2float,0.7,gates_sum,18.654638623428
int2float,0.8,gates_sum,18.654975139955
int2float,0.9,gates_sum,18.655166574877
int2float,1.0,gates_sum,18.655246272832
