circuit,percentage,method,spr_reliability
router,0.0,gates_deep,22154.736893612644
router,0.1,gates_deep,27763.156099584685
router,0.2,gates_deep,39980.468896795906
router,0.3,gates_deep,54675.827702511285
router,0.4,gates_deep,68983.101886092264
router,0.5,gates_deep,121851.751707075417
router,0.6,gates_deep,137553.857526801229
router,0.7,gates_deep,156773.278744665858
router,0.8,gates_deep,158303.714855526297
router,0.9,gates_deep,161545.330761680964
router,1.0,gates_deep,164034.237504625648
router,0.0,gates_max,22154.736893612644
router,0.1,gates_max,33173.334089404575
router,0.2,gates_max,40749.719526518885
router,0.3,gates_max,56212.078160983202
router,0.4,gates_max,113538.858446256526
router,0.5,gates_max,126501.459343913848
router,0.6,gates_max,154042.772356714210
router,0.7,gates_max,156559.145623578657
router,0.8,gates_max,159380.405908752143
router,0.9,gates_max,161545.330761680964
router,1.0,gates_max,164034.237504625648
router,0.0,gates_sum,22154.736893612644
router,0.1,gates_sum,33681.773828551393
router,0.2,gates_sum,42745.208335345256
router,0.3,gates_sum,59981.353448559053
router,0.4,gates_sum,113538.858446256526
router,0.5,gates_sum,125563.666075725848
router,0.6,gates_sum,136048.787064389947
router,0.7,gates_sum,156249.465819786642
router,0.8,gates_sum,159380.405908752143
router,0.9,gates_sum,161545.330761680964
router,1.0,gates_sum,164034.237504625648
