percentage,gates_deep,gates_max,gates_sum
0.0,22154.736893612644,22154.736893612644,22154.736893612644
0.1,27763.156099584685,33173.33408940457,33681.7738285514
0.2,39980.468896795915,40749.719526518886,42745.208335345254
0.3,54675.82770251129,56212.0781609832,59981.35344855905
0.4,68983.10188609226,113538.85844625652,113538.85844625652
0.5,121851.7517070754,126501.45934391384,125563.66607572584
0.6,137553.8575268012,154042.7723567142,136048.78706438994
0.7,156773.27874466585,156559.14562357863,156249.46581978665
0.8,158303.71485552628,159380.40590875215,159380.40590875215
0.9,161545.33076168096,161545.33076168096,161545.33076168096
1.0,164034.23750462563,164034.23750462563,164034.23750462563
